resolution,step,status,normalized_gt_error,physical_gt_error,residual_cosine,shell_skill,radial_skill,finite,rho_press_positive,physical_range_explosion
64,1,stage_t_epoch150_reference,0.24164958038372727,3.0667838770503284,0.8832225143910961,-2.9718848991078204,0.05007717361225705,True,True,True
96,1,not_available_gpu_gate_fail,,,,,,,,
64,2,stage_t_epoch150_reference,0.2589714124698174,7616.028742287918,0.7417500641143955,-8.103512726533967,-5.085161307106974,True,True,True
96,2,not_available_gpu_gate_fail,,,,,,,,
64,3,stage_t_epoch150_reference,0.4431932326012445,22798059030986.656,0.35823976683147324,-516599506910.5325,-253292.93167291145,True,True,True
96,3,not_available_gpu_gate_fail,,,,,,,,
64,5,stage_t_epoch150_reference,6.443260205344884,5.2914071597096374e+36,0.1561525363993255,-74.86828423074813,-11.997925546596017,True,True,True
96,5,not_available_gpu_gate_fail,,,,,,,,
64,10,stage_t_epoch150_reference,93.16015344870155,7.31044039751509e+37,0.08628614587301506,-0.1316009870857524,-0.24578353289555088,True,True,True
96,10,not_available_gpu_gate_fail,,,,,,,,
64,19,stage_t_epoch150_reference,129.37088809452734,9.348820268867772e+37,-0.19916090840663309,-0.027164232497011165,-0.0489248184267832,True,True,True
96,19,not_available_gpu_gate_fail,,,,,,,,
64,25,stage_t_epoch150_reference,149.5896034039855,1.0347384041773118e+38,-0.33440560161249255,-0.02365570530663863,-0.07217603861791999,True,True,True
96,25,not_available_gpu_gate_fail,,,,,,,,
64,42,stage_t_epoch150_reference,361.24392080746816,1.314683323138657e+38,-0.19368169168420435,-0.005148505561288985,-0.035076583474396905,True,True,True
96,42,not_available_gpu_gate_fail,,,,,,,,
64,50,stage_t_epoch150_reference,,,,,,True,True,True
96,50,not_available_gpu_gate_fail,,,,,,,,
64,75,stage_t_epoch150_reference,,,,,,True,True,True
96,75,not_available_gpu_gate_fail,,,,,,,,
64,100,stage_t_epoch150_reference,,,,,,True,True,True
96,100,not_available_gpu_gate_fail,,,,,,,,
