metric,Z64,Z96,relative_change,kind
increment fidelity error,0.5034285651131418,0.3783468475883613,0.24845971443171752,DATA_INFORMATION_GAIN
increment cosine,0.8715487138500086,0.9268723126200844,0.06347734543223342,DATA_INFORMATION_GAIN
persistence L2,0.31028247800893943,0.31006867251481507,0.0006890672509009807,SAME_RESOLUTION_BASELINE
model state L2,0.26671131913718105,,,LEARNED_DYNAMICS_GAIN_UNAVAILABLE
persistence ratio,0.8595758366324685,,,LEARNED_DYNAMICS_GAIN_UNAVAILABLE
residual L2,0.8918514314288021,,,LEARNED_DYNAMICS_GAIN_UNAVAILABLE
residual cosine,0.7406020960063326,,,LEARNED_DYNAMICS_GAIN_UNAVAILABLE
shell skill,-1.6794721761992293,,,LEARNED_DYNAMICS_GAIN_UNAVAILABLE
radial skill,-0.3480888795195025,,,LEARNED_DYNAMICS_GAIN_UNAVAILABLE
first10x,1,,,LEARNED_DYNAMICS_GAIN_UNAVAILABLE
