metric,Z64,Z96,relative_change,kind
increment fidelity error,0.5034285651131418,0.3783468475883613,0.24845971443171752,DATA_INFORMATION_GAIN
increment cosine,0.8715487138500086,0.9268723126200844,0.06347734543223342,DATA_INFORMATION_GAIN
persistence L2,0.31028247800893943,0.31006867251481507,0.0006890672509009807,SAME_RESOLUTION_BASELINE
model state L2,0.26671131913718105,0.2832152011436277,-0.061879196053010385,LEARNED_DYNAMICS_GAIN
persistence ratio,0.8595758366324685,0.913395085679884,-0.06261140291967886,LEARNED_DYNAMICS_GAIN
residual L2,0.8918514314288021,0.9837363311112768,-0.10302713708186724,LEARNED_DYNAMICS_GAIN
physical L2,297.77736896854765,1.41155648230431e+21,-4.740308127490386e+18,LEARNED_DYNAMICS_GAIN
residual cosine,0.7406020960063326,0.7247980029787069,-0.015804093027625754,LEARNED_DYNAMICS_GAIN_ABSOLUTE_CHANGE
shell skill,-1.6794721761992293,-105.1088325510168,-103.42936037481758,LEARNED_DYNAMICS_GAIN_ABSOLUTE_CHANGE
radial skill,-0.3480888795195025,-1.6981247169060696,-1.350035837386567,LEARNED_DYNAMICS_GAIN_ABSOLUTE_CHANGE
