finite,ground_truth_available,model,physical_range_explosion,radial_skill,residual_cosine,rho_press_positive,shell_skill,state_l2,step
True,True,Stage-T differential LocalNO,True,0.05007717361225705,0.8832225143910961,True,-2.9718848991078204,0.24164958038372727,1
True,True,Stage-T differential LocalNO,True,-5.085161307106974,0.7417500641143955,True,-8.103512726533967,0.2589714124698174,2
True,True,Stage-T differential LocalNO,True,-253292.93167291145,0.35823976683147324,True,-516599506910.5325,0.4431932326012445,3
True,True,Stage-T differential LocalNO,True,-11.997925546596017,0.1561525363993255,True,-74.86828423074813,6.443260205344884,5
True,True,Stage-T differential LocalNO,True,-0.24578353289555088,0.08628614587301506,True,-0.1316009870857524,93.16015344870155,10
True,True,Stage-T differential LocalNO,True,-0.0489248184267832,-0.19916090840663309,True,-0.027164232497011165,129.37088809452734,19
True,True,Stage-T differential LocalNO,True,-0.07217603861791999,-0.33440560161249255,True,-0.02365570530663863,149.5896034039855,25
True,True,Stage-T differential LocalNO,True,-0.035076583474396905,-0.19368169168420435,True,-0.005148505561288985,361.24392080746816,42
True,False,Stage-T differential LocalNO,True,,,True,,,50
True,False,Stage-T differential LocalNO,True,,,True,,,75
True,False,Stage-T differential LocalNO,True,,,True,,,100
True,True,Adapted 3D-DISCO LocalNO,True,-0.21562540641737504,0.8784577730245661,True,-10.962110794835137,0.2489845352833186,1
True,True,Adapted 3D-DISCO LocalNO,True,-10.635167167773448,0.8050754230782942,True,-568.1711877132062,0.26599627297198314,2
True,True,Adapted 3D-DISCO LocalNO,True,-41.35858600472816,0.6472388554196893,True,-1291.0112714805018,0.3543253341959059,3
True,True,Adapted 3D-DISCO LocalNO,True,-5653143.362197654,0.2553613947980406,True,-35175824852442.164,0.7893194531043359,5
True,True,Adapted 3D-DISCO LocalNO,True,-0.863632804846949,0.011016088297859364,True,-1.3515964956245088,7.5368671235930815,10
True,True,Adapted 3D-DISCO LocalNO,True,-0.18033099744968073,-0.204224348842893,True,-0.0914181625500563,29.522550807133577,19
True,True,Adapted 3D-DISCO LocalNO,True,-0.0847789370341645,-0.2413225649114223,True,-0.020031894894542157,38.09169388951269,25
True,True,Adapted 3D-DISCO LocalNO,True,-0.03274895552233392,-0.3518150398692487,True,-0.03033010376962819,76.61979610841443,42
True,False,Adapted 3D-DISCO LocalNO,True,,,True,,,50
True,False,Adapted 3D-DISCO LocalNO,True,,,True,,,75
True,False,Adapted 3D-DISCO LocalNO,True,,,True,,,100
