basis,gaussian_response,geometry,target
0,0.999999967232001,stage_ad,inner_equator
0,1.0,stage_af,inner_equator
1,0.6753453121403077,stage_ad,inner_equator
1,0.6894351403424264,stage_af,inner_equator
2,0.4766252611043641,stage_ad,inner_equator
2,0.4894655044144288,stage_af,inner_equator
3,0.1907147882022171,stage_ad,inner_equator
3,0.20162915498132486,stage_af,inner_equator
4,0.07308250110126048,stage_ad,inner_equator
4,0.1151096555707452,stage_af,inner_equator
0,0.999999967232001,stage_ad,outer_equator
0,1.0,stage_af,outer_equator
1,0.6753453121403077,stage_ad,outer_equator
1,0.6813899731997212,stage_af,outer_equator
2,0.4766252611043641,stage_ad,outer_equator
2,0.47176533594111103,stage_af,outer_equator
3,0.1907147882022171,stage_ad,outer_equator
3,0.18051943836068124,stage_af,outer_equator
4,0.07308250110126048,stage_ad,outer_equator
4,0.06499552833054976,stage_af,outer_equator
0,0.999999967232001,stage_ad,inner_near_pole
0,1.0,stage_af,inner_near_pole
1,0.6753453121403077,stage_ad,inner_near_pole
1,0.7143793830654488,stage_af,inner_near_pole
2,0.4766252611043641,stage_ad,inner_near_pole
2,0.503217317925373,stage_af,inner_near_pole
3,0.1907147882022171,stage_ad,inner_near_pole
3,0.22283628725451504,stage_af,inner_near_pole
4,0.07308250110126048,stage_ad,inner_near_pole
4,0.09178846216164088,stage_af,inner_near_pole
0,0.999999967232001,stage_ad,outer_near_pole
0,1.0,stage_af,outer_near_pole
1,0.6753453121403077,stage_ad,outer_near_pole
1,0.6956752404784118,stage_af,outer_near_pole
2,0.4766252611043641,stage_ad,outer_near_pole
2,0.4433682737555241,stage_af,outer_near_pole
3,0.1907147882022171,stage_ad,outer_near_pole
3,0.1971922457998403,stage_af,outer_near_pole
4,0.07308250110126048,stage_ad,outer_near_pole
4,0.05145581441198952,stage_af,outer_near_pole
