clip_fraction,cumulative_runtime_seconds,differential_gradient_norm_mean,differential_weight_norm,disco_gradient_norm_mean,disco_gradient_norm_min,disco_weight_norm,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate,learning_rate_start,microbatches_completed,microbatches_this_epoch,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,spectral_gradient_norm_mean,spectral_weight_norm,train_loss_max,train_loss_mean,train_loss_median,train_loss_min
1.0,318.91703831999985,286.2950705346607,4.637591361999512,2385.0706300281345,55.357147216796875,17.93183135986328,1,318.91703831999985,1608.5966796875,1992.0,0.9999999758743104,10951.1962890625,5316.956293923514,1.3333333333333335e-05,3.174603174603175e-07,168,168,0,42,42,646.5976171039399,143.10255432128906,3360.41357421875,487.87169207490626,54.59818458557129,1.400948166847229
1.0,629.4987625879996,194.6244812238784,4.623822212219238,1723.0883878980364,44.165767669677734,17.92791748046875,2,310.5817242679998,1608.5966796875,1992.0,0.9999999701976776,8237.19140625,3850.911824544271,2.666666666666667e-05,1.3650793650793652e-05,336,168,0,84,42,477.10364271345594,142.58782958984375,3280.283447265625,369.6991285915886,44.37501907348633,1.3387559652328491
1.0,938.3493931259998,84.2654128415244,4.6086506843566895,789.8161881991795,14.87244701385498,17.921552658081055,3,308.85063053800013,1608.5966796875,1992.0,0.9999999744551522,5100.37109375,1825.4628310430617,4e-05,2.6984126984126987e-05,504,168,0,126,42,231.91460917109535,141.74307250976562,2952.085205078125,224.49051169554392,37.11335563659668,1.189227819442749
1.0,1248.765630438,26.540012388002303,4.598490238189697,198.41867896488733,8.046924591064453,17.910594940185547,4,310.41623731200025,1608.5966796875,1992.0,0.9999999730359941,1909.5150146484375,493.3306507383074,5.333333333333334e-05,4.031746031746032e-05,672,168,0,168,42,66.14532965137845,140.58641052246094,2782.10595703125,142.5003069603727,26.754982948303223,1.1343276500701904
1.0,1555.328930811,9.756434693222953,4.602940082550049,37.68011700539362,4.105995178222656,17.893264770507812,5,306.56330037299995,1608.5966796875,1992.0,0.9999999758743104,459.63031005859375,99.83851555415562,6.666666666666667e-05,5.3650793650793654e-05,840,168,0,210,42,14.382569872197651,139.14381408691406,2652.85498046875,114.31059119034381,13.836843013763428,0.766713559627533
1.0,1864.8149442809997,7.1066126596359975,4.624366760253906,18.69611872945513,2.05519437789917,17.875638961791992,6,309.48601346999976,1608.5966796875,1992.0,0.9999999361378806,412.8091735839844,46.2598553839184,8e-05,6.698412698412698e-05,1008,168,0,252,42,6.68394149059341,137.44580078125,2637.107421875,108.17211532486337,8.45029878616333,0.38773512840270996
1.0,2175.5705826169997,7.867120703061421,4.643532752990723,16.333730586937495,1.0141383409500122,17.860185623168945,7,310.7556383360002,1608.5966796875,1992.0,0.9999999134313493,290.6854248046875,41.85044603688376,9.333333333333333e-05,8.031746031746032e-05,1176,168,0,294,42,5.680333868378685,135.48785400390625,2628.89697265625,106.18702600239997,6.5016770362854,0.2870368957519531
1.0,2486.5804420669997,9.553424144784609,4.685978412628174,17.943561352434614,0.873000979423523,17.848281860351562,8,311.00985945,1608.5966796875,1992.0,0.9999999219462985,298.7764587402344,47.831772565841675,0.00010666666666666668,9.365079365079364e-05,1344,168,0,336,42,5.853498699409621,133.29046630859375,2622.68505859375,104.45364804131289,6.287536382675171,0.2306765764951706
1.0,2797.5513196879997,12.703564423890342,4.742328643798828,21.659802737690153,0.7899838089942932,17.83707618713379,9,310.970877621,1608.5966796875,1992.0,0.9999999148505074,273.59954833984375,61.94273771558489,0.00012,0.000106984126984127,1512,168,0,378,42,6.54303651196616,130.86764526367188,2612.58935546875,102.10950308071361,6.23988938331604,0.18283861875534058
1.0,3107.1453826519996,16.433019686312903,4.813767910003662,27.19394112200964,1.6716787815093994,17.826297760009766,10,309.59406296399993,1608.5966796875,1992.0,0.9999999077547164,512.7456665039062,79.79094857261295,0.00013333333333333334,0.00012031746031746032,1680,168,0,420,42,7.731882210288729,128.2371368408203,2617.48046875,99.12627837310235,6.064134120941162,0.17468056082725525
1.0,3415.4395574409996,20.93645248881408,4.9194865226745605,30.646508114678518,1.0210607051849365,17.818586349487305,11,308.29417478899995,1608.5966796875,1992.0,0.9999999318804059,735.2194213867188,94.82568270251865,0.00014666666666666666,0.00013365079365079365,1848,168,0,462,42,8.290908438109216,125.4199447631836,2604.88720703125,94.86698783614806,5.918392896652222,0.17545613646507263
1.0,3723.6598122709997,25.185588422275725,5.025843143463135,35.91514924878166,0.8152580261230469,17.81132698059082,12,308.22025483000016,1608.5966796875,1992.0,0.9999999290420896,402.4536437988281,114.11720196406047,0.00016,0.000146984126984127,2016,168,0,504,42,9.254340980024566,122.43353271484375,2595.52197265625,88.8026190760235,6.13808536529541,0.21398919820785522
1.0,4031.8917670019996,26.404971192280453,5.130220890045166,39.90379720642453,1.6661932468414307,17.803789138793945,13,308.23195473099986,1608.5966796875,1992.0,0.9999999446528298,822.7739868164062,124.68881475357782,0.00017333333333333334,0.00016031746031746033,2184,168,0,546,42,10.14541264375051,119.30235290527344,2582.57421875,83.27206317619199,6.211529731750488,0.2048158347606659
1.0,4340.161871001999,30.329270283381145,5.233315944671631,47.76696579938843,0.7825594544410706,17.796184539794922,14,308.27010399999926,1608.5966796875,1992.0,0.9999999403953552,610.660400390625,140.92418122291565,0.00018666666666666666,0.00017365079365079368,2352,168,0,588,42,11.96727372280189,116.04641723632812,2602.539306640625,75.9988098086878,6.288572788238525,0.1758619099855423
1.0,4648.412943094999,30.66882072318168,5.3335347175598145,47.573304993765696,1.9366079568862915,17.787269592285156,15,308.2510720929995,1608.5966796875,1992.0,0.9999999631018865,775.0311279296875,136.98099423590162,0.0002,0.00018698412698412697,2520,168,0,630,42,11.735930701096853,112.69522094726562,2607.799072265625,70.09948099839191,5.907008647918701,0.17442718148231506
1.0,4956.721800611999,31.26103467742602,5.454177379608154,43.70161134856088,1.8307900428771973,17.779584884643555,16,308.30885751700043,1608.5966796875,1992.0,0.9999999701976776,688.8145141601562,119.43169942356292,0.00021333333333333336,0.00020031746031746032,2688,168,0,672,42,10.90854659534636,109.26968383789062,2575.879638671875,64.9265864890601,6.072307825088501,0.18375958502292633
1.0,5264.982778422,30.742489042736235,5.572390556335449,41.868711153666176,4.4156174659729,17.771512985229492,17,308.26097781000044,1608.5966796875,1992.0,0.9999999560060955,622.097412109375,110.43718331200736,0.00022666666666666666,0.00021365079365079367,2856,168,0,714,42,10.504194069476355,105.7816390991211,2566.4208984375,59.919692111068535,6.013184070587158,0.1854855716228485
1.0,5573.192236191,28.25251439781416,5.688165187835693,37.07189944528398,0.7595237493515015,17.762434005737305,18,308.20945776900044,1608.5966796875,1992.0,0.999999924784615,706.6365356445312,93.68387489659446,0.00024,0.00022698412698412697,3024,168,0,756,42,9.898762446074258,102.2641372680664,2569.7138671875,56.27684374357618,5.940788745880127,0.18772871792316437
1.0,5881.487517066,29.937978552920477,5.8040876388549805,38.94386836176827,0.8569208383560181,17.753318786621094,19,308.29528087499966,1608.5966796875,1992.0,0.9999999560060955,733.725830078125,94.41563997949872,0.00025333333333333333,0.00024031746031746032,3192,168,0,798,42,10.326750404068402,98.73797607421875,2568.0986328125,53.013965601456306,6.162043571472168,0.1660727560520172
1.0,6189.750798587,25.959197088366462,5.926398754119873,38.22049176692963,1.0372501611709595,17.74324607849121,20,308.26328152099995,1608.5966796875,1992.0,0.9999999233654567,911.5062255859375,91.7378674632027,0.0002666666666666667,0.00025365079365079364,3360,168,0,840,42,10.329296080839066,95.21492767333984,2610.1357421875,50.83580914663062,5.612733840942383,0.1569557785987854
1.0,6498.079329147,28.83103328517505,6.0343122482299805,44.097396799496245,1.3317673206329346,17.732730865478516,21,308.3285305600002,1608.5966796875,1992.0,0.9999999474911463,1104.975341796875,101.11389349755787,0.00028,0.000266984126984127,3528,168,0,882,42,11.699712733427683,91.70005798339844,2668.91455078125,49.3423375745437,5.648886680603027,0.13588851690292358
1.0,6806.404210369,32.472107714130765,6.127328872680664,49.276885818867456,1.1560217142105103,17.720659255981445,22,308.32488122199993,1608.5966796875,1992.0,0.9999999403953552,1146.2308349609375,113.13905992394402,0.0002933333333333333,0.00028031746031746034,3696,168,0,924,42,12.551544668419021,88.20286560058594,2679.21484375,48.137873692571056,5.501090049743652,0.11511816829442978
1.0,7114.679453831,28.31219685929162,6.2218122482299805,45.97264990068617,1.1140031814575195,17.709362030029297,23,308.2752434619997,1608.5966796875,1992.0,0.9999999304612478,1119.021240234375,101.41859566597711,0.0003066666666666667,0.00029365079365079364,3864,168,0,966,42,12.140228261550268,84.7648696899414,2663.91552734375,46.73101291716809,5.4311323165893555,0.11873926222324371
1.0,7422.936204433,31.8210926197824,6.329988956451416,50.94789933022999,1.6602959632873535,17.699275970458984,24,308.25675060200047,1608.5966796875,1992.0,0.9999999673593611,1379.3509521484375,113.81912604967754,0.00032,0.000306984126984127,4032,168,0,1008,42,13.080202869006566,81.36286926269531,2704.92431640625,45.803304661242734,5.350008249282837,0.11944316327571869
1.0,7731.212130434999,34.89742427496683,6.409183979034424,56.20319945755459,1.2963780164718628,17.686782836914062,25,308.2759260019993,1608.5966796875,1992.0,0.9999999474911463,1436.4200439453125,124.44508580366771,0.0003333333333333333,0.00032031746031746034,4200,168,0,1050,42,14.71690159965129,78.031982421875,2692.194580078125,44.81482666819578,5.299263000488281,0.11581762135028839
1.0,8041.334425586999,32.21486064365932,6.48402214050293,50.37397482281639,3.227468490600586,17.673707962036133,26,310.1222951519994,1608.5966796875,1992.0,0.9999999574252537,1317.42626953125,105.23410936764309,0.00034666666666666667,0.00033365079365079364,4368,168,0,1092,42,13.170053086110524,74.76557159423828,2638.11181640625,43.58866593148559,5.227497816085815,0.10073819011449814
1.0,8349.932647845999,34.03543871357327,6.558374881744385,56.610436763082234,2.4456005096435547,17.662214279174805,27,308.59822225899916,1608.5966796875,1992.0,0.999999958844412,1581.841552734375,120.54417939413162,0.00036,0.000346984126984127,4536,168,0,1134,42,14.59602552652359,71.63402557373047,2630.244140625,42.46759262388306,5.048839330673218,0.11180625855922699
1.0,8658.260608904999,32.29739328225454,6.669365406036377,54.62583591256823,1.823268175125122,17.650991439819336,28,308.3279610589998,1608.5966796875,1992.0,0.9999999531677791,1594.35400390625,109.96683085532416,0.0003733333333333333,0.00036031746031746034,4704,168,0,1176,42,14.593857970975694,68.62783813476562,2617.74462890625,41.43165894047845,5.150306701660156,0.1121167540550232
1.0,8966.583493442,34.84846871807461,6.724641799926758,60.405762649717786,1.098461627960205,17.638118743896484,29,308.3228845370013,1608.5966796875,1992.0,0.9999999489103045,1349.9266357421875,122.46532280672164,0.00038666666666666667,0.0003736507936507937,4872,168,0,1218,42,16.12795557507447,65.65634155273438,2533.12451171875,40.37281111751994,4.998425245285034,0.12536409497261047
1.0,9274.870340689999,40.044150369507925,6.787700176239014,64.70609762555077,2.010188341140747,17.624441146850586,30,308.2868472479986,1608.5966796875,1992.0,0.9999999574252537,1395.7835693359375,133.36958614985147,0.0004,0.00038698412698412704,5040,168,0,1260,42,16.67502698444185,62.83829116821289,2464.01611328125,39.48286005087374,4.994827032089233,0.09051061421632767
1.0,9583.154478298999,42.94848625858625,6.837465286254883,69.58950517858777,1.5320103168487549,17.609088897705078,31,308.284137609,1608.5966796875,1992.0,0.9999999503294627,1408.7364501953125,143.14158394223168,0.00041333333333333337,0.00040031746031746033,5208,168,0,1302,42,17.972232384341105,60.10676574707031,2418.318603515625,38.7508845471644,5.053952217102051,0.09232677519321442
1.0,9891.384563573998,34.724253863805814,6.908111572265625,58.809571894861406,0.6842960119247437,17.598695755004883,32,308.2300852749995,1608.5966796875,1992.0,0.9999999276229313,1582.7835693359375,115.7226786726997,0.0004266666666666667,0.00041365079365079363,5376,168,0,1344,42,15.86421675270512,57.54182434082031,2456.44140625,38.11089450116491,5.033390522003174,0.08693485707044601
1.0,10199.648282163998,40.75696615945725,6.958250999450684,71.49875044822693,1.7784309387207031,17.58517837524414,33,308.2637185900003,1608.5966796875,1992.0,0.999999958844412,1668.49169921875,141.24089057104928,0.00044,0.000426984126984127,5544,168,0,1386,42,18.62781526928856,55.07803726196289,2492.364501953125,38.191958719953185,4.800438642501831,0.10429608821868896
1.0,10507.918995618998,40.46085412161691,7.025044918060303,69.21651590438117,3.9717020988464355,17.572391510009766,34,308.2707134550001,1608.5966796875,1992.0,0.9999999701976776,2019.036376953125,135.0273333277021,0.0004533333333333333,0.00044031746031746033,5712,168,0,1428,42,18.53662445147832,52.8101921081543,2426.2197265625,36.759394326247275,4.796171188354492,0.0805000364780426
1.0,10817.154532789998,41.66221369448162,7.0789899826049805,70.8024762130919,1.6560931205749512,17.55943489074707,35,309.23553717100003,1608.5966796875,1992.0,0.999999958844412,2245.710205078125,140.00290328548067,0.00046666666666666666,0.0004536507936507937,5880,168,0,1470,42,18.28934336702029,50.68061065673828,2480.497802734375,36.682876294877914,4.802774429321289,0.0843236893415451
1.0,11127.948315693999,42.272899622008914,7.1309356689453125,73.78863869394574,1.471897840499878,17.546489715576172,36,310.7937829040002,1608.5966796875,1992.0,0.9999999474911463,1881.830810546875,147.94677513553984,0.00048,0.00046698412698412703,6048,168,0,1512,42,19.21283003262111,48.61764907836914,2288.2734375,35.42452007731689,4.758546352386475,0.08327272534370422
1.0,11438.332260976998,43.063177679266246,7.18736457824707,75.53068435759772,1.2219488620758057,17.535053253173828,37,310.3839452829998,1608.5966796875,1992.0,0.9999999545869374,2043.264404296875,147.91090890339441,0.0004933333333333334,0.0004803174603174604,6216,168,0,1554,42,20.191078718219483,46.74067306518555,2241.451171875,34.98240067512684,4.629019737243652,0.08730613440275192
1.0,11748.556391277998,42.8321234640621,7.228452205657959,67.40205253873553,3.335918664932251,17.521989822387695,38,310.2241303009996,1608.5966796875,1992.0,0.9999999574252537,1531.8106689453125,135.5486015819368,0.0005066666666666667,0.0004936507936507936,6384,168,0,1596,42,18.14138341233844,44.964908599853516,2209.23828125,34.691700872654714,4.526378154754639,0.09177398681640625
1.0,12058.664396653,46.74592045942942,7.275665760040283,84.72939935184661,4.47687292098999,17.50804328918457,39,310.1080053750011,1608.5966796875,1992.0,0.9999999687785194,2020.3502197265625,163.237197467259,0.0005200000000000001,0.000506984126984127,6552,168,0,1638,42,23.348984550862085,43.348106384277344,2052.53515625,33.606728161374726,5.074597358703613,0.10014408081769943
1.0,12368.401088404,49.094362119833626,7.329427242279053,89.69450615701221,2.7762694358825684,17.495559692382812,40,309.73669175100076,1608.5966796875,1992.0,0.999999958844412,2753.216796875,170.79482528141565,0.0005333333333333334,0.0005203174603174603,6720,168,0,1680,42,23.08231256121681,41.829654693603516,2391.146484375,35.02759242204151,4.7938525676727295,0.09688836336135864
1.0,12678.379740932,44.6210087793214,7.382429122924805,78.59112260739009,1.8116852045059204,17.48750114440918,41,309.97865252799966,1608.5966796875,1992.0,0.9999999432336717,1962.3211669921875,154.8588443483625,0.0005466666666666667,0.0005336507936507936,6888,168,0,1722,42,21.516549046550477,40.42880630493164,1976.255615234375,32.46722642953197,4.748265266418457,0.08035571873188019
1.0,12988.189971091999,42.74895140670595,7.420952796936035,74.58576147896903,2.2132914066314697,17.47188377380371,42,309.81023015999926,1608.5966796875,1992.0,0.999999938976197,2206.04736328125,143.94944588343301,0.00056,0.000546984126984127,7056,168,0,1764,42,20.435676642826625,39.22579574584961,2025.0797119140625,32.15288369064884,4.305631875991821,0.08063554763793945
1.0,13298.545709441,44.41799471491859,7.464603424072266,81.70107222171058,2.1207430362701416,17.45979881286621,43,310.3557383490006,1608.5966796875,1992.0,0.9999999545869374,2260.720703125,155.36458871478126,0.0005733333333333334,0.0005603174603174603,7224,168,0,1806,42,22.30165346037774,37.98517990112305,1833.5655517578125,30.88066691603689,4.384928941726685,0.09538068622350693
1.0,13608.799887203999,46.6222435548192,7.501808166503906,75.31960915383839,2.206199884414673,17.447832107543945,44,310.25417776299946,1608.5966796875,1992.0,0.9999999474911463,1784.5133056640625,145.2794858160473,0.0005866666666666667,0.0005736507936507936,7392,168,0,1848,42,20.065821695895423,36.91615676879883,1816.3768310546875,31.269044730679266,4.47996973991394,0.09924370050430298
