metric,value,variant
state_l2,0.2722633512141349,FULL
state_l2,0.5154080541180053,FULL_MINUS_DISCO
state_l2,-0.24314470290387036,DISCO_CONTRIBUTION
residual_l2,0.9168055648525191,FULL
residual_l2,1.420872644059028,FULL_MINUS_DISCO
residual_l2,-0.504067079206509,DISCO_CONTRIBUTION
cosine,0.7475828598380836,FULL
cosine,0.08999050338682993,FULL_MINUS_DISCO
cosine,0.6575923564512537,DISCO_CONTRIBUTION
shell_skill,-1.5937097940239773,FULL
shell_skill,-112.22805963650157,FULL_MINUS_DISCO
shell_skill,110.63434984247759,DISCO_CONTRIBUTION
radial_skill,-0.3018460773318642,FULL
radial_skill,-9.280387277860994,FULL_MINUS_DISCO
radial_skill,8.97854120052913,DISCO_CONTRIBUTION
physical_l2,1602030142711.5176,FULL
physical_l2,43371068997035.26,FULL_MINUS_DISCO
physical_l2,-41769038854323.74,DISCO_CONTRIBUTION
probe_residual_output_l2_norm,20847.439453125,DISCO_CONTRIBUTION
probe_residual_output_l2_norm,22317.86328125,STAGE_AD_DISCO_CONTRIBUTION
