channel,model,radial_absolute_error,radial_skill,residual_cosine,residual_l2,shell_absolute_error,shell_skill,stage_ag_minus_stage_ad_radial_absolute_error,stage_ag_minus_stage_ad_radial_skill,stage_ag_minus_stage_ad_residual_cosine,stage_ag_minus_stage_ad_residual_l2,stage_ag_minus_stage_ad_shell_absolute_error,stage_ag_minus_stage_ad_shell_skill,stage_ag_minus_stage_ad_state_l2,state_l2
Bcc1,Stage AD,1.123779260335482,-70.73492928783276,0.7061752678953611,0.722810550559835,3.859972787181654,-38.12521058842499,,,,,,,,0.23370530420267402
Bcc2,Stage AD,0.17382175344942585,-2.299873357019538,0.6689385068165818,0.8234663509852713,0.9396870890805022,-66.45647792779044,,,,,,,,0.46219248963090914
Bcc3,Stage AD,0.7046621249772871,-0.03995401222809486,0.8155389105654833,0.6199488342216526,34.95455788056774,-5.773039950346243,,,,,,,,0.19091355805168903
rho,Stage AD,2.581932440301265,-3.9817822623037107,0.23241321693698072,1.016257252665433,317.62707835372726,-30.982496035765394,,,,,,,,0.1574220468890613
press,Stage AD,89.97247428110511,-919.3752035063804,0.27795413442638245,0.9797291305029273,3058357.2818153906,-4738851.392007338,,,,,,,,0.14174309945432453
vel1,Stage AD,0.11534295162780417,-0.8269982744407715,0.15189261145202504,1.0443198663401934,0.045282087318137716,-2.4323468300330857,,,,,,,,0.10049332572343775
vel2,Stage AD,0.004256433478702998,-1.102446723843981,0.5427692643830161,0.905928947538482,0.00010992982790222256,-1.0586262592907032,,,,,,,,0.6817292849482027
vel3,Stage AD,0.04294266703135029,-0.32816589089922055,0.4101854517170319,1.0206586730013718,0.003760040492335379,-0.3064272571056126,,,,,,,,0.14429703279817224
Bcc1,Stage AG,2.3299065910434242,-117.64564806017573,0.6691218294374492,0.7462123627456806,3.8400329970549687,-35.72843170595759,1.2061273307079423,-46.910718772342975,-0.03705343845791187,0.023401812185845583,-0.01993979012668534,2.3967788824674017,0.007566474543806295,0.24127177874648031
Bcc2,Stage AG,0.14754841337979835,-1.3402120396020438,0.6611558106378403,0.8067775286545149,0.5910336454611249,-33.78436162256247,-0.026273340069627504,0.9596613174174944,-0.0077826961787414994,-0.016688822330756414,-0.34865344361937733,32.67211630522797,-0.009367047445040577,0.45282544218586857
Bcc3,Stage AG,0.7192954255493249,-0.11525407058042658,0.805986721710478,0.6094397106602075,25.632761329777587,-3.3410780836753964,0.014633300572037822,-0.07530005835233172,-0.009552188855005306,-0.010509123561445066,-9.321796550790154,2.431961866670847,-0.003236289922963098,0.18767726812872593
rho,Stage AG,4.3588419675432775,-7.6868838205234375,0.22813086249714926,1.0941473141242763,51.96119912535967,-3.7273921857707935,1.7769095272420126,-3.705101558219727,-0.004282354439831465,0.07789006145884336,-265.6658792283676,27.2551038499946,0.01206546169860287,0.16948750858766418
press,Stage AG,5.5808487512562595,-22.317371099029558,0.2769152860316767,0.9952935629085814,7214.451791718307,-5829.425625474945,-84.39162552984885,897.0578324073509,-0.0010388483947057492,0.015564432405654083,-3051142.8300236724,4733021.966381863,0.0022517967428534458,0.14399489619717798
vel1,Stage AG,0.0746994346514453,-0.2750543630271942,0.09173510365506232,1.0797227456526726,0.04816159523046662,-2.6878122618848947,-0.04064351697635887,0.5519439114135772,-0.06015750779696272,0.03540287931247921,0.0028795079123289033,-0.25546543185180903,0.003406765688257901,0.10390009141169565
vel2,Stage AG,0.007885065637377718,-2.36959467108844,0.4979996332637393,0.9748843470580381,0.00015523237310437129,-2.6003792318714822,0.0036286321586747206,-1.2671479472444591,-0.04476963111927679,0.0689553995195561,4.530254520214872e-05,-1.541752972580779,0.05189028935371276,0.7336195743019155
vel3,Stage AG,0.03834614679410155,-0.2880167568045018,0.41112029812472745,1.027966947016181,0.0034783808647246275,-0.47067509159063514,-0.004596520237248734,0.040149134094718764,0.0009348464076955332,0.007308274014809157,-0.00028165962761075164,-0.16424783448502256,0.001033217355378785,0.14533025015355103
