channel,model,radial_absolute_error,radial_persistence_absolute_error,radial_skill,source_snapshot,target_snapshot
Bcc1,Stage AD,0.8997658866601131,0.09013396715273558,-8.982539491859091,169,170
Bcc2,Stage AD,0.29846153828141775,0.11103621752754252,-1.687965646951045,169,170
Bcc3,Stage AD,0.5615519078172089,0.461944859701628,-0.21562540641737504,169,170
rho,Stage AD,8.309948633868059,0.5575812287350893,-13.903565983954909,169,170
press,Stage AD,6350314001.122744,0.3050061960186043,-20820278681.913696,169,170
vel1,Stage AD,0.10165671716127374,0.043784566524027915,-1.321747712301479,169,170
vel2,Stage AD,0.005728611292342901,0.0007642201260250503,-6.496022542796947,169,170
vel3,Stage AD,0.03153972943386701,0.03500752196997432,0.0990584977446165,169,170
Bcc1,Stage AG,2.4310337634209462,0.09013396715273558,-25.971338777327563,169,170
Bcc2,Stage AG,0.1484705334669875,0.11103621752754252,-0.33713608742264123,169,170
Bcc3,Stage AG,0.4319474015217234,0.461944859701628,0.06493731351243981,169,170
rho,Stage AG,5.124455610072018,0.5575812287350893,-8.190509554450374,169,170
press,Stage AG,20.889124150613558,0.3050061960186043,-67.48754032963775,169,170
vel1,Stage AG,0.060583932427495046,0.043784566524027915,-0.38368236200872397,169,170
vel2,Stage AG,0.00934657574416281,0.0007642201260250503,-11.230214078209764,169,170
vel3,Stage AG,0.026899380185516533,0.03500752196997432,0.23161141743800318,169,170
Bcc1,Stage AD,0.9373312933173346,0.10988213433979097,-7.530333879562297,170,171
Bcc2,Stage AD,0.15840735964107544,0.061770907448254454,-1.564433099412914,170,171
Bcc3,Stage AD,0.23070243226036719,0.6808535498208844,0.661157039834691,170,171
rho,Stage AD,3.7347681253796443,1.1862417920402248,-2.1484037659440345,170,171
press,Stage AD,25.723343104013427,0.1086162587943719,-235.82774005972593,170,171
vel1,Stage AD,0.0893882560743043,0.04329899649797929,-1.0644417493249745,170,171
vel2,Stage AD,0.005049989722642205,0.0018342346927684957,-1.7531862430428795,170,171
vel3,Stage AD,0.04803833535025622,0.014807329083590615,-2.244226901358733,170,171
Bcc1,Stage AG,2.4053231943562863,0.10988213433979097,-20.890029792452445,170,171
Bcc2,Stage AG,0.10867815358858474,0.061770907448254454,-0.7593744058175691,170,171
Bcc3,Stage AG,1.0348829632269954,0.6808535498208844,-0.5199788023419241,170,171
rho,Stage AG,6.580969053923658,1.1862417920402248,-4.547746756253637,170,171
press,Stage AG,0.7144390999298919,0.1086162587943719,-5.577644156225638,170,171
vel1,Stage AG,0.056789243103159026,0.04329899649797929,-0.3115602599660552,170,171
vel2,Stage AG,0.006964305546616668,0.0018342346927684957,-2.79684539501601,170,171
vel3,Stage AG,0.03850368216682344,0.014807329083590615,-1.6003124499672916,170,171
Bcc1,Stage AD,1.073903693531353,0.11743167325423114,-8.144923714119518,171,172
Bcc2,Stage AD,0.15604886825729947,0.12430757292680103,-0.2553448239970819,171,172
Bcc3,Stage AD,0.7632572413385418,0.3241161104025967,-1.3548883157658271,171,172
rho,Stage AD,2.060092260590374,0.3865280240778477,-4.32973583352773,171,172
press,Stage AD,17425.36531317654,0.07053169146691822,-247056.24406665665,171,172
vel1,Stage AD,0.07440448062238263,0.05720997558085557,-0.3005508194497628,171,172
vel2,Stage AD,0.006641526901717943,0.0012885126624432074,-4.154413375437571,171,172
vel3,Stage AD,0.03955674885231723,0.019506218643956123,-1.0279045146750487,171,172
Bcc1,Stage AG,2.301873711487002,0.11743167325423114,-18.60181310287226,171,172
Bcc2,Stage AG,0.1261683458044676,0.12430757292680103,-0.014969103119423677,171,172
Bcc3,Stage AG,0.3588158191563203,0.3241161104025967,-0.10705950009896714,171,172
rho,Stage AG,6.032577630691029,0.3865280240778477,-14.607089925971456,171,172
press,Stage AG,5.708970872169649,0.07053169146691822,-79.94192487709375,171,172
vel1,Stage AG,0.07834040812321698,0.05720997558085557,-0.36934874255447814,171,172
vel2,Stage AG,0.007185872017266771,0.0012885126624432074,-4.57687341903285,171,172
vel3,Stage AG,0.03660363932269605,0.019506218643956123,-0.8765112803673742,171,172
Bcc1,Stage AD,0.8664274194060454,0.12755923307998757,-5.792353626512803,172,173
Bcc2,Stage AD,0.11305158057141673,0.027020634029531008,-3.1838981442057213,172,173
Bcc3,Stage AD,0.8767071148930149,0.5172583100994195,-0.6949116094906387,172,173
rho,Stage AD,2.9934059459117175,0.6255220143953336,-3.785452593231782,172,173
