module,module_type,direct_trainable_parameters
encoder_0.layers.0.conv,Conv3d,6928
encoder_0.layers.1,GroupNorm,32
encoder_0.layers.3.conv,Conv3d,6928
encoder_0.layers.4,GroupNorm,32
encoder_1.layers.0.conv,Conv3d,13856
encoder_1.layers.1,GroupNorm,64
encoder_1.layers.3.conv,Conv3d,27680
encoder_1.layers.4,GroupNorm,64
bottleneck.layers.0.conv,Conv3d,55360
bottleneck.layers.1,GroupNorm,128
bottleneck.layers.3.conv,Conv3d,110656
bottleneck.layers.4,GroupNorm,128
up_1,ConvTranspose3d,16416
decoder_1.layers.0.conv,Conv3d,55328
decoder_1.layers.1,GroupNorm,64
decoder_1.layers.3.conv,Conv3d,27680
decoder_1.layers.4,GroupNorm,64
up_0,ConvTranspose3d,4112
decoder_0.layers.0.conv,Conv3d,13840
decoder_0.layers.1,GroupNorm,32
decoder_0.layers.3.conv,Conv3d,6928
decoder_0.layers.4,GroupNorm,32
projection,Conv3d,136
