channel,model,radial_absolute_error,shell_absolute_error,source_snapshot
Bcc1,Persistence,0.004648343337274353,0.10980129345986853,169
Bcc2,Persistence,0.11103640880145266,0.04345938911182228,169
Bcc3,Persistence,0.4619450437336125,5.346683098026906,169
rho,Persistence,0.557583076402138,4.432973770653094,169
press,Persistence,0.30501182078360534,0.6710100985461666,169
vel1,Persistence,0.032853222342224056,0.017301764616827194,169
vel2,Persistence,0.0004473551233262454,2.985726459585554e-05,169
vel3,Persistence,0.035007520444340245,0.0021641520790357336,169
Bcc1,FNO,1.244369876612288,4.4978133797589,169
Bcc2,FNO,0.19888732704576878,0.025781160823607267,169
Bcc3,FNO,1.8116289331527382,11.168289892003994,169
rho,FNO,90587.70448992716,3488695014115.2095,169
press,FNO,0.4339892769176493,45.40713869368669,169
vel1,FNO,0.16389897835136086,0.034526047588024515,169
vel2,FNO,0.0034254572991881107,0.00017454552321944018,169
vel3,FNO,0.024608578457172497,0.0011403407936552796,169
Bcc1,3D CNN/U-Net,0.2660588102171361,4.357459807919638,169
Bcc2,3D CNN/U-Net,0.1380180437204772,0.5010996378871865,169
Bcc3,3D CNN/U-Net,0.6027811422924372,7.425519177089019,169
rho,3D CNN/U-Net,3.617965787607841,165.54386459330428,169
press,3D CNN/U-Net,214.7196522418242,3244428.583497534,169
vel1,3D CNN/U-Net,0.08057670016976201,0.0835754781762982,169
vel2,3D CNN/U-Net,0.008022187802589474,0.00012436707754509885,169
vel3,3D CNN/U-Net,0.04746458053279727,0.0024237443994732898,169
Bcc1,Differential LocalNO,0.8804098325360878,4.660724097299699,169
Bcc2,Differential LocalNO,0.0725164701848926,2.039679256459902,169
Bcc3,Differential LocalNO,0.4388119667630599,0.938850758562466,169
rho,Differential LocalNO,8.042447117295659,2770.431230066944,169
press,Differential LocalNO,13.272261238242377,8050.504302812878,169
vel1,Differential LocalNO,0.09096672190487493,0.05940761246848468,169
vel2,Differential LocalNO,0.004760229735067242,8.165095541053972e-05,169
vel3,Differential LocalNO,0.06165941874023769,0.008595750511507646,169
Bcc1,Index-space DISCO3D LocalNO,0.8997658866601131,3.831373934358501,169
Bcc2,Index-space DISCO3D LocalNO,0.29846153828141775,2.3604674945990842,169
Bcc3,Index-space DISCO3D LocalNO,0.5615519078172089,63.95870755394925,169
rho,Index-space DISCO3D LocalNO,8.309948633868059,27203.944572559634,169
press,Index-space DISCO3D LocalNO,6350314001.122744,2.0646531598541453e+22,169
vel1,Index-space DISCO3D LocalNO,0.10165671716127374,0.04319956088932729,169
vel2,Index-space DISCO3D LocalNO,0.005728611292342901,0.00010242185743155629,169
vel3,Index-space DISCO3D LocalNO,0.03153972943386701,0.004189818672138714,169
Bcc1,Anisotropic spherical DISCO3D LocalNO,2.4310337634209462,4.01238401295186,169
Bcc2,Anisotropic spherical DISCO3D LocalNO,0.1484705334669875,0.5686940716736575,169
Bcc3,Anisotropic spherical DISCO3D LocalNO,0.4319474015217234,11.600226973981563,169
rho,Anisotropic spherical DISCO3D LocalNO,5.124455610072018,51.514520236756915,169
press,Anisotropic spherical DISCO3D LocalNO,20.889124150613558,171198.13961038893,169
vel1,Anisotropic spherical DISCO3D LocalNO,0.060583932427495046,0.04495381190730952,169
vel2,Anisotropic spherical DISCO3D LocalNO,0.00934657574416281,0.00014442304631518207,169
vel3,Anisotropic spherical DISCO3D LocalNO,0.026899380185516533,0.0044946950981783985,169
Bcc1,Persistence,0.013635605223830297,0.17827858695111312,170
Bcc2,Persistence,0.061771085377857596,0.0587558816546411,170
Bcc3,Persistence,0.6808535749889313,5.675137437480556,170
rho,Persistence,1.186239781306879,30.41851061470439,170
press,Persistence,0.10861061371647729,1.0447121187318944,170
vel1,Persistence,0.031238335205372066,0.017883218724335095,170
vel2,Persistence,0.0017408316966401175,1.438946435049505e-05,170
vel3,Persistence,0.014807337961471281,0.001960534963866558,170
Bcc1,FNO,1.2208770158518123,4.43269361459186,170
Bcc2,FNO,0.17261833088166156,0.07131553654914935,170
Bcc3,FNO,2.2609464225358815,6.106811826665673,170
rho,FNO,41359.283192737836,754833398524.761,170
press,FNO,0.7861832021243348,65.14309970829287,170
vel1,FNO,0.14613654908516036,0.03298926505665229,170
vel2,FNO,0.0035639302660848146,0.0001813662793213483,170
vel3,FNO,0.04401813243793085,0.0010085616548038802,170
Bcc1,3D CNN/U-Net,0.3846215953419962,3.6880408342694095,170
Bcc2,3D CNN/U-Net,0.09717862205820559,0.06990503662679311,170
Bcc3,3D CNN/U-Net,0.6912987953941898,3.9733383179724444,170
rho,3D CNN/U-Net,1.5764356822143657,85.87828261002116,170
press,3D CNN/U-Net,231.03488733926417,6347555.14655071,170
vel1,3D CNN/U-Net,0.07438822684155028,0.08001973167969174,170
vel2,3D CNN/U-Net,0.006050957837941525,0.00012079066264449535,170
vel3,3D CNN/U-Net,0.024410212465252563,0.0028324117770693017,170
Bcc1,Differential LocalNO,0.9610329314029459,4.235079202206377,170
Bcc2,Differential LocalNO,0.08886542229748697,1.6218384917817976,170
Bcc3,Differential LocalNO,0.7823391302614893,2.7398881748213015,170
rho,Differential LocalNO,5.268423978755679,2986.5196748071785,170
press,Differential LocalNO,10.206747798363828,8498.17825507598,170
vel1,Differential LocalNO,0.08847697751373886,0.05960066872059307,170
vel2,Differential LocalNO,0.005473486111661063,8.361414316680589e-05,170
vel3,Differential LocalNO,0.042911262344491746,0.00698261524023405,170
