channel,model,radial_absolute_error,radial_persistence_absolute_error,radial_skill,source_snapshot,target_snapshot
Bcc1,Persistence,0.004648343337274353,0.09013396715273558,0.9484285060991763,169,170
Bcc2,Persistence,0.11103640880145266,0.11103621752754252,-1.7226263142600118e-06,169,170
Bcc3,Persistence,0.4619450437336125,0.461944859701628,-3.983851766253821e-07,169,170
rho,Persistence,0.557583076402138,0.5575812287350893,-3.3137181696396567e-06,169,170
press,Persistence,0.30501182078360534,0.3050061960186043,-1.8441477827257913e-05,169,170
vel1,Persistence,0.032853222342224056,0.043784566524027915,0.24966203960943634,169,170
vel2,Persistence,0.0004473551233262454,0.0007642201260250503,0.41462530481488313,169,170
vel3,Persistence,0.035007520444340245,0.03500752196997432,4.358017913208556e-08,169,170
Bcc1,FNO,1.244369876612288,0.09013396715273558,-12.805781726035134,169,170
Bcc2,FNO,0.19888732704576878,0.11103621752754252,-0.7911932833666169,169,170
Bcc3,FNO,1.8116289331527382,0.461944859701628,-2.921742812167834,169,170
rho,FNO,90587.70448992716,0.5575812287350893,-162464.48452757543,169,170
press,FNO,0.4339892769176493,0.3050061960186043,-0.42288675634372197,169,170
vel1,FNO,0.16389897835136086,0.043784566524027915,-2.7433048072182475,169,170
vel2,FNO,0.0034254572991881107,0.0007642201260250503,-3.482291400783951,169,170
vel3,FNO,0.024608578457172497,0.03500752196997432,0.297048832011615,169,170
Bcc1,3D CNN/U-Net,0.2660588102171361,0.09013396715273558,-1.951815154949176,169,170
Bcc2,3D CNN/U-Net,0.1380180437204772,0.11103621752754252,-0.24300022815746458,169,170
Bcc3,3D CNN/U-Net,0.6027811422924372,0.461944859701628,-0.3048768259522918,169,170
rho,3D CNN/U-Net,3.617965787607841,0.5575812287350893,-5.4886793190930065,169,170
press,3D CNN/U-Net,214.7196522418242,0.3050061960186043,-702.9845584931235,169,170
vel1,3D CNN/U-Net,0.08057670016976201,0.043784566524027915,-0.8402991411492782,169,170
vel2,3D CNN/U-Net,0.008022187802589474,0.0007642201260250503,-9.49722132327946,169,170
vel3,3D CNN/U-Net,0.04746458053279727,0.03500752196997432,-0.3558394842544774,169,170
Bcc1,Differential LocalNO,0.8804098325360878,0.09013396715273558,-8.767791880770082,169,170
Bcc2,Differential LocalNO,0.0725164701848926,0.11103621752754252,0.3469115591324524,169,170
Bcc3,Differential LocalNO,0.4388119667630599,0.461944859701628,0.05007717361225705,169,170
rho,Differential LocalNO,8.042447117295659,0.5575812287350893,-13.423812536767949,169,170
press,Differential LocalNO,13.272261238242377,0.3050061960186043,-42.51472662356281,169,170
