available,finite,normalized_global_norm,normalized_relative_l2_average,physical_range_explosion,physical_relative_l2_average,radial_skill,residual_cosine,rho_press_positive,shell_skill,step,variant
True,True,46671.6480660867,0.24164958038372727,True,3.0667838770503284,0.05007717361225705,0.8832225143910961,True,-2.9718848991078204,1,stage_t_baseline
True,True,46584.64951307506,0.2589714124698174,True,7616.028742287918,-5.085161307106974,0.7417500641143955,True,-8.103512726533967,2,stage_t_baseline
True,True,49232.83462203946,0.4431932326012445,True,22798059030986.656,-253292.93167291145,0.35823976683147324,True,-516599506910.5325,3,stage_t_baseline
True,True,281631.4119927092,6.443260205344884,True,5.2914071597096374e+36,-11.997925546596017,0.1561525363993255,True,-74.86828423074813,5,stage_t_baseline
True,True,3465553.7823410654,93.16015344870155,True,7.31044039751509e+37,-0.24578353289555088,0.08628614587301506,True,-0.1316009870857524,10,stage_t_baseline
True,True,4318168.41425943,129.37088809452734,True,9.348820268867772e+37,-0.0489248184267832,-0.19916090840663309,True,-0.027164232497011165,19,stage_t_baseline
True,True,11534280.896680064,361.24392080746816,True,1.314683323138657e+38,-0.035076583474396905,-0.19368169168420435,True,-0.005148505561288985,42,stage_t_baseline
True,True,4912323665.835729,,True,,,,True,,100,stage_t_baseline
True,True,47336.456707862795,0.2769293003005864,True,1.7719628340702387,-0.8627003765418693,0.8949680715196278,True,-2.583393639314893,1,spectral_only
True,True,47875.80083380447,0.3243668311950649,True,8.598593898423637,-1.279236826373558,0.7892711352706989,True,-0.6502145390155953,2,spectral_only
True,True,48505.64511500747,0.4183085434157232,True,137.69997162558752,-0.2800461712298694,0.6730246817845714,True,-0.3447005722341563,3,spectral_only
True,True,50568.88937153196,0.5773870148324026,True,21738.871901967566,-1.647999803610916,0.3807821460001897,True,-21.773026727446485,5,spectral_only
True,True,90206.59905281386,1.8519157949112062,True,1.225423267306158e+22,-388.5792788140713,0.23204192934247161,True,-1185254.3429289625,10,spectral_only
True,True,1367911.7806326984,21.568672661742916,True,5.129073495124495e+37,-0.25459231788558845,-0.15431255427292265,True,-0.6153746806722866,19,spectral_only
True,True,2295458.5726561877,50.039578129489975,True,1.0228738035052064e+38,-0.029210408390108356,-0.27714232566440417,True,-0.01552588917361164,42,spectral_only
True,True,3587503.6658088504,,True,,,,True,,100,spectral_only
True,True,46808.0940573562,0.31002883764852485,True,4357.666611916418,-2.050976201660201,0.8016941241483055,True,-40.69043792273804,1,coordinate_fd
True,True,50290.529042306254,0.5955271822107973,True,1.5109659158430316e+22,-57853555.43158689,0.271659684485725,True,-1.0567036619132352e+16,2,coordinate_fd
True,True,80865.27922006657,1.8460711612852945,True,3.9497849734942205e+35,-1.7860329315548186e+17,0.18929445695016808,True,-3.215092289924124e+34,3,coordinate_fd
True,True,620154.4168439246,16.67151703423405,True,2.048787820704282e+37,-5.68880301628455,0.15247762776656756,True,-8.831259073139524,5,coordinate_fd
True,True,4105335.7828585953,114.5494379496247,True,8.034908683360877e+37,-0.02940248487293884,-0.09016890518537472,True,-0.15184864041264023,10,coordinate_fd
True,True,19677694.168445606,581.6939044290261,True,1.0860863961231767e+38,-0.1355891035710941,-0.19142713694367916,True,-0.029490631841877946,19,coordinate_fd
True,True,28334369527.734604,822341.3625286896,True,1.5299446633766909e+38,-0.002092333349020148,-0.12298198851324812,True,-0.007131271071584955,42,coordinate_fd
True,True,2.3683676003868585e+21,,True,,,,True,,100,coordinate_fd
False,,,,,,,,,,1,spherical_proxy_fd
False,,,,,,,,,,2,spherical_proxy_fd
False,,,,,,,,,,3,spherical_proxy_fd
False,,,,,,,,,,5,spherical_proxy_fd
False,,,,,,,,,,10,spherical_proxy_fd
False,,,,,,,,,,19,spherical_proxy_fd
False,,,,,,,,,,42,spherical_proxy_fd
False,,,,,,,,,,100,spherical_proxy_fd
