channel,epoch,model_normalized_relative_l2,optimizer_updates,persistence_normalized_relative_l2,residual_cosine,residual_relative_l2,stratum,variant
Bcc1,150,0.18570090259370356,6300,0.28482598497927486,0.758273816875971,0.6519801998763278,early,stage_t_baseline
Bcc2,150,0.3000361804067617,6300,0.45674479255146005,0.7567102693067483,0.656901152003841,early,stage_t_baseline
Bcc3,150,0.1442001471570061,6300,0.2773950099583625,0.8543223322493861,0.5198368462030059,early,stage_t_baseline
rho,150,0.12523030744225278,6300,0.13682514428780992,0.4041126176115907,0.9152579970586687,early,stage_t_baseline
press,150,0.11899017245274343,6300,0.1251784263599631,0.31820509595763863,0.9505645332077081,early,stage_t_baseline
vel1,150,0.06533734022342245,6300,0.06278456799878314,0.15614881100861178,1.0406592267231025,early,stage_t_baseline
vel2,150,0.5689832096798787,6300,0.6837038712736601,0.618890596833745,0.8322070907369241,early,stage_t_baseline
vel3,150,0.11485732960242753,6300,0.12189946783276068,0.40885076393883174,0.94222995072609,early,stage_t_baseline
Bcc1,150,0.2439348811053763,6300,0.3288084753556263,0.6758361343740346,0.741875284307731,middle,stage_t_baseline
Bcc2,150,0.46384436760141745,6300,0.5865376698838368,0.6434874576432221,0.7908176942138025,middle,stage_t_baseline
Bcc3,150,0.1934746130842821,6300,0.3148480173478991,0.7951207422278921,0.6145016084864605,middle,stage_t_baseline
rho,150,0.1499247391827189,6300,0.14518316783081658,0.18977000922468995,1.032659236075207,middle,stage_t_baseline
press,150,0.13854605294554012,6300,0.14011055201229025,0.23870057716432344,0.9888338246046304,middle,stage_t_baseline
vel1,150,0.08558129537347525,6300,0.08163292422444476,0.1303742757422386,1.0483673849891844,middle,stage_t_baseline
vel2,150,0.7265045088840425,6300,0.7639180383780854,0.5176806874136578,0.9510241576567154,middle,stage_t_baseline
vel3,150,0.13730435359911095,6300,0.14083191587384428,0.3729419081258611,0.9749519679976875,middle,stage_t_baseline
Bcc1,150,0.2762101424457483,6300,0.35219681138038617,0.6264172045653831,0.7842494125735431,late,stage_t_baseline
Bcc2,150,0.5350994984927085,6300,0.6209637953125721,0.6189314806318209,0.8617241496047962,late,stage_t_baseline
Bcc3,150,0.21432074021073466,6300,0.3311387993674422,0.7675339514963726,0.6472232810051625,late,stage_t_baseline
