absolute_rms_error,concept,direction,field,normalized_l2_error,shell
0.0,index_space_upstream_assumption,phi,radial_linear,,inner
0.0,index_space_upstream_assumption,phi,radial_linear,,middle
0.0,index_space_upstream_assumption,phi,radial_linear,,outer
0.0,stored_coordinate_aware,phi,radial_linear,,inner
0.0,stored_coordinate_aware,phi,radial_linear,,middle
0.0,stored_coordinate_aware,phi,radial_linear,,outer
0.0,spherical_scale_proxy,phi,radial_linear,,inner
0.0,spherical_scale_proxy,phi,radial_linear,,middle
0.0,spherical_scale_proxy,phi,radial_linear,,outer
0.0,index_space_upstream_assumption,theta,radial_linear,,inner
0.0,index_space_upstream_assumption,theta,radial_linear,,middle
0.0,index_space_upstream_assumption,theta,radial_linear,,outer
2.074492220765891e-15,stored_coordinate_aware,theta,radial_linear,,inner
1.2331355589820717e-14,stored_coordinate_aware,theta,radial_linear,,middle
8.170539313745871e-14,stored_coordinate_aware,theta,radial_linear,,outer
6.553884563795539e-16,spherical_scale_proxy,theta,radial_linear,,inner
6.731955774868591e-16,spherical_scale_proxy,theta,radial_linear,,middle
7.593242982834399e-16,spherical_scale_proxy,theta,radial_linear,,outer
21.048409168699685,index_space_upstream_assumption,r,radial_linear,21.04840916869968,inner
0.6973878108462161,index_space_upstream_assumption,r,radial_linear,0.6973878108462163,middle
20.19041900388099,index_space_upstream_assumption,r,radial_linear,20.190419003881,outer
9.09079595102396e-16,stored_coordinate_aware,r,radial_linear,9.09079595102396e-16,inner
6.428163463352251e-16,stored_coordinate_aware,r,radial_linear,6.428163463352251e-16,middle
1.0543133927273015e-15,stored_coordinate_aware,r,radial_linear,1.0543133927273013e-15,outer
9.09079595102396e-16,spherical_scale_proxy,r,radial_linear,9.09079595102396e-16,inner
6.428163463352251e-16,spherical_scale_proxy,r,radial_linear,6.428163463352251e-16,middle
1.0543133927273015e-15,spherical_scale_proxy,r,radial_linear,1.0543133927273013e-15,outer
0.0,index_space_upstream_assumption,phi,radial_log,,inner
0.0,index_space_upstream_assumption,phi,radial_log,,middle
0.0,index_space_upstream_assumption,phi,radial_log,,outer
0.0,stored_coordinate_aware,phi,radial_log,,inner
0.0,stored_coordinate_aware,phi,radial_log,,middle
0.0,stored_coordinate_aware,phi,radial_log,,outer
0.0,spherical_scale_proxy,phi,radial_log,,inner
0.0,spherical_scale_proxy,phi,radial_log,,middle
0.0,spherical_scale_proxy,phi,radial_log,,outer
0.0,index_space_upstream_assumption,theta,radial_log,,inner
0.0,index_space_upstream_assumption,theta,radial_log,,middle
0.0,index_space_upstream_assumption,theta,radial_log,,outer
7.378569522565684e-16,stored_coordinate_aware,theta,radial_log,,inner
1.7362533231342082e-15,stored_coordinate_aware,theta,radial_log,,middle
3.2578773621193873e-15,stored_coordinate_aware,theta,radial_log,,outer
