channel,display_name,extreme_decoder_tail_fraction,formal_best_epoch,physical_relative_l2,physical_squared_error_contribution_fraction,radial_skill_median,residual_cosine,residual_relative_l2,shell_skill_median,state_relative_l2,variant
Bcc1,Stage-T Plain,,150,0.6271743033104239,,-43.04849137787342,0.6783863756991302,0.7375577711661483,-43.45410497769272,0.23847350201791295,stage_t_plain
Bcc2,Stage-T Plain,0.4021116892496745,150,1.8752269359195584,1.4083151430519523e-08,-0.4130954789394684,0.6522948835684826,0.7961024433541122,-28.871422996963858,0.4468337654043549,stage_t_plain
Bcc3,Stage-T Plain,0.5680696396600633,150,2.521775931056251,4.8834975036695735e-06,-0.0806609848789781,0.8013948279458492,0.6023149365198377,-1.014442233300695,0.18548319032353788,stage_t_plain
rho,Stage-T Plain,0.0,150,13.97939120824721,0.0001291942372523317,-17.40279288159977,0.23102959698092718,1.002795447278758,-919.1569886907832,0.15533676287465467,stage_t_plain
press,Stage-T Plain,0.0,150,2362.2280680027666,0.9998657586700783,-194.41855729746771,0.22465538837331503,0.994374519965799,-224762.81666878168,0.1438619328671123,stage_t_plain
vel1,Stage-T Plain,,150,0.07502681008911893,,-0.505518423659016,0.08526251691552328,1.0465187898837194,-3.639534985538486,0.10070492491378895,stage_t_plain
vel2,Stage-T Plain,,150,0.7758333592001933,,-2.985985747596717,0.5229637152703541,0.9598155942847565,-1.8503336439284084,0.7222800425095661,stage_t_plain
vel3,Stage-T Plain,0.2986878894624256,150,0.13645519779149196,6.987278907663204e-11,-0.4867797844084871,0.34068573741514463,0.9953319489772864,-0.5335711757997375,0.14071643218652077,stage_t_plain
Bcc1,Direction,,150,0.6299144597100803,,-51.85397797899023,0.6733881827172487,0.7439559682716481,-49.59642079222459,0.2405422219443037,direction
Bcc2,Direction,0.40326890491303946,150,276.8054659224669,2.74133634537464e-42,-0.8595551981818507,0.6542845914046431,0.8046144610875585,-30.68125744250056,0.4516113627615779,direction
Bcc3,Direction,0.5684893471854073,150,38.75773945639424,1.0305182189004684e-41,-0.23502364989625957,0.7958495789164157,0.6115490306401736,-2.09281876554439,0.18832683429793584,direction
rho,Direction,6.539481026785714e-06,150,1.3012366263385913e+22,1.0,-8.62258195433964e+21,0.24681915379756136,1.2769603901737379,-1.222708970051654e+45,0.19780593742405217,direction
press,Direction,4.432314918154762e-05,150,200616021365696.22,6.442435633522927e-17,-335446173906224.25,0.2270337118392446,1.1638264427286487,-1.094007773197814e+30,0.16837752607470405,direction
vel1,Direction,,150,0.07776221867973905,,-0.5455563243679641,0.11751726986524778,1.1026476488395593,-0.3552769892499933,0.10610612026840692,direction
vel2,Direction,,150,0.7785625956399608,,-1.8504764432114233,0.5021358967374777,0.9530498686861948,-2.3077702046609185,0.7171887014568956,direction
vel3,Direction,0.29768771216982887,150,0.14021724761781973,6.591004457729264e-49,-0.726530277840581,0.3301914938791478,1.0227731055168012,-1.0895669934038752,0.14459596359411875,direction
Bcc1,Transport,,80,0.6695865303634805,,-54.33670113873946,0.6337115652863883,0.8003303679216542,-52.735626729748084,0.2587696761723448,transport
Bcc2,Transport,0.41007659548804876,80,2.769273751327939,1.9526881848324067e-18,-2.2609539260631073,0.6584227331009527,0.8130893356928969,-104.19175427391522,0.4563681125707276,transport
Bcc3,Transport,0.571325211297898,80,2.1529626057180047,2.263079908837716e-16,-0.2774261967483792,0.7789914259658309,0.653630813380533,-8.585036329261687,0.20128594061494376,transport
rho,Transport,0.0,80,154161324.65464672,0.9989101544139548,-683.2905498579571,0.28665168793078544,1.021384948733371,-5193927.266654462,0.15821634615910998,transport
press,Transport,0.0,80,9780903.954959484,0.0010898455860449542,-60.52742616185482,0.42427331992067735,0.9056473088243197,-38852.00067223882,0.13102525233479181,transport
vel1,Transport,,80,0.07668173341370353,,-0.9608987162833373,0.1120030600397513,1.051069261481656,-3.191547092513109,0.10114280978906806,transport
vel2,Transport,,80,0.7782067094361763,,-1.7752658808305042,0.5082732719344513,0.8798602156345665,-1.0181420187638075,0.6621120533454372,transport
vel3,Transport,0.30166217258998324,80,0.13868128356514267,4.5885192071034785e-21,-0.684339043487963,0.32224725553443595,1.0115694706326077,-0.08574185131555234,0.14301203422962233,transport
Bcc1,Direction+Transport,,150,0.6138166286286185,,-18.15668182224076,0.6688163379093774,0.7443130381219147,-34.76267869367018,0.24065767283697634,direction_transport
Bcc2,Direction+Transport,0.40472657339913504,150,44.74233891517882,1.3715464887884445e-26,-1.6156409970172911,0.6510664388460615,0.8040355209601289,-38.04506390934163,0.4512864171826979,direction_transport
Bcc3,Direction+Transport,0.5679977053687686,150,8.657018784935921,9.845452509658597e-26,-0.2201442063462803,0.7913459751600901,0.6170879653263633,-2.1044740295090674,0.19003255203458705,direction_transport
rho,Direction+Transport,0.0,150,2441155867914.788,0.0067396699246598255,-960.7890001942144,0.27196420995716913,1.038000489871121,-8553409.61211542,0.16079015558588677,direction_transport
press,Direction+Transport,3.4513927641369048e-06,150,56923557190620.305,0.9932603300753401,-3475680.435999468,0.2662825221634933,1.0218023686840754,-618438203307069.5,0.14783007897734177,direction_transport
vel1,Direction+Transport,,150,0.08089317892273966,,-0.2669342340717987,0.16137417523257858,1.115409812293252,-2.018665098428034,0.10733420391522598,direction_transport
vel2,Direction+Transport,,150,0.7900643251895784,,-3.103678414484163,0.48540256051040626,0.9786104225880495,-3.5734386851757667,0.7364235191048643,direction_transport
vel3,Direction+Transport,0.2964560190836589,150,0.14078970548059772,1.2724792110898357e-31,-1.3742988089438175,0.35313498316697,1.0269487297471078,-1.5313668161233709,0.14518629830914004,direction_transport
