FIRST_10X_PHYSICAL_RANGE_STEP,FIRST_NEGATIVE_RADIAL_SKILL_STEP,FIRST_NEGATIVE_RESIDUAL_COSINE_STEP,FIRST_NEGATIVE_SHELL_SKILL_STEP,above_Rout,display_name,finite,formal_best_epoch,ground_truth_available,normalized_global_norm,normalized_state_error,physical_range_explosion,press_physical_q001,press_physical_q999,radial_skill,residual_cosine,residual_relative_l2,rho_physical_q001,rho_physical_q999,rho_press_positive,shell_skill,step,variant
1,2,12,1,False,Stage-T Plain,True,150,True,46671.6480660867,0.24164958038372727,True,3.007103374557119e-07,68.52110373687199,0.05007717361225705,0.8832225143910961,0.469818744177673,8.155416940098804e-06,105.85428956602945,True,-2.9718848991078204,1,stage_t_plain
1,2,12,1,False,Stage-T Plain,True,150,True,46584.64951307506,0.2589714124698174,True,3.041376063208645e-07,260.4901088866908,-5.085161307106974,0.7417500641143955,0.6758750176343271,8.264853849141218e-06,316.1017395019189,True,-8.103512726533967,2,stage_t_plain
1,2,12,1,False,Stage-T Plain,True,150,True,49232.83462203946,0.4431932326012445,True,3.076023553774121e-07,4671.315883299865,-253292.93167291145,0.35823976683147324,1.3119875810038983,8.375726852136722e-06,1593.9404353026225,True,-516599506910.5325,3,stage_t_plain
1,2,12,1,True,Stage-T Plain,True,150,True,281631.4119927092,6.443260205344884,True,1.1754943508222875e-38,6.620955797775974e+16,-11.997925546596017,0.1561525363993255,3.9789246702345404,1.1754943508222875e-38,2.1504328797415057e+25,True,-74.86828423074813,5,stage_t_plain
1,2,12,1,True,Stage-T Plain,True,150,True,3465553.7823410654,93.16015344870155,True,1.1754943508222875e-38,6.620955797775974e+16,-0.24578353289555088,0.08628614587301506,2.8169709966065755,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.1316009870857524,10,stage_t_plain
1,2,12,1,True,Stage-T Plain,True,150,True,4318168.41425943,129.37088809452734,True,1.1754943508222875e-38,6.620955797775974e+16,-0.0489248184267832,-0.19916090840663309,1.9509609544756132,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.027164232497011165,19,stage_t_plain
1,2,12,1,True,Stage-T Plain,True,150,True,4900584.225170546,149.5896034039855,True,1.1754943508222875e-38,6.620955797775974e+16,-0.07217603861791999,-0.33440560161249255,1.832363464911295,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.02365570530663863,25,stage_t_plain
1,2,12,1,True,Stage-T Plain,True,150,True,11534280.896680064,361.24392080746816,True,1.1754943508222875e-38,6.620955797775974e+16,-0.035076583474396905,-0.19368169168420435,1.9174550675186282,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.005148505561288985,42,stage_t_plain
1,2,12,1,True,Stage-T Plain,True,150,False,23418187.22979948,,True,1.1754943508222875e-38,6.620955797775974e+16,,,,1.1754943508222875e-38,2.1504328797415057e+25,True,,50,stage_t_plain
1,2,12,1,True,Stage-T Plain,True,150,False,315001535.7885637,,True,1.1754943508222875e-38,6.620955797775974e+16,,,,1.1754943508222875e-38,2.1504328797415057e+25,True,,75,stage_t_plain
