channel,display_name,region,sample_count,shell,skill_mean,skill_median,variant
Bcc1,W1,inner,42,0,-132.17331822185065,-86.62550860419651,mixed_basis
Bcc1,W1,inner,42,1,-37.69348818279915,-23.31533040411386,mixed_basis
Bcc1,W1,inner,42,2,-622.0092374546533,-82.70372832063697,mixed_basis
Bcc1,W1,middle,42,3,-4.472444086276464,-1.240397393724767,mixed_basis
Bcc1,W1,middle,42,4,-2.028402096786016,-0.3715352568221958,mixed_basis
Bcc1,W1,middle,42,5,-0.46678964664966827,0.4451530755581662,mixed_basis
Bcc1,W1,outer,42,6,0.050627108272497855,0.20294408262888947,mixed_basis
Bcc1,W1,outer,42,7,-17.624312407201053,-3.1226925495179008,mixed_basis
Bcc2,W1,inner,42,0,-4296.186277234405,-43.639869983570065,mixed_basis
Bcc2,W1,inner,42,1,-31.27125295487347,-13.770538394293048,mixed_basis
Bcc2,W1,inner,42,2,-8.409012176023667,-1.4354324249061305,mixed_basis
Bcc2,W1,middle,42,3,-5.859835965010453,-1.4559819060373378,mixed_basis
Bcc2,W1,middle,42,4,-5.710527794356343,-1.7232460837831327,mixed_basis
Bcc2,W1,middle,42,5,-246.16306063400657,-65.50872719743018,mixed_basis
Bcc2,W1,outer,42,6,-3230.82399459763,-911.4459680231855,mixed_basis
Bcc2,W1,outer,42,7,-1330282.699793242,-199542.84008338017,mixed_basis
Bcc3,W1,inner,42,0,-21028.506860185807,-35.79640955965965,mixed_basis
Bcc3,W1,inner,42,1,-1261016.36143468,-7.222668392038949,mixed_basis
Bcc3,W1,inner,42,2,-20.17223320038274,-2.2301013333786575,mixed_basis
Bcc3,W1,middle,42,3,-12.781111291420974,-2.2095734481627067,mixed_basis
Bcc3,W1,middle,42,4,-20.101425729531034,-5.495074603261884,mixed_basis
Bcc3,W1,middle,42,5,-6.991913631592251,-3.06051445477509,mixed_basis
Bcc3,W1,outer,42,6,-18.600772489901814,-4.440244636640017,mixed_basis
Bcc3,W1,outer,42,7,-1378.9964981815767,-727.0334261533999,mixed_basis
aggregate_focus,W1,inner,126,0,-8441.644978522801,-8.120905126954582,mixed_basis
aggregate_focus,W1,inner,126,1,-420357.70596583205,-5.076012804020722,mixed_basis
aggregate_focus,W1,inner,126,2,-10.64410859100865,-0.82314361849451,mixed_basis
aggregate_focus,W1,middle,126,3,-6.284469675251804,-1.0147299063990285,mixed_basis
aggregate_focus,W1,middle,126,4,-9.363761778825207,-1.6484265864873788,mixed_basis
aggregate_focus,W1,middle,126,5,-84.92293826868874,-2.861205179526669,mixed_basis
aggregate_focus,W1,outer,126,6,-1084.4098396366217,-6.338845818058147,mixed_basis
aggregate_focus,W1,outer,126,7,-443889.6020790062,-727.0334261533999,mixed_basis
press,W1,inner,42,0,-2.4312253260694788e+28,-29548401.787318096,mixed_basis
press,W1,inner,42,1,-25984.98047990258,-471.2136524842389,mixed_basis
press,W1,inner,42,2,-13.70822997743817,-8.519708669242664,mixed_basis
press,W1,middle,42,3,-5.238149260492399,-0.16828428271007234,mixed_basis
press,W1,middle,42,4,-0.42150002212647514,0.19617773262868415,mixed_basis
press,W1,middle,42,5,-2.4911740277914505,0.22463669459993008,mixed_basis
press,W1,outer,42,6,-8.402698522609523,-3.585157932359011,mixed_basis
press,W1,outer,42,7,-2.420203440182174,-2.7670498340908574,mixed_basis
rho,W1,inner,42,0,-3.97360949545721e+43,-14710172108187.623,mixed_basis
rho,W1,inner,42,1,-8363201.6249758955,-29550.72880782967,mixed_basis
rho,W1,inner,42,2,-697.4424600331297,-161.55115243040882,mixed_basis
rho,W1,middle,42,3,-21.151607680036026,-6.616837842504079,mixed_basis
rho,W1,middle,42,4,-4.058986216974067,-2.240882689340891,mixed_basis
rho,W1,middle,42,5,-13.700550223104337,-6.660239168364521,mixed_basis
rho,W1,outer,42,6,-401.723670851422,-79.08100029286666,mixed_basis
rho,W1,outer,42,7,-83.61832467652926,-82.40026309801152,mixed_basis
vel1,W1,inner,42,0,-2.67585121568675,-1.0792109048046994,mixed_basis
vel1,W1,inner,42,1,-0.9113087752821368,-0.3832650098336089,mixed_basis
vel1,W1,inner,42,2,-2.0124743862348655,-0.2975846250132206,mixed_basis
vel1,W1,middle,42,3,-0.47453762457182624,-0.12015712338641049,mixed_basis
vel1,W1,middle,42,4,-3.0824697716395173,-0.8395361208777682,mixed_basis
vel1,W1,middle,42,5,-6.472332970368717,-3.144868838737285,mixed_basis
vel1,W1,outer,42,6,-21.11576321527762,-9.322440840811607,mixed_basis
vel1,W1,outer,42,7,-90.66484685440321,-30.004580651353766,mixed_basis
vel2,W1,inner,42,0,-14.568784638403226,-4.661608811256146,mixed_basis
vel2,W1,inner,42,1,-31.220297041959075,-0.06765121412921016,mixed_basis
vel2,W1,inner,42,2,-2.0887112723618975,-0.0523399784002867,mixed_basis
vel2,W1,middle,42,3,-21.297747174154658,-1.3727268968296678,mixed_basis
vel2,W1,middle,42,4,-7.5324385435082855,-3.1029203248686206,mixed_basis
vel2,W1,middle,42,5,-8.170756207211223,-1.8972610411851607,mixed_basis
vel2,W1,outer,42,6,-0.9807055890929083,-0.4925885544840102,mixed_basis
vel2,W1,outer,42,7,-16.058386498483493,-3.8311169879147133,mixed_basis
vel3,W1,inner,42,0,-0.2417981481953861,-0.07365667254856356,mixed_basis
vel3,W1,inner,42,1,-25.48520986148617,-1.6648422405222587,mixed_basis
vel3,W1,inner,42,2,-3.351080396619542,-0.32233962680730077,mixed_basis
vel3,W1,middle,42,3,-0.21246176932398392,-0.020359913686601616,mixed_basis
vel3,W1,middle,42,4,-2.2793318125882513,-0.059734608470449535,mixed_basis
vel3,W1,middle,42,5,-1.6138405404673584,0.05032093013912792,mixed_basis
vel3,W1,outer,42,6,-3.804751822334215,-0.41365812063154683,mixed_basis
vel3,W1,outer,42,7,-7.109945595058476,-2.85705321378042,mixed_basis
Bcc1,W2,inner,42,0,-172.45013779671837,-110.22630625858243,mixed_basis_boundary
Bcc1,W2,inner,42,1,-21.06137177639556,-10.134263909183641,mixed_basis_boundary
Bcc1,W2,inner,42,2,-525.0337899012054,-61.53946142286347,mixed_basis_boundary
Bcc1,W2,middle,42,3,-1.794438948767382,-0.7961836590395897,mixed_basis_boundary
Bcc1,W2,middle,42,4,-1.2605465583628286,0.02838401084118447,mixed_basis_boundary
Bcc1,W2,middle,42,5,-2.745631435413329,0.18149570925758574,mixed_basis_boundary
Bcc1,W2,outer,42,6,-0.3435863125775398,0.20981884895620156,mixed_basis_boundary
Bcc1,W2,outer,42,7,-15.284774789179467,-3.7849247337440683,mixed_basis_boundary
Bcc2,W2,inner,42,0,-433577.76368557767,-575.6800317004077,mixed_basis_boundary
Bcc2,W2,inner,42,1,-43.51068808434001,-10.402754194479837,mixed_basis_boundary
Bcc2,W2,inner,42,2,-5.895697009324483,-1.1956614267547807,mixed_basis_boundary
Bcc2,W2,middle,42,3,-7.261358925394346,-1.7717130929647522,mixed_basis_boundary
Bcc2,W2,middle,42,4,-2.221235602788392,-0.5087980151895626,mixed_basis_boundary
Bcc2,W2,middle,42,5,-229.9827174353532,-55.49144486284995,mixed_basis_boundary
Bcc2,W2,outer,42,6,-7846.870924428193,-2157.6790027398847,mixed_basis_boundary
Bcc2,W2,outer,42,7,-182826.5121304549,-74338.74339765706,mixed_basis_boundary
Bcc3,W2,inner,42,0,-869.3581841636667,-37.707909613555984,mixed_basis_boundary
Bcc3,W2,inner,42,1,-42.11979369061173,-1.244772224489859,mixed_basis_boundary
Bcc3,W2,inner,42,2,-10.522385376302415,-1.3746401691728525,mixed_basis_boundary
Bcc3,W2,middle,42,3,-12.285971062099392,-1.2977022712006974,mixed_basis_boundary
Bcc3,W2,middle,42,4,-20.389963343765753,-4.523713401262915,mixed_basis_boundary
Bcc3,W2,middle,42,5,-8.085467051483477,-4.061289341941144,mixed_basis_boundary
Bcc3,W2,outer,42,6,-25.645070634420716,-7.477316099868196,mixed_basis_boundary
Bcc3,W2,outer,42,7,-32.625554056583915,-30.02742892506863,mixed_basis_boundary
aggregate_focus,W2,inner,126,0,-144815.91273787295,-19.320294955199756,mixed_basis_boundary
aggregate_focus,W2,inner,126,1,-31.941093370580788,-1.6669370311113607,mixed_basis_boundary
aggregate_focus,W2,inner,126,2,-7.031473288360401,-0.8577993053696021,mixed_basis_boundary
aggregate_focus,W2,middle,126,3,-6.740453079070148,-1.0209002706882504,mixed_basis_boundary
aggregate_focus,W2,middle,126,4,-8.991367312151576,-1.3359306444850616,mixed_basis_boundary
aggregate_focus,W2,middle,126,5,-83.10882499832735,-6.778368772143612,mixed_basis_boundary
aggregate_focus,W2,outer,126,6,-2630.940111752906,-13.584112657465981,mixed_basis_boundary
aggregate_focus,W2,outer,126,7,-60955.344126921926,-30.678880484717922,mixed_basis_boundary
press,W2,inner,42,0,-8.029003537876774e+26,-95732539.07230344,mixed_basis_boundary
press,W2,inner,42,1,-3717.4948537230007,-215.45496841866873,mixed_basis_boundary
press,W2,inner,42,2,-2.928791484856127,-1.5743436303411786,mixed_basis_boundary
press,W2,middle,42,3,-1.9656614864940127,-0.31345788509651706,mixed_basis_boundary
press,W2,middle,42,4,-2.237275607737691,-0.6148555457660781,mixed_basis_boundary
press,W2,middle,42,5,-397.2702704383963,-2.552972309656119,mixed_basis_boundary
press,W2,outer,42,6,-21.6287227441123,-10.797789811931807,mixed_basis_boundary
press,W2,outer,42,7,-2.307320344974934,-1.747426055408669,mixed_basis_boundary
rho,W2,inner,42,0,-8.548087152458059e+20,-61555549.41388093,mixed_basis_boundary
rho,W2,inner,42,1,-105802.56350153893,-3281.2110754634186,mixed_basis_boundary
rho,W2,inner,42,2,-310.2542686594845,-59.83284095701518,mixed_basis_boundary
rho,W2,middle,42,3,-2.804291481368561,-0.19971327381813564,mixed_basis_boundary
rho,W2,middle,42,4,-5.722031764675869,-1.486081688095765,mixed_basis_boundary
rho,W2,middle,42,5,-37.0798899814368,-20.448530179544335,mixed_basis_boundary
rho,W2,outer,42,6,-338.80154790549614,-81.61403865800183,mixed_basis_boundary
rho,W2,outer,42,7,-25.184657185347305,-24.420127830250017,mixed_basis_boundary
vel1,W2,inner,42,0,-11.52790627752657,-5.265931777828392,mixed_basis_boundary
vel1,W2,inner,42,1,-6.433038947458822,-0.5272642019387599,mixed_basis_boundary
vel1,W2,inner,42,2,-1.7187388618816495,-0.29918604821196815,mixed_basis_boundary
vel1,W2,middle,42,3,-2.3557362934575776,-0.4080985205478498,mixed_basis_boundary
vel1,W2,middle,42,4,-5.855003197541093,-1.7230704051317647,mixed_basis_boundary
vel1,W2,middle,42,5,-8.940441682046819,-4.4093990728763295,mixed_basis_boundary
vel1,W2,outer,42,6,-31.959085810509702,-15.049856780257354,mixed_basis_boundary
vel1,W2,outer,42,7,-147.79798184585346,-53.301993177870926,mixed_basis_boundary
vel2,W2,inner,42,0,-21.06808141963524,-6.692146924366555,mixed_basis_boundary
vel2,W2,inner,42,1,-78.91890471617396,-0.37600407991447093,mixed_basis_boundary
vel2,W2,inner,42,2,-1.6368338551720707,0.17055216785526922,mixed_basis_boundary
vel2,W2,middle,42,3,-35.15736072451874,-2.489557072675319,mixed_basis_boundary
vel2,W2,middle,42,4,-10.940121357863067,-3.967532805523058,mixed_basis_boundary
vel2,W2,middle,42,5,-8.676132828761789,-2.5386755361377107,mixed_basis_boundary
vel2,W2,outer,42,6,-2.4617888305729863,-1.0250188288336552,mixed_basis_boundary
vel2,W2,outer,42,7,-7.228964939493919,-1.5924646803258065,mixed_basis_boundary
vel3,W2,inner,42,0,-0.6163438775925877,-0.10052391113201775,mixed_basis_boundary
vel3,W2,inner,42,1,-10.192798336790629,-0.4419468419395459,mixed_basis_boundary
vel3,W2,inner,42,2,-4.676337479454307,-0.22133994525715917,mixed_basis_boundary
vel3,W2,middle,42,3,-0.6740292497167064,0.034468468995636214,mixed_basis_boundary
vel3,W2,middle,42,4,-4.362902989900574,-0.5105044173799849,mixed_basis_boundary
vel3,W2,middle,42,5,-11.258290508145352,-1.535087596958152,mixed_basis_boundary
vel3,W2,outer,42,6,-20.30434019610191,-2.758892855194731,mixed_basis_boundary
vel3,W2,outer,42,7,-6.894696254293556,-4.807469736682873,mixed_basis_boundary
Bcc1,Stage-T,inner,42,0,-130.31572260587603,-90.43773810517277,stage_t
Bcc1,Stage-T,inner,42,1,-45.86142086003973,-29.949923944591372,stage_t
Bcc1,Stage-T,inner,42,2,-890.0078250809341,-123.41057847223769,stage_t
Bcc1,Stage-T,middle,42,3,-13.448065656853307,-6.62146364221025,stage_t
Bcc1,Stage-T,middle,42,4,-0.6698202410832662,0.2609445086591689,stage_t
Bcc1,Stage-T,middle,42,5,-1.048493981050218,-0.010022534272604244,stage_t
