channel,display_name,radial_index,region,sample_count,skill_mean,skill_median,variant
Bcc1,W1,0,inner,42,-38.53734777433102,-18.440503433547054,mixed_basis
Bcc1,W1,1,inner,42,-16.47649081421368,-6.620375837860557,mixed_basis
Bcc1,W1,2,inner,42,-61.215151192791815,-10.654309826266118,mixed_basis
Bcc1,W1,3,inner,42,-57.98163216512318,-18.30268375952638,mixed_basis
Bcc1,W1,4,inner,42,-72.0493851520208,-20.386846635718914,mixed_basis
Bcc1,W1,5,inner,42,-164.98573375110837,-24.948237868407098,mixed_basis
Bcc1,W1,6,inner,42,-512.6092861514014,-42.00962554259833,mixed_basis
Bcc1,W1,7,inner,42,-130.85193718887632,-94.96787437658244,mixed_basis
Bcc1,W1,8,inner,42,-534.9651631912238,-135.24366838853103,mixed_basis
Bcc1,W1,9,inner,42,-677.5618423915139,-319.96364702040404,mixed_basis
Bcc1,W1,10,inner,42,-252.75665675081777,-86.9694318081235,mixed_basis
Bcc1,W1,11,inner,42,-963.6187158711463,-129.5240605474146,mixed_basis
Bcc1,W1,12,inner,42,-583.5628652904209,-166.47818022830452,mixed_basis
Bcc1,W1,13,inner,42,-1653.2463542593814,-246.90292670321094,mixed_basis
Bcc1,W1,14,inner,42,-767.6981161521029,-331.5893210128139,mixed_basis
Bcc1,W1,15,inner,42,-558.8235351893511,-370.4745312196328,mixed_basis
Bcc1,W1,16,inner,42,-798.8745528442738,-242.53844189610726,mixed_basis
Bcc1,W1,17,inner,42,-2383.7613234154255,-170.02939095669086,mixed_basis
Bcc1,W1,18,inner,42,-483.27668427533547,-143.02523641064965,mixed_basis
Bcc1,W1,19,inner,42,-2460.606481291632,-131.44244694791388,mixed_basis
Bcc1,W1,20,inner,42,-276.714195945464,-56.79346100462637,mixed_basis
Bcc1,W1,21,middle,42,-130.20685841373907,-58.86431965327459,mixed_basis
Bcc1,W1,22,middle,42,-111.05225259150355,-40.7888887183778,mixed_basis
Bcc1,W1,23,middle,42,-31.645592233813506,-21.96040541045935,mixed_basis
Bcc1,W1,24,middle,42,-32.87377892588542,-20.650535782432193,mixed_basis
Bcc1,W1,25,middle,42,-793.8102983046953,-17.80682009263284,mixed_basis
Bcc1,W1,26,middle,42,-56.1759180090793,-21.295135860256444,mixed_basis
Bcc1,W1,27,middle,42,-414.7029993139103,-27.53454310616382,mixed_basis
Bcc1,W1,28,middle,42,-71.6824221820372,-26.257726083285,mixed_basis
Bcc1,W1,29,middle,42,-96.53276511874952,-22.220815781783944,mixed_basis
Bcc1,W1,30,middle,42,-59.022687724794615,-22.818136850543432,mixed_basis
Bcc1,W1,31,middle,42,-82.7097469483845,-17.471570809720006,mixed_basis
Bcc1,W1,32,middle,42,-49.862643359387235,-19.72276958424139,mixed_basis
Bcc1,W1,33,middle,42,-108.37640215785999,-15.950126364545198,mixed_basis
Bcc1,W1,34,middle,42,-28.06985181596845,-13.47194821270367,mixed_basis
Bcc1,W1,35,middle,42,-115.25719617560306,-12.594014762785102,mixed_basis
Bcc1,W1,36,middle,42,-33.159527116805826,-11.352894297859454,mixed_basis
Bcc1,W1,37,middle,42,-41.796727803298495,-13.991963469270711,mixed_basis
Bcc1,W1,38,middle,42,-43.78947632883004,-9.617019493377825,mixed_basis
Bcc1,W1,39,middle,42,-68.36090995818189,-9.93835518125574,mixed_basis
Bcc1,W1,40,middle,42,-20.70038859132177,-8.524511951035006,mixed_basis
Bcc1,W1,41,middle,42,-55.85589774797406,-5.652690671653216,mixed_basis
