array_equal,channel,max_absolute_difference,snapshot
True,Bcc1,0.0,0
True,Bcc2,0.0,0
True,Bcc3,0.0,0
True,rho,0.0,0
True,press,0.0,0
True,vel1,0.0,0
True,vel2,0.0,0
True,vel3,0.0,0
True,Bcc1,0.0,25
True,Bcc2,0.0,25
True,Bcc3,0.0,25
True,rho,0.0,25
True,press,0.0,25
True,vel1,0.0,25
True,vel2,0.0,25
True,vel3,0.0,25
True,Bcc1,0.0,50
True,Bcc2,0.0,50
True,Bcc3,0.0,50
True,rho,0.0,50
True,press,0.0,50
True,vel1,0.0,50
True,vel2,0.0,50
True,vel3,0.0,50
True,Bcc1,0.0,75
True,Bcc2,0.0,75
True,Bcc3,0.0,75
True,rho,0.0,75
True,press,0.0,75
True,vel1,0.0,75
True,vel2,0.0,75
True,vel3,0.0,75
True,Bcc1,0.0,100
True,Bcc2,0.0,100
True,Bcc3,0.0,100
True,rho,0.0,100
True,press,0.0,100
True,vel1,0.0,100
True,vel2,0.0,100
True,vel3,0.0,100
True,Bcc1,0.0,125
True,Bcc2,0.0,125
True,Bcc3,0.0,125
True,rho,0.0,125
True,press,0.0,125
True,vel1,0.0,125
True,vel2,0.0,125
True,vel3,0.0,125
True,Bcc1,0.0,150
True,Bcc2,0.0,150
True,Bcc3,0.0,150
True,rho,0.0,150
True,press,0.0,150
True,vel1,0.0,150
True,vel2,0.0,150
True,vel3,0.0,150
True,Bcc1,0.0,175
True,Bcc2,0.0,175
True,Bcc3,0.0,175
True,rho,0.0,175
True,press,0.0,175
True,vel1,0.0,175
True,vel2,0.0,175
True,vel3,0.0,175
True,Bcc1,0.0,200
True,Bcc2,0.0,200
True,Bcc3,0.0,200
True,rho,0.0,200
True,press,0.0,200
True,vel1,0.0,200
True,vel2,0.0,200
True,vel3,0.0,200
True,Bcc1,0.0,211
True,Bcc2,0.0,211
True,Bcc3,0.0,211
True,rho,0.0,211
True,press,0.0,211
True,vel1,0.0,211
True,vel2,0.0,211
True,vel3,0.0,211
