asset,url,repository,commit_or_tag,release_date,license,downloaded_file_or_audited_path,sha256_or_provider_checksum,relation_to_paper,provenance_class,audit_result
target paper arXiv abstract,https://arxiv.org/abs/2512.01576v1,arXiv,2512.01576v1,2025-12-01,not stated in inspected source package,web page,not downloaded,paper record,OFFICIAL_PAPER_ASSET,FOUND_VERIFIED
target paper PDF,https://arxiv.org/pdf/2512.01576v1,arXiv,2512.01576v1,2025-12-01,not stated in inspected source package,/tmp/stage_y_2512.01576v1.pdf,sha256:fe84a42289da7e86dd8460d223e57627a86aa0b2114a64a13b83f84388441808,paper text,OFFICIAL_PAPER_ASSET,FOUND_VERIFIED
target paper TeX source,https://arxiv.org/e-print/2512.01576v1,arXiv,2512.01576v1,2025-12-01,not stated in inspected source package,/tmp/stage_y_2512.01576v1_source.tar,sha256:6e758b1fdd74f27f332a0bfa21dc9a44afd1a458e7459c2048539f0c98c861bf,paper source; TeX/bibliography/figures only,OFFICIAL_PAPER_ASSET,FOUND_VERIFIED_NO_CODE_OR_DATA
NeurIPS workshop page,https://neurips.cc/virtual/2025/loc/san-diego/122904,NeurIPS,2025 workshop record,2025,not available,web page,not downloaded,official venue record linking only OpenReview,OFFICIAL_PAPER_ASSET,FOUND_VERIFIED_NO_CODE_OR_DATA
OpenReview project page,https://openreview.net/forum?id=mL9sQvIQ8U,OpenReview,forum mL9sQvIQ8U,2025,not available,web page; API access denied during audit,not downloaded,official venue-linked project page,OFFICIAL_PAPER_ASSET,FOUND_PARTIAL_NO_ASSET_LINK_OBSERVED
Chuwei Wang author homepage,https://cwwangcal.github.io/,author homepage,site updated 2026-01-09,2026-01-09,not available,web page,not downloaded,lists paper with arXiv link only,AUTHOR_RELATED_ASSET,FOUND_VERIFIED_NO_CODE_OR_DATA
Chuwei Wang neuraloperator fork,https://github.com/cwwangcal/neuraloperator,cwwangcal/neuraloperator,8719ad20733d4b58414a65706c62dda634a642bc,2025-08-12,MIT,/tmp/stage_y_cwwang_neuraloperator,git commit:8719ad20733d4b58414a65706c62dda634a642bc,author fork predating paper submission; one branch; no paper/GRMHD/3D DISCO files,AUTHOR_RELATED_ASSET,FOUND_VERIFIED_NOT_PAPER_CODE
pinned neuraloperator dependency,https://github.com/neuraloperator/neuraloperator,neuraloperator/neuraloperator,86a8bc7812a31b42c4f7895693cf4ac11521c066,commit date available in Git,MIT,external/neuraloperator,git commit:86a8bc7812a31b42c4f7895693cf4ac11521c066,project-pinned dependency; not the paper repository,UPSTREAM_DEPENDENCY,FOUND_VERIFIED_2D_DISCO_ONLY
LocalNO primary reference PDF,https://arxiv.org/pdf/2402.16845,arXiv,2402.16845v2,2024-06-08,arXiv record,/tmp/stage_y_2402.16845.pdf,sha256:485956551f9b683c2ba621bb1d02973238df5d90732c2d090403525401287125,"primary operator reference; general/2D contract, not target volumetric implementation",UPSTREAM_DEPENDENCY,FOUND_VERIFIED_PARTIAL_SPECIFICATION
public Athena++ source,https://github.com/PrincetonUniversity/athena-public-version,PrincetonUniversity/athena-public-version,9c266692b9423743d8e23509b3ab266a232a92d2,local clone commit,BSD-3-Clause,/home/curl/athena-public-version,git commit:9c266692b9423743d8e23509b3ab266a232a92d2,software convention reference; no content link to local raw run,UPSTREAM_DEPENDENCY,FOUND_VERIFIED_NOT_RUN_PROVENANCE
M87 MAD98 data/code archive,https://doi.org/10.5281/zenodo.10570521,Zenodo record 10570521,record version 1,2024-01-26,CC-BY-4.0,metadata and ZIP central directory/ranged small scripts only,"provider md5:5c08f6db83437f5177cac5473ae328d6; 2,011,328,260 bytes","different M87 paper; similar MAD98 family, not target-paper data and not cryptographically bound to local raw files",THIRD_PARTY,FOUND_VERIFIED_EXCLUDED_AS_EXACT_EVIDENCE
