reproduction_scope,resolution,channel,increment_relative_difference_median,increment_cosine_median,oracle_floor_physical_relative_l2,same_resolution_persistence_state_l2,same_resolution_persistence_physical_l2,model_status,state_relative_l2,residual_relative_l2,residual_cosine
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,Bcc1,0.29998233627878496,0.953645779490561,0.552321814998648,0.32332857537603116,0.5933067678205045,available_stage_t_epoch150,0.23847350201791295,0.7375577711661483,0.6783863756991302
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,Bcc2,0.5370014306325629,0.8444205854525992,1.4946018499410933e-07,0.5612767069305864,0.4454955068120849,available_stage_t_epoch150,0.4468337654043549,0.7961024433541122,0.6522948835684826
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,Bcc3,0.43515638837859677,0.8970949347536743,1.28260586752325e-07,0.307950507465501,0.2145529194587437,available_stage_t_epoch150,0.18548319032353788,0.6023149365198377,0.8013948279458492
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,rho,0.538794636075677,0.8503743087939213,3.2118490091891286e-07,0.15490376098022382,1.08263710293398,available_stage_t_epoch150,0.15533676287465467,1.002795447278758,0.23102959698092718
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,press,0.5453217129571674,0.8417741428922629,3.289401209912225e-07,0.14467579682012863,1.1224128734671261,available_stage_t_epoch150,0.1438619328671123,0.994374519965799,0.22465538837331503
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel1,0.4677121969698138,0.8889060648785321,0.016863989764401694,0.09622849147329732,0.07156987059129419,available_stage_t_epoch150,0.10070492491378895,1.0465187898837194,0.08526251691552328
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel2,0.3316775754234771,0.9428462759378702,0.35670897969616344,0.752519602004397,0.9055986464582165,available_stage_t_epoch150,0.7222800425095661,0.9598155942847565,0.5229637152703541
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel3,0.5943937487299193,0.81259827807715,1.8615873742397494e-08,0.14137638302135003,0.13709516393322768,available_stage_t_epoch150,0.14071643218652077,0.9953319489772864,0.34068573741514463
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc1,0.3034254961739926,0.9537191114123755,0.5671538010215452,0.3240298737988843,0.6058201936687237,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc2,0.40047706491368595,0.9181021722396807,1.5803761845775687e-07,0.5565195334362735,0.40213226699108806,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc3,0.3736565221719632,0.9283048308348865,1.3126903898731176e-07,0.3097633923198722,0.21620447019840291,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,rho,0.41313589457357586,0.9171158785625125,3.20055675195051e-07,0.15466230112793614,1.0754196681732,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,press,0.44908413181556683,0.9008841715761366,3.2761471318375327e-07,0.14433233562596387,1.1189063521882763,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel1,0.37475432101075157,0.9283590096914508,0.015120810267705363,0.09636742908528641,0.07154524296408779,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel2,0.32253112764891056,0.9477459496875354,0.3763847170755232,0.7519103194903933,0.8931124117943936,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel3,0.4784779383190457,0.8820223297264946,1.8630377480411928e-08,0.14296419523391102,0.13866248074922882,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc1,0.0,1.0,0.5665086979028645,0.32337823250258096,0.6048006747453392,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc2,0.0,1.0,1.5735729788604307e-07,0.5550312045952347,0.40464470009691905,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc3,0.0,1.0,1.3282169780977558e-07,0.3079437842076525,0.21241186900167158,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,rho,0.0,1.0,3.2044273187905686e-07,0.15458537704204023,1.081513060422061,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,press,0.0,1.0,3.28112227652678e-07,0.1440422536160771,1.1219522203168892,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel1,0.0,1.0,0.01628249501780371,0.09645063696834114,0.0716985290826916,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel2,0.0,1.0,0.3690590538006709,0.750560936702708,0.893171052574735,blocked_gpu_preflight,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel3,0.0,1.0,1.87707781755093e-08,0.14326307238765126,0.13895826375876533,blocked_gpu_preflight,,,
