reproduction_scope,resolution,step,status,finite,rho_press_positive,above_Rout,normalized_state_l2,residual_cosine,shell_skill,radial_skill,physical_range_explosion
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,1,available_stage_t_epoch150,True,True,False,0.24164958038372727,0.8832225143910961,-2.9718848991078204,0.05007717361225705,True
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,2,available_stage_t_epoch150,True,True,False,0.2589714124698174,0.7417500641143955,-8.103512726533967,-5.085161307106974,True
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,3,available_stage_t_epoch150,True,True,False,0.4431932326012445,0.35823976683147324,-516599506910.5325,-253292.93167291145,True
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,5,available_stage_t_epoch150,True,True,True,6.443260205344884,0.1561525363993255,-74.86828423074813,-11.997925546596017,True
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,10,available_stage_t_epoch150,True,True,True,93.16015344870155,0.08628614587301506,-0.1316009870857524,-0.24578353289555088,True
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,19,available_stage_t_epoch150,True,True,True,129.37088809452734,-0.19916090840663309,-0.027164232497011165,-0.0489248184267832,True
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,25,available_stage_t_epoch150,True,True,True,149.5896034039855,-0.33440560161249255,-0.02365570530663863,-0.07217603861791999,True
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,42,available_stage_t_epoch150,True,True,True,361.24392080746816,-0.19368169168420435,-0.005148505561288985,-0.035076583474396905,True
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,50,available_stage_t_epoch150,True,True,True,,,,,True
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,75,available_stage_t_epoch150,True,True,True,,,,,True
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,100,available_stage_t_epoch150,True,True,True,,,,,True
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,1,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,2,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,3,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,5,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,10,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,19,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,25,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,42,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,50,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,75,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,100,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,1,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,2,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,3,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,5,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,10,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,19,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,25,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,42,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,50,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,75,blocked_gpu_preflight,,,,,,,,
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,100,blocked_gpu_preflight,,,,,,,,
