reproduction_scope,resolution,channel,validation_snapshot_start,validation_snapshot_end_inclusive,validation_snapshot_count,physical_relative_l2,maximum_absolute_error,encoded_inverse_limit_fraction,finite,rho_press_positive,validation_used_for_fit
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,Bcc1,169,211,43,0.552321814998648,17.621328830718994,0.12243066832076671,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,Bcc2,169,211,43,1.4946018499410933e-07,1.9073486328125e-06,0.399073135021121,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,Bcc3,169,211,43,1.28260586752325e-07,1.52587890625e-05,0.5690808850665425,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,rho,169,211,43,3.2118490091891286e-07,0.0001220703125,0.0,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,press,169,211,43,3.289401209912225e-07,6.103515625e-05,0.0,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel1,169,211,43,0.016863989764401694,2.755953311920166,0.002611027207485465,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel2,169,211,43,0.35670897969616344,0.36058806627988815,0.02985736935637718,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel3,169,211,43,1.8615873742397494e-08,1.1920928955078125e-07,0.3009453706963118,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc1,169,211,43,0.5671538010215452,20.2035231590271,0.12314142429243378,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc2,169,211,43,1.5803761845775687e-07,1.9073486328125e-06,0.3990806034163706,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc3,169,211,43,1.3126903898731176e-07,1.52587890625e-05,0.5680526220829296,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,rho,169,211,43,3.20055675195051e-07,0.0001373291015625,0.0,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,press,169,211,43,3.2761471318375327e-07,6.103515625e-05,0.0,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel1,169,211,43,0.015120810267705363,2.2003135681152344,0.002323673061006137,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel2,169,211,43,0.3763847170755232,0.36910078674554825,0.031176058615619617,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel3,169,211,43,1.8630377480411928e-08,1.1920928955078125e-07,0.3013023093894676,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc1,169,211,43,0.5665086979028645,20.16509437561035,0.12356421004894168,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc2,169,211,43,1.5735729788604307e-07,1.9073486328125e-06,0.3992432660834734,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc3,169,211,43,1.3282169780977558e-07,1.52587890625e-05,0.5679078656573628,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,rho,169,211,43,3.2044273187905686e-07,0.0001220703125,0.0,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,press,169,211,43,3.28112227652678e-07,6.103515625e-05,0.0,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel1,169,211,43,0.01628249501780371,2.508075714111328,0.002450699029966842,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel2,169,211,43,0.3690590538006709,0.3689480721950531,0.03084613001623819,True,True,False
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel3,169,211,43,1.87707781755093e-08,1.1920928955078125e-07,0.300961317018021,True,True,False
