absolute_difference,channel,increment_profile,profile_cosine,profile_relative_l2,r,radial_index,reference_increment_profile,reference_semantics,resolution,source_snapshot,target_snapshot,reproduction_scope
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,1.1456345721309733,0,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,1.2426617876622312,1,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,1.3479065280332274,2,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,1.4620647599799128,3,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,1.5858913937409358,4,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,1.72020527515903,5,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,1.865894600578393,6,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,2.0239227903459005,7,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,2.1953348597566915,8,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,2.3812643295741793,9,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,2.582940721822646,10,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,2.8016976904209168,11,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,3.0389818404236975,12,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,3.2963622941908164,13,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,3.575541067743924,14,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,3.8783643259278544,15,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,4.206834590805233,16,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,4.5631239840165145,17,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,4.949588590675056,18,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,5.368784039783396,19,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,5.823482404201546,20,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,6.316690531924104,21,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,6.851669929888003,22,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,7.431958331799358,23,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,8.061393092604032,24,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,8.744136564305812,25,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,9.484703620938475,26,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,10.287991514709972,27,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,11.159312260752715,28,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,12.104427764635117,29,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,13.12958792492707,30,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,14.241571962785574,31,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
