channel,field_loss_inner,field_loss_middle,field_loss_outer,global_cosine,global_relative_l2,high_frequency_fraction_absolute_difference,index_grid_high_frequency_energy_fraction,index_grid_low_frequency_energy_fraction,maximum,minimum,q001,q999,radial_profile_relative_l2,reference_high_frequency_energy_fraction,reference_low_frequency_energy_fraction,reference_maximum,reference_minimum,reference_q001,reference_q999,reference_resolution,reference_semantics,resolution,shell_mean_relative_l2,shell_variance_relative_l2,snapshot,reproduction_scope
Bcc1,0.0,0.0,0.30140855481841866,0.9582594058682972,0.3014085548184186,0.05056189190049895,0.17084677245596402,0.829153227544036,0.1506815403699875,-0.1506815403699875,-0.04784100502729416,0.04784100502729416,0.0,0.12028488055546507,0.879715119444535,0.10250136256217957,-0.10250136256217957,-0.053042151033878326,0.053042151033878326,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.0,0.21662808935962524,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc1,0.0,0.0,0.4734027177689588,0.8819265249868666,0.4734027177689588,0.048670532344483694,0.07818050350355328,0.9218194964964467,0.10250136256217957,-0.10250136256217957,-0.053042151033878326,0.045628614723682404,1.7155959462401527,0.12685103584803697,0.873148964151963,0.1506815403699875,-0.1506815403699875,-0.04784100502729416,0.053042151033878326,128,HIGHER_RES_SAMPLING_REFERENCE,96,1.7954672059643626,0.1977730577693298,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc1,0.0,0.0,0.0,1.0,0.0,0.0,0.0808401081567989,0.9191598918432011,0.1506815403699875,-0.1506815403699875,-0.04995345324277878,0.04995345324277878,0.0,0.0808401081567989,0.9191598918432011,0.1506815403699875,-0.1506815403699875,-0.04995345324277878,0.04995345324277878,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc2,0.0,0.0,1.0221560833939625,0.09564952309284082,1.0221560833939627,0.2230428288387166,0.17851286338963604,0.821487136610364,0.000595604011323303,-0.000975965871475637,-0.0005928664468228817,0.0,0.8605597381668005,0.40155569222835263,0.5984443077716474,0.0,-0.0061173164285719395,-0.0012766581494361162,0.0,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.5324453595725789,0.9171816223813866,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc2,0.0,0.0,0.42255673922035414,0.9121972978278082,0.42255673922035414,0.15208391232595414,0.36635574609682026,0.6336442539031797,0.0,-0.0061173164285719395,-0.001114260288886726,0.0,0.2899880614217394,0.5184396584227744,0.4815603415772256,0.000595604011323303,-0.0061173164285719395,-0.0007338288123719394,0.0,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.13201007546547416,0.02958450582414645,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc2,0.0,0.0,0.0,1.0,0.0,0.0,0.4760934156586344,0.5239065843413656,0.000595604011323303,-0.0061173164285719395,-0.000975965871475637,0.0,0.0,0.4760934156586344,0.5239065843413656,0.000595604011323303,-0.0061173164285719395,-0.000975965871475637,0.0,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.0,0.0,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.0,0.0,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
rho,0.041645045399668984,0.03193984378294686,0.06985981434577018,0.997996753223433,0.06985533581000224,6.220179938808785e-05,0.0010798124741018395,0.9989201875258982,0.9970715045928955,3.7619026898028096e-06,3.7619026898028096e-06,0.9791038632392883,0.062189262999340814,0.0011420142734899273,0.9988579857265101,0.9957894682884216,3.845881110464688e-06,3.845881110464688e-06,0.9791684746742249,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.04956870081818852,0.05309431771016787,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
rho,0.028108570489828642,0.022019711507218792,0.07519622525958757,0.9972472734211826,0.07519004634535899,0.00022480386018170276,0.0017683704319257244,0.9982316295680743,0.9970715045928955,3.62331093128887e-06,3.678532721096417e-06,0.9791684746742249,0.03684020512454992,0.001993174292107427,0.9980068257078926,0.9970715045928955,3.62331093128887e-06,3.6514254588837503e-06,0.9791038632392883,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.015579345119893421,0.015558513017509172,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
rho,0.0,0.0,0.0,1.0,0.0,0.0,0.001298898332497768,0.9987011016675023,0.9970715045928955,3.62331093128887e-06,3.6514254588837503e-06,0.9791684746742249,0.0,0.001298898332497768,0.9987011016675023,0.9970715045928955,3.62331093128887e-06,3.6514254588837503e-06,0.9791684746742249,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
press,0.06972717465362463,0.051088179981450564,0.07724793759783465,0.9996032243842388,0.0698284520354779,0.00047900249966684183,0.05512546241579955,0.9448745375842005,0.006958676967769861,1.9604057044375622e-08,1.9604057044375622e-08,0.006958676967769861,0.06575801474665212,0.05560446491546639,0.9443955350845337,0.007494259625673294,2.0338850603707215e-08,2.0338850603707215e-08,0.007494259625673294,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.06545180222576406,0.1276149744422394,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
