split,batch,source_index,target_index,case,batch_size,components.base_fidelity_raw,components.base_fidelity_weighted,components.bounds_press_raw,components.bounds_rho_raw,components.bounds_weighted,components.dissipation_raw,components.dissipation_weighted,components.envelope_press_raw,components.envelope_rho_raw,components.envelope_weighted,components.h1_raw,components.h1_weighted,components.roi_ramp,components.roi_raw,components.roi_weighted,components.total,diagnostics.base_channel_raw.Bcc1,diagnostics.base_channel_raw.Bcc2,diagnostics.base_channel_raw.Bcc3,diagnostics.base_channel_raw.press,diagnostics.base_channel_raw.rho,diagnostics.base_channel_raw.vel1,diagnostics.base_channel_raw.vel2,diagnostics.base_channel_raw.vel3,diagnostics.bounds_violation_fraction.press_above,diagnostics.bounds_violation_fraction.press_below,diagnostics.bounds_violation_fraction.rho_above,diagnostics.bounds_violation_fraction.rho_below,diagnostics.canonical_raw_roi_jaccard,diagnostics.dissipation_gate_max,diagnostics.dissipation_gate_mean,diagnostics.dissipation_gate_min,diagnostics.envelope_violation_fraction.press,diagnostics.envelope_violation_fraction.rho,diagnostics.fraction_above_Rin,diagnostics.fraction_above_Rout,diagnostics.input_norm_mean,diagnostics.prediction_norm_mean,diagnostics.roi_clamp_overlap,diagnostics.roi_voxel_fraction,diagnostics.target_clamp_fraction_by_channel.Bcc1,diagnostics.target_clamp_fraction_by_channel.Bcc2,diagnostics.target_clamp_fraction_by_channel.Bcc3,diagnostics.target_clamp_fraction_by_channel.press,diagnostics.target_clamp_fraction_by_channel.rho,diagnostics.target_clamp_fraction_by_channel.vel1,diagnostics.target_clamp_fraction_by_channel.vel2,diagnostics.target_clamp_fraction_by_channel.vel3,epoch,finite,plain_l2,roi_ramp
train,0,11,12,normalized_target,1,0.0,0.0,3.064499480842642e-07,0.0,1.532249704894184e-08,0.0,0.0,0.08788774907588959,0.8389670252799988,0.04634273797273636,0.0,0.0,0.0,0.0,0.0,0.04634275287389755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.7996430397033691,1.0,1.0,1.0,0.485107421875,0.88671875,0.0,0.0,2861.206787109375,2843.154052734375,0.3894028067588806,0.20000076293945312,0.0,0.0,0.162353515625,0.0,0.0,0.0,0.02685546875,0.15283203125,0,True,0.0,0.0
train,0,11,12,persistence_normalized_input,1,1.4703742265701294,1.5545687675476074,3.0660089578304905e-07,0.0,1.5330044789152453e-08,0.0,0.0,0.08694446831941605,0.8363716006278992,0.04616580531001091,2651.081787109375,132.55409240722656,0.0,0.21544364094734192,0.0,134.1548309326172,0.007447131909430027,0.13906054198741913,0.2744651436805725,0.016699837520718575,0.005889060441404581,0.1529703587293625,0.8092126846313477,0.0646294504404068,0.0,0.00390625,0.0,0.0,0.7996430397033691,1.0,1.0,1.0,0.482421875,0.884033203125,0.0,0.0,2861.206787109375,2861.206787109375,0.3894028067588806,0.20000076293945312,0.0,0.0,0.162353515625,0.0,0.0,0.0,0.02685546875,0.15283203125,0,True,1.4703742265701294,0.0
train,0,11,12,zero_tensor,1,30.83843231201172,33.17685317993164,0.0,0.0,0.0,0.0,0.0,0.031168334186077118,0.4214981198310852,0.022633323445916176,11056.0048828125,552.8002319335938,0.0,1.0,0.0,585.999755859375,0.34905922412872314,3.1334664821624756,8.209563255310059,0.9853166341781616,1.0677756071090698,0.7199509143829346,7.5696282386779785,8.803672790527344,0.0,0.0,0.0,0.0,0.7996430397033691,1.0,1.0,1.0,0.546875,0.734375,0.0,0.0,2861.206787109375,0.0,0.3894028067588806,0.20000076293945312,0.0,0.0,0.162353515625,0.0,0.0,0.0,0.02685546875,0.15283203125,0,True,30.83843231201172,0.0
train,0,11,12,deterministic_random,1,38.87318420410156,41.816993713378906,0.0005414538900367916,0.005869205109775066,0.0003205329703632742,0.0,0.0,0.48320508003234863,1.1003574132919312,0.07917812466621399,60222.7109375,3011.135498046875,0.0,1.0541760921478271,0.0,3053.03173828125,1.3495378494262695,4.148959636688232,9.220541000366211,1.977728009223938,2.0654921531677246,1.7182352542877197,8.575010299682617,9.817682266235352,0.028949737548828125,0.003139495849609375,0.005859375,0.023067474365234375,0.7996430397033691,1.0,1.0,1.0,0.45660400390625,0.6331062316894531,0.0,0.0,2861.206787109375,1448.353515625,0.3894028067588806,0.20000076293945312,0.0,0.0,0.162353515625,0.0,0.0,0.0,0.02685546875,0.15283203125,0,True,38.87318420410156,0.0
train,0,11,12,isolated_Bcc1,1,0.33333587646484375,0.4000030755996704,3.064499480842642e-07,0.0,1.532249704894184e-08,0.0,0.0,0.08788774907588959,0.8389670252799988,0.04634273797273636,124.03125,6.201562404632568,0.0,0.0,0.0,6.6479082107543945,0.33333587646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.7996430397033691,1.0,1.0,1.0,0.485107421875,0.88671875,0.0,0.0,2861.206787109375,2858.2041015625,0.3894028067588806,0.20000076293945312,0.0,0.0,0.162353515625,0.0,0.0,0.0,0.02685546875,0.15283203125,0,True,0.33333587646484375,0.0
train,0,11,12,isolated_Bcc3,1,0.33333587646484375,0.4000030755996704,3.064499480842642e-07,0.0,1.532249704894184e-08,0.0,0.0,0.08788774907588959,0.8389670252799988,0.04634273797273636,124.03125,6.201562404632568,0.0,0.0,0.0,6.6479082107543945,0.0,0.0,0.33333587646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.7996430397033691,1.0,1.0,1.0,0.485107421875,0.88671875,0.0,0.0,2861.206787109375,2859.51025390625,0.3894028067588806,0.20000076293945312,0.0,0.0,0.162353515625,0.0,0.0,0.0,0.02685546875,0.15283203125,0,True,0.33333587646484375,0.0
train,0,11,12,isolated_rho,1,0.33333587646484375,0.33333587646484375,3.064499480842642e-07,0.005279053933918476,0.00026396801695227623,0.0,0.0,0.08788774907588959,1.1236085891723633,0.060574814677238464,124.03125,6.201562404632568,0.0,0.0,0.0,6.595737457275391,0.0,0.0,0.0,0.0,0.33333587646484375,0.0,0.0,0.0,0.0,0.00390625,0.032947540283203125,0.028491973876953125,0.7996430397033691,1.0,1.0,1.0,0.485107421875,0.8016624450683594,0.0,0.0,2861.206787109375,2858.485107421875,0.3894028067588806,0.20000076293945312,0.0,0.0,0.162353515625,0.0,0.0,0.0,0.02685546875,0.15283203125,0,True,0.33333587646484375,0.0
train,0,11,12,isolated_press,1,0.33333587646484375,0.33333587646484375,0.004782163072377443,0.0,0.00023910815070848912,0.0,0.0,0.2422131597995758,0.8389670252799988,0.05405900999903679,124.03125,6.201562404632568,0.0,0.0,0.0,6.58919620513916,0.0,0.0,0.0,0.33333587646484375,0.0,0.0,0.0,0.0,0.030841827392578125,0.0235748291015625,0.0,0.0,0.7996430397033691,1.0,1.0,1.0,0.43962860107421875,0.88671875,0.0,0.0,2861.206787109375,2858.513427734375,0.3894028067588806,0.20000076293945312,0.0,0.0,0.162353515625,0.0,0.0,0.0,0.02685546875,0.15283203125,0,True,0.33333587646484375,0.0
train,0,11,12,isolated_vel1,1,0.33333587646484375,0.33333587646484375,3.064499480842642e-07,0.0,1.532249704894184e-08,0.0,0.0,0.08788774907588959,0.8389670252799988,0.04634273797273636,124.03124237060547,6.201562404632568,0.0,0.11018891632556915,0.0,6.581241130828857,0.0,0.0,0.0,0.0,0.0,0.33333587646484375,0.0,0.0,0.0,0.00390625,0.0,0.0,0.7996430397033691,1.0,1.0,1.0,0.485107421875,0.88671875,0.0,0.0,2861.206787109375,2858.48974609375,0.3894028067588806,0.20000076293945312,0.0,0.0,0.162353515625,0.0,0.0,0.0,0.02685546875,0.15283203125,0,True,0.33333587646484375,0.0
train,0,11,12,isolated_vel3,1,0.33333587646484375,0.33333587646484375,3.064499480842642e-07,0.0,1.532249704894184e-08,0.0,0.0,0.08788774907588959,0.8389670252799988,0.04634273797273636,124.03125,6.201562404632568,0.0,0.11018891632556915,0.0,6.581241130828857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333587646484375,0.0,0.00390625,0.0,0.0,0.7996430397033691,1.0,1.0,1.0,0.485107421875,0.88671875,0.0,0.0,2861.206787109375,2858.371826171875,0.3894028067588806,0.20000076293945312,0.0,0.0,0.162353515625,0.0,0.0,0.0,0.02685546875,0.15283203125,0,True,0.33333587646484375,0.0
