baseline,section,metric,channel,value,numerator_squared_sum,denominator_squared_sum
oracle,relative_l2,E_norm,Bcc1,0.0,0.0,8716574.703011898
oracle,relative_l2,E_norm,Bcc2,0.0,0.0,61928591.87855665
oracle,relative_l2,E_norm,Bcc3,0.0,0.0,119352638.86254199
oracle,relative_l2,E_norm,rho,0.0,0.0,12206015.749984546
oracle,relative_l2,E_norm,press,0.0,0.0,7033578.765954044
oracle,relative_l2,E_norm,vel1,0.0,0.0,22719331.004154418
oracle,relative_l2,E_norm,vel2,0.0,0.0,33101030.145590268
oracle,relative_l2,E_norm,vel3,0.0,0.0,97307318.37697363
oracle,relative_l2,E_norm,arithmetic_average,0.0,,
oracle,relative_l2,E_model_oracle,Bcc1,0.0,0.0,13822297.550879022
oracle,relative_l2,E_model_oracle,Bcc2,0.0,0.0,2867.327046214792
oracle,relative_l2,E_model_oracle,Bcc3,0.0,0.0,88.48658079511652
oracle,relative_l2,E_model_oracle,rho,0.0,0.0,71510268.57232799
oracle,relative_l2,E_model_oracle,press,0.0,0.0,1555343.7994981613
oracle,relative_l2,E_model_oracle,vel1,0.0,0.0,1881146.0813557715
oracle,relative_l2,E_model_oracle,vel2,0.0,0.0,530.7432310665473
oracle,relative_l2,E_model_oracle,vel3,0.0,0.0,25208.26731611196
oracle,relative_l2,E_model_oracle,arithmetic_average,0.0,,
oracle,relative_l2,E_model_raw,Bcc1,6.344263868317088e-07,5.563431090772201e-06,13822297.552721845
oracle,relative_l2,E_model_raw,Bcc2,0.9187001429962701,122478.14293895545,145114.5718615558
oracle,relative_l2,E_model_raw,Bcc3,0.9993537835756451,33553427.737506513,33596835.36124721
oracle,relative_l2,E_model_raw,rho,8.784299709761439e-07,5.518012671998234e-05,71510267.65531789
oracle,relative_l2,E_model_raw,press,9.658402309110792e-07,1.4508983592517734e-06,1555343.8155675814
oracle,relative_l2,E_model_raw,vel1,0.00230182705058105,9.96915261328709,1881537.443805871
oracle,relative_l2,E_model_raw,vel2,0.5668102639892161,439.98035287642455,1369.4868665514182
oracle,relative_l2,E_model_raw,vel3,0.8511265950257523,431015.72228596814,594983.3193106027
oracle,relative_l2,E_model_raw,arithmetic_average,0.4172868864167567,,
oracle,relative_l2,E_oracle_raw,Bcc1,6.344263868317088e-07,5.563431090772201e-06,13822297.552721845
oracle,relative_l2,E_oracle_raw,Bcc2,0.9187001429962701,122478.14293895545,145114.5718615558
oracle,relative_l2,E_oracle_raw,Bcc3,0.9993537835756451,33553427.737506513,33596835.36124721
oracle,relative_l2,E_oracle_raw,rho,8.784299709761439e-07,5.518012671998234e-05,71510267.65531789
oracle,relative_l2,E_oracle_raw,press,9.658402309110792e-07,1.4508983592517734e-06,1555343.8155675814
oracle,relative_l2,E_oracle_raw,vel1,0.00230182705058105,9.96915261328709,1881537.443805871
oracle,relative_l2,E_oracle_raw,vel2,0.5668102639892161,439.98035287642455,1369.4868665514182
oracle,relative_l2,E_oracle_raw,vel3,0.8511265950257523,431015.72228596814,594983.3193106027
oracle,relative_l2,E_oracle_raw,arithmetic_average,0.4172868864167567,,
oracle,relative_l2,excess_absolute,Bcc1,0.0,,
oracle,relative_l2,excess_absolute,Bcc2,0.0,,
oracle,relative_l2,excess_absolute,Bcc3,0.0,,
oracle,relative_l2,excess_absolute,rho,0.0,,
oracle,relative_l2,excess_absolute,press,0.0,,
oracle,relative_l2,excess_absolute,vel1,0.0,,
oracle,relative_l2,excess_absolute,vel2,0.0,,
oracle,relative_l2,excess_absolute,vel3,0.0,,
oracle,relative_l2,excess_absolute,arithmetic_average,0.0,,
oracle,squared_error_numerator_decomposition,model_raw_squared_error,Bcc1,5.563431090772201e-06,,
oracle,squared_error_numerator_decomposition,model_oracle_squared_error,Bcc1,0.0,,
oracle,squared_error_numerator_decomposition,oracle_raw_squared_error,Bcc1,5.563431090772201e-06,,
oracle,squared_error_numerator_decomposition,cross_term,Bcc1,0.0,,
oracle,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,Bcc1,5.563431090772201e-06,,
oracle,squared_error_numerator_decomposition,reconstruction_residual,Bcc1,0.0,,
oracle,squared_error_numerator_decomposition,relative_reconstruction_residual,Bcc1,0.0,,
oracle,squared_error_numerator_decomposition,model_raw_squared_error,Bcc2,122478.14293895545,,
oracle,squared_error_numerator_decomposition,model_oracle_squared_error,Bcc2,0.0,,
oracle,squared_error_numerator_decomposition,oracle_raw_squared_error,Bcc2,122478.14293895545,,
oracle,squared_error_numerator_decomposition,cross_term,Bcc2,0.0,,
oracle,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,Bcc2,122478.14293895545,,
oracle,squared_error_numerator_decomposition,reconstruction_residual,Bcc2,0.0,,
oracle,squared_error_numerator_decomposition,relative_reconstruction_residual,Bcc2,0.0,,
oracle,squared_error_numerator_decomposition,model_raw_squared_error,Bcc3,33553427.737506513,,
oracle,squared_error_numerator_decomposition,model_oracle_squared_error,Bcc3,0.0,,
