record_type,split,channel,stage,scope,index,shell,gamma_mode,paper_canonical,metric,value
stage_summary,train,Bcc1,physical,,,,,True,count,20971520
stage_summary,train,Bcc1,physical,,,,,True,finite_count,20971520
stage_summary,train,Bcc1,physical,,,,,True,nonfinite_fraction,0.0
stage_summary,train,Bcc1,physical,,,,,True,min,-0.9655157923698425
stage_summary,train,Bcc1,physical,,,,,True,max,0.9655069708824158
stage_summary,train,Bcc1,physical,,,,,True,mean,-0.00021529773489990046
stage_summary,train,Bcc1,physical,,,,,True,std,0.05713069060106162
stage_summary,train,Bcc1,physical,,,,,True,q0.001,-0.3960172081291676
stage_summary,train,Bcc1,physical,,,,,True,q0.01,-0.1803545355796814
stage_summary,train,Bcc1,physical,,,,,True,q0.5,-6.294198901283736e-32
stage_summary,train,Bcc1,physical,,,,,True,q0.99,0.1791005255281925
stage_summary,train,Bcc1,physical,,,,,True,q0.999,0.3945203366875645
stage_summary,train,Bcc1,transformed_x_hat,,,,,True,count,20971520
stage_summary,train,Bcc1,transformed_x_hat,,,,,True,finite_count,20971520
stage_summary,train,Bcc1,transformed_x_hat,,,,,True,nonfinite_fraction,0.0
stage_summary,train,Bcc1,transformed_x_hat,,,,,True,min,-2.985208954570517
stage_summary,train,Bcc1,transformed_x_hat,,,,,True,max,2.9852049907027505
stage_summary,train,Bcc1,transformed_x_hat,,,,,True,mean,-0.005175360919883394
stage_summary,train,Bcc1,transformed_x_hat,,,,,True,std,1.237147863083612
stage_summary,train,Bcc1,transformed_x_hat,,,,,True,q0.001,-2.5988093310290528
stage_summary,train,Bcc1,transformed_x_hat,,,,,True,q0.01,-2.2585284215243724
stage_summary,train,Bcc1,transformed_x_hat,,,,,True,q0.5,-0.0
stage_summary,train,Bcc1,transformed_x_hat,,,,,True,q0.99,2.2555149800802834
stage_summary,train,Bcc1,transformed_x_hat,,,,,True,q0.999,2.597168818766971
stage_summary,train,Bcc1,robust_z,,,,,True,count,20971520
stage_summary,train,Bcc1,robust_z,,,,,True,finite_count,20971520
stage_summary,train,Bcc1,robust_z,,,,,True,nonfinite_fraction,0.0
stage_summary,train,Bcc1,robust_z,,,,,True,min,-1.8722200470837416
stage_summary,train,Bcc1,robust_z,,,,,True,max,1.872217561082658
stage_summary,train,Bcc1,robust_z,,,,,True,mean,-0.0032458077851684137
stage_summary,train,Bcc1,robust_z,,,,,True,std,0.7758964500376773
stage_summary,train,Bcc1,robust_z,,,,,True,q0.001,-1.6298835365113955
stage_summary,train,Bcc1,robust_z,,,,,True,q0.01,-1.4164710919858137
stage_summary,train,Bcc1,robust_z,,,,,True,q0.5,-0.0
stage_summary,train,Bcc1,robust_z,,,,,True,q0.99,1.4145811654955092
stage_summary,train,Bcc1,robust_z,,,,,True,q0.999,1.628854663829015
stage_summary,train,Bcc1,soft_clipped_z_tilde_float32,,,,,True,count,20971520
stage_summary,train,Bcc1,soft_clipped_z_tilde_float32,,,,,True,finite_count,20971520
stage_summary,train,Bcc1,soft_clipped_z_tilde_float32,,,,,True,nonfinite_fraction,0.0
stage_summary,train,Bcc1,soft_clipped_z_tilde_float32,,,,,True,min,-1.8137328624725342
stage_summary,train,Bcc1,soft_clipped_z_tilde_float32,,,,,True,max,1.8137305974960327
stage_summary,train,Bcc1,soft_clipped_z_tilde_float32,,,,,True,mean,-0.003206335298448123
stage_summary,train,Bcc1,soft_clipped_z_tilde_float32,,,,,True,std,0.7682354216137298
stage_summary,train,Bcc1,soft_clipped_z_tilde_float32,,,,,True,q0.001,-1.5909416675567627
stage_summary,train,Bcc1,soft_clipped_z_tilde_float32,,,,,True,q0.01,-1.3907300233840942
stage_summary,train,Bcc1,soft_clipped_z_tilde_float32,,,,,True,q0.5,0.0
stage_summary,train,Bcc1,soft_clipped_z_tilde_float32,,,,,True,q0.99,1.3889415264129639
stage_summary,train,Bcc1,soft_clipped_z_tilde_float32,,,,,True,q0.999,1.5899850703477858
clamp_summary,train,Bcc1,,,,,,True,positive_fraction,0.0
clamp_summary,train,Bcc1,,,,,,True,negative_fraction,0.0
clamp_summary,train,Bcc1,,,,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,11,,,True,snapshot_index,11
snapshot_clamp,train,Bcc1,,,11,,,True,time,110.00006921544309
snapshot_clamp,train,Bcc1,,,11,,,True,positive_fraction,0.0
