above_rin,above_rout,artifact_flag_count,evaluation_bound_clamp_fraction,finite,prediction_global_norm,rho_press_positive,step
True,False,2,0.0,True,4216.87451171875,True,20
True,False,2,0.0,True,4253.95703125,True,21
True,False,2,0.0,True,4286.75634765625,True,22
True,False,2,0.0,True,4315.2060546875,True,23
True,False,2,0.0,True,4340.75244140625,True,24
True,False,2,0.0,True,4362.25537109375,True,25
True,False,2,0.0,True,4380.41552734375,True,26
True,False,2,0.0,True,4395.02001953125,True,27
True,False,2,0.0,True,4405.63818359375,True,28
True,False,2,0.0,True,4413.88916015625,True,29
True,False,2,0.0,True,4419.6884765625,True,30
True,False,2,0.0,True,4423.4228515625,True,31
True,False,3,0.0,True,4425.75390625,True,32
True,False,3,0.0,True,4427.5048828125,True,33
True,False,3,0.0,True,4429.54736328125,True,34
True,False,3,0.0,True,4432.541015625,True,35
True,False,3,0.0,True,4436.01513671875,True,36
True,False,3,0.0,True,4439.4306640625,True,37
True,False,3,0.0,True,4442.46875,True,38
True,False,3,0.0,True,4445.15576171875,True,39
True,False,3,0.0,True,4448.19677734375,True,40
True,False,3,0.0,True,4451.7490234375,True,41
True,False,3,0.0,True,4455.94482421875,True,42
True,False,3,0.0,True,4460.9189453125,True,43
True,False,3,0.0,True,4466.7509765625,True,44
True,False,3,0.0,True,4473.34716796875,True,45
True,False,3,0.0,True,4480.34326171875,True,46
True,False,2,0.0,True,4487.6123046875,True,47
True,False,2,0.0,True,4495.2998046875,True,48
True,False,2,0.0,True,4502.986328125,True,49
True,False,2,0.0,True,4510.8876953125,True,50
True,False,2,0.0,True,4519.23193359375,True,51
True,False,2,0.0,True,4527.91064453125,True,52
True,False,2,0.0,True,4537.3974609375,True,53
True,False,2,0.0,True,4547.453125,True,54
True,False,2,0.0,True,4558.0078125,True,55
True,False,2,0.0,True,4568.6455078125,True,56
True,False,2,0.0,True,4578.7880859375,True,57
True,False,2,0.0,True,4588.60693359375,True,58
True,False,2,0.0,True,4598.15283203125,True,59
True,False,2,0.0,True,4607.50341796875,True,60
True,False,2,0.0,True,4616.81787109375,True,61
True,False,2,0.0,True,4626.2646484375,True,62
True,False,2,0.0,True,4635.79736328125,True,63
True,False,3,0.0,True,4645.68310546875,True,64
True,False,3,0.0,True,4656.0498046875,True,65
True,False,3,0.0,True,4666.78076171875,True,66
True,False,3,0.0,True,4677.60205078125,True,67
True,False,3,0.0,True,4688.5029296875,True,68
True,False,3,0.0,True,4699.2431640625,True,69
True,False,3,0.0,True,4709.62451171875,True,70
True,False,3,0.0,True,4719.4482421875,True,71
True,False,3,0.0,True,4728.51611328125,True,72
True,False,3,0.0,True,4737.11474609375,True,73
True,False,3,0.0,True,4745.0517578125,True,74
True,False,3,0.0,True,4752.0673828125,True,75
True,False,3,0.0,True,4758.4091796875,True,76
True,False,3,0.0,True,4764.18017578125,True,77
True,False,3,0.0,True,4769.47509765625,True,78
True,False,3,0.0,True,4774.2109375,True,79
True,False,3,0.0,True,4778.337890625,True,80
True,False,3,0.0,True,4781.892578125,True,81
True,False,3,0.0,True,4785.0166015625,True,82
True,False,3,0.0,True,4787.708984375,True,83
True,False,3,0.0,True,4789.96484375,True,84
True,False,3,0.0,True,4791.69091796875,True,85
True,False,3,0.0,True,4793.11474609375,True,86
True,False,3,0.0,True,4794.36083984375,True,87
True,False,3,0.0,True,4795.52880859375,True,88
True,False,3,0.0,True,4796.66064453125,True,89
True,False,3,0.0,True,4797.79052734375,True,90
True,False,3,0.0,True,4798.80712890625,True,91
True,False,3,0.0,True,4799.6533203125,True,92
True,False,3,0.0,True,4800.33935546875,True,93
True,False,3,0.0,True,4800.92236328125,True,94
True,False,3,0.0,True,4801.20458984375,True,95
True,False,3,0.0,True,4801.15478515625,True,96
True,False,3,0.0,True,4800.8310546875,True,97
True,False,3,0.0,True,4800.31640625,True,98
True,False,3,0.0,True,4799.62353515625,True,99
True,False,3,0.0,True,4798.74462890625,True,100
