channel,checkpoint_epoch,contribution_fraction,direction,enrichment,envelope_violation_h1_overlap,envelope_violation_voxel_overlap,error_case,gradient_norm_fraction,model_mode,model_state,per_voxel_mean,region,roi_h1_overlap,roi_voxel_overlap,source_snapshot,split,target_clamp_h1_overlap,target_clamp_voxel_overlap,target_snapshot,voxel_fraction
all,0,0.1501309722661972,all,1.2010477781295776,0.894551157951355,0.916015625,persistence_error,0.1499413102865219,shared,shared_initial,398.0095520019531,shell_0,0.9250859022140503,0.603515625,11,train,1.0,1.0,12,0.125
Bcc1,0,9.031186409336808e-15,phi,7.224949127469446e-14,,,persistence_error,,shared,shared_initial,1.9153933994431327e-10,shell_0,,,11,train,,,12,0.125
Bcc2,0,1.777162444982494e-10,phi,1.4217299559859953e-09,,,persistence_error,,shared,shared_initial,3.7691229408665095e-06,shell_0,,,11,train,,,12,0.125
Bcc3,0,2.6842860345512726e-14,phi,2.147428827641018e-13,,,persistence_error,,shared,shared_initial,5.693010507457075e-10,shell_0,,,11,train,,,12,0.125
rho,0,4.430982490644109e-12,phi,3.544785992515287e-11,,,persistence_error,,shared,shared_initial,9.397519562526213e-08,shell_0,,,11,train,,,12,0.125
press,0,1.5561639477024158e-10,phi,1.2449311581619327e-09,,,persistence_error,,shared,shared_initial,3.300414846307831e-06,shell_0,,,11,train,,,12,0.125
vel1,0,1.3852227143118512e-09,phi,1.108178171449481e-08,,,persistence_error,,shared,shared_initial,2.9378716135397553e-05,shell_0,,,11,train,,,12,0.125
vel2,0,1.6219320331245513e-09,phi,1.297545626499641e-08,,,persistence_error,,shared,shared_initial,3.4399003197904676e-05,shell_0,,,11,train,,,12,0.125
vel3,0,2.8210432308304473e-14,phi,2.2568345846643578e-13,,,persistence_error,,shared,shared_initial,5.983054052194348e-10,shell_0,,,11,train,,,12,0.125
Bcc1,0,0.0018831770867109299,theta,0.015065416693687439,,,persistence_error,,shared,shared_initial,39.939659118652344,shell_0,,,11,train,,,12,0.125
Bcc2,0,0.008704998530447483,theta,0.06963998824357986,,,persistence_error,,shared,shared_initial,184.621337890625,shell_0,,,11,train,,,12,0.125
Bcc3,0,0.0661180391907692,theta,0.5289443135261536,,,persistence_error,,shared,shared_initial,1402.27490234375,shell_0,,,11,train,,,12,0.125
rho,0,1.7492613551439717e-05,theta,0.00013994090841151774,,,persistence_error,,shared,shared_initial,0.3709948658943176,shell_0,,,11,train,,,12,0.125
press,0,2.1973097318550572e-05,theta,0.00017578477854840457,,,persistence_error,,shared,shared_initial,0.4660199284553528,shell_0,,,11,train,,,12,0.125
vel1,0,0.00011310761328786612,theta,0.0009048609063029289,,,persistence_error,,shared,shared_initial,2.3988606929779053,shell_0,,,11,train,,,12,0.125
vel2,0,0.026783160865306854,theta,0.21426528692245483,,,persistence_error,,shared,shared_initial,568.034912109375,shell_0,,,11,train,,,12,0.125
vel3,0,1.0576382010185625e-06,theta,8.4611056081485e-06,,,persistence_error,,shared,shared_initial,0.022431086748838425,shell_0,,,11,train,,,12,0.125
Bcc1,0,0.00016494978626724333,r,0.0013195982901379466,,,persistence_error,,shared,shared_initial,3.498363733291626,shell_0,,,11,train,,,12,0.125
Bcc2,0,0.010251374915242195,r,0.08201099932193756,,,persistence_error,,shared,shared_initial,217.41790771484375,shell_0,,,11,train,,,12,0.125
Bcc3,0,0.016932129859924316,r,0.13545703887939453,,,persistence_error,,shared,shared_initial,359.1077575683594,shell_0,,,11,train,,,12,0.125
rho,0,4.062974767293781e-05,r,0.0003250379813835025,,,persistence_error,,shared,shared_initial,0.8617024421691895,shell_0,,,11,train,,,12,0.125
press,0,4.5869404857512563e-05,r,0.0003669552388601005,,,persistence_error,,shared,shared_initial,0.9728285074234009,shell_0,,,11,train,,,12,0.125
vel1,0,0.0002911983465310186,r,0.002329586772248149,,,persistence_error,,shared,shared_initial,6.175926208496094,shell_0,,,11,train,,,12,0.125
vel2,0,0.018753955140709877,r,0.15003164112567902,,,persistence_error,,shared,shared_initial,397.7462158203125,shell_0,,,11,train,,,12,0.125
vel3,0,7.851178452256136e-06,r,6.280942761804909e-05,,,persistence_error,,shared,shared_initial,0.16651295125484467,shell_0,,,11,train,,,12,0.125
all,0,0.30099013447761536,all,2.407921075820923,1.0,1.0,persistence_error,0.2843731939792633,shared,shared_initial,797.9495849609375,shell_1,0.10070964694023132,0.05078125,11,train,0.17810969054698944,0.326171875,12,0.125
Bcc1,0,8.430062320323922e-17,phi,6.744049856259138e-16,,,persistence_error,,shared,shared_initial,1.787903158856352e-12,shell_1,,,11,train,,,12,0.125
Bcc2,0,2.7977728640771193e-13,phi,2.2382182912616955e-12,,,persistence_error,,shared,shared_initial,5.933701086036081e-09,shell_1,,,11,train,,,12,0.125
Bcc3,0,5.529920241203112e-15,phi,4.4239361929624896e-14,,,persistence_error,,shared,shared_initial,1.1728218396456214e-10,shell_1,,,11,train,,,12,0.125
rho,0,1.7458262250307389e-16,phi,1.396660980024591e-15,,,persistence_error,,shared,shared_initial,3.702663176063936e-12,shell_1,,,11,train,,,12,0.125
press,0,7.253403166453381e-15,phi,5.802722533162705e-14,,,persistence_error,,shared,shared_initial,1.5383494478271587e-10,shell_1,,,11,train,,,12,0.125
vel1,0,5.26754475541763e-14,phi,4.214035804334104e-13,,,persistence_error,,shared,shared_initial,1.1171755742722667e-09,shell_1,,,11,train,,,12,0.125
vel2,0,5.561285481604783e-13,phi,4.449028385283826e-12,,,persistence_error,,shared,shared_initial,1.1794740295556494e-08,shell_1,,,11,train,,,12,0.125
vel3,0,2.4498691581788766e-15,phi,1.9598953265431013e-14,,,persistence_error,,shared,shared_initial,5.1958437552457326e-11,shell_1,,,11,train,,,12,0.125
Bcc1,0,0.001378290238790214,theta,0.011026321910321712,,,persistence_error,,shared,shared_initial,29.231687545776367,shell_1,,,11,train,,,12,0.125
Bcc2,0,0.015461347065865993,theta,0.12369077652692795,,,persistence_error,,shared,shared_initial,327.9144287109375,shell_1,,,11,train,,,12,0.125
Bcc3,0,0.07947434484958649,theta,0.6357947587966919,,,persistence_error,,shared,shared_initial,1685.544189453125,shell_1,,,11,train,,,12,0.125
rho,0,2.6231718948110938e-05,theta,0.0002098537515848875,,,persistence_error,,shared,shared_initial,0.5563395619392395,shell_1,,,11,train,,,12,0.125
press,0,1.5477775377803482e-05,theta,0.00012382220302242786,,,persistence_error,,shared,shared_initial,0.3282628655433655,shell_1,,,11,train,,,12,0.125
vel1,0,0.0005297308671288192,theta,0.004237846937030554,,,persistence_error,,shared,shared_initial,11.234880447387695,shell_1,,,11,train,,,12,0.125
vel2,0,0.03732869029045105,theta,0.2986295223236084,,,persistence_error,,shared,shared_initial,791.69140625,shell_1,,,11,train,,,12,0.125
