error_case,global_value_mean,model_state,per_channel_mean,per_direction_mean,reduction,relative_to_h0_mean,sample_count,split,variant
model_error,2466.989794921875,full_best,"{""Bcc1"": 58.44632568359375, ""Bcc2"": 320.1309356689453, ""Bcc3"": 994.9369201660156, ""press"": 46.69748115539551, ""rho"": 44.07388038635254, ""vel1"": 118.3905860900879, ""vel2"": 737.9457183837891, ""vel3"": 146.36789245605468}","{""phi"": 0.009504977823235094, ""r"": 1429.4700073242188, ""theta"": 1037.5102294921876}",uniform,1.0,5,train,H0_current_upstream
model_error,0.6022924304008483,full_best,"{""Bcc1"": 0.01426912248134613, ""Bcc2"": 0.0781569667160511, ""Bcc3"": 0.24290452152490616, ""press"": 0.011400752235203981, ""rho"": 0.010760224703699351, ""vel1"": 0.028903951682150365, ""vel2"": 0.18016252890229226, ""vel3"": 0.035734348744153974}","{""phi"": 2.3205512263757554e-06, ""r"": 0.34899170100688937, ""theta"": 0.2532983958721161}",uniform,0.000244140625,5,train,H1_unit_index
model_error,2466.989794921875,full_best,"{""Bcc1"": 58.44632568359375, ""Bcc2"": 320.1309356689453, ""Bcc3"": 994.9369201660156, ""press"": 46.69748115539551, ""rho"": 44.07388038635254, ""vel1"": 118.3905860900879, ""vel2"": 737.9457183837891, ""vel3"": 146.36789245605468}","{""phi"": 0.009504977823235094, ""r"": 1429.4700073242188, ""theta"": 1037.5102294921876}",uniform,1.0,5,train,H2_normalized_axis
model_error,172.32538681030275,full_best,"{""Bcc1"": 4.500257778167724, ""Bcc2"": 26.15320405960083, ""Bcc3"": 73.69174995422364, ""press"": 3.0195839166641236, ""rho"": 2.8924296140670775, ""vel1"": 8.052592658996582, ""vel2"": 44.02669105529785, ""vel3"": 9.988879919052124}","{""phi"": 0.00024076392628558096, ""r"": 61.89278697967529, ""theta"": 110.43235054016114}",uniform,0.06723847545130154,5,train,H3_stored_logr
model_error,16.69568815231323,full_best,"{""Bcc1"": 2.3349829435348513, ""Bcc2"": 0.9155388355255127, ""Bcc3"": 0.8789455771446228, ""press"": 2.762882888317108, ""rho"": 3.182486057281494, ""vel1"": 4.338422679901123, ""vel2"": 1.6795202255249024, ""vel3"": 0.6029098272323609}","{""phi"": 1.2699488706857665e-05, ""r"": 5.155504512786865, ""theta"": 11.540171146392822}",volume_proxy,0.011117343256937386,5,train,H3_stored_logr
model_error,125.24868144989014,full_best,"{""Bcc1"": 3.918628454208374, ""Bcc2"": 18.61821745634079, ""Bcc3"": 56.84419026374817, ""press"": 2.139468276500702, ""rho"": 2.0442846179008485, ""vel1"": 5.547498297691345, ""vel2"": 29.01197280883789, ""vel3"": 7.124420595169068}","{""phi"": 0.00024076392628558096, ""r"": 14.816084015369416, ""theta"": 110.43235054016114}",uniform,0.04769604330801534,5,train,H3_stored_r
model_error,11.541188430786132,full_best,"{""Bcc1"": 1.937102198600769, ""Bcc2"": 0.620591014623642, ""Bcc3"": 0.5520151138305665, ""press"": 1.986929678916931, ""rho"": 2.4747365593910216, ""vel1"": 2.505393934249878, ""vel2"": 1.0780492067337035, ""vel3"": 0.38637061715126036}","{""phi"": 1.2699488706857665e-05, ""r"": 0.0010041668254416436, ""theta"": 11.540171146392822}",volume_proxy,0.007994350133459638,5,train,H3_stored_r
model_error,33.56767644882202,full_best,"{""Bcc1"": 0.549306046962738, ""Bcc2"": 11.496972218155861, ""Bcc3"": 12.657705044746399, ""press"": 0.1593831703066826, ""rho"": 0.15239995419979097, ""vel1"": 0.4850284308195114, ""vel2"": 7.319325375556946, ""vel3"": 0.747556421160698}","{""phi"": 0.000209899510446121, ""r"": 14.816084015369416, ""theta"": 18.75138282775879}",uniform,0.010457246726351777,5,train,H4_spherical_metric_proxy:all_channels_naive_proxy
model_error,0.002993693412281573,full_best,"{""Bcc1"": 0.00024188729003071785, ""Bcc2"": 0.00017412150118616409, ""Bcc3"": 0.0008777221955824643, ""press"": 0.000232403255358804, ""rho"": 0.00022527194378199055, ""vel1"": 0.0003532302129315212, ""vel2"": 0.0007232870586449281, ""vel3"": 0.00016576992202317343}","{""phi"": 1.32961778889773e-07, ""r"": 0.0010041668254416436, ""theta"": 0.001989393529947847}",volume_proxy,1.4796151084113446e-06,5,train,H4_spherical_metric_proxy:all_channels_naive_proxy
model_error,0.3117831438779831,full_best,"{""press"": 0.15938318371772767, ""rho"": 0.1523999571800232}","{""phi"": 1.8088337856170256e-05, ""r"": 0.08570176362991333, ""theta"": 0.2260632872581482}",uniform,0.0001783090905719084,5,train,H4_spherical_metric_proxy:scalar_channel_proxy_only
