step,model,ground_truth_available,E_norm,E_model_oracle,E_model_raw,oracle_floor,prediction_global_norm,model_only_saturation,artifact_flag_count,evaluation_bound_clamp_fraction,finite,rho_press_positive,above_rin,above_rout
1,full,True,0.44451605762883406,0.644667978261594,0.8534424843532126,0.4003378552452749,3551.9541015625,0.004608631134033203,4,0.0045146942138671875,True,True,False,False
1,plain,True,0.3899719518318785,0.613807842572294,0.8252521020074499,0.4003378552452749,3670.3564453125,0.006333351135253906,3,0.005126953125,True,True,False,False
1,no_h1,True,0.390703312337757,0.6166635205217385,0.8275908694593104,0.4003378552452749,3673.3115234375,0.008251667022705078,3,0.005615234375,True,True,False,False
1,unit_index,True,0.3894676121380083,0.6152099239546589,0.8262777347867928,0.4003378552452749,3686.466552734375,0.00900411605834961,3,0.0068359375,True,True,False,False
1,stored_coordinate,True,0.3659655621512732,0.6010593700318466,0.8141994261800058,0.4003378552452749,3680.1142578125,0.007333278656005859,3,0.0068359375,True,True,False,False
5,full,True,0.8849103918396429,0.9559758123446124,0.9763121903992671,0.3924685541174242,3397.43115234375,0.008222103118896484,8,0.0040283203125,True,True,False,False
5,plain,True,0.8101022572632262,0.9615398584205758,0.9461067248467928,0.3924685541174242,3461.5693359375,0.014119625091552734,6,0.0,True,True,False,False
5,no_h1,True,0.8178053538731818,1.000523695746502,0.9555265251447743,0.3924685541174242,3534.875244140625,0.023183822631835938,6,0.0,True,True,False,False
5,unit_index,True,0.817368410228215,1.0017480009965198,0.9530542968679196,0.3924685541174242,3547.686279296875,0.024114131927490234,6,0.0,True,True,False,False
5,stored_coordinate,True,0.8108025588595413,0.9909137095443332,0.9564455984882783,0.3924685541174242,3610.488525390625,0.02248239517211914,6,0.0045166015625,True,True,False,False
10,full,True,1.0044367929557714,1.0437377862674053,1.0400193889433689,0.39024927493140305,3689.21240234375,0.02010345458984375,10,0.0,True,True,False,False
10,plain,True,0.8863556959473964,1.0319648243333823,0.987780633586063,0.39024927493140305,3427.68359375,0.012295722961425781,8,0.0,True,True,False,False
10,no_h1,True,0.9017565651247226,1.068246152046863,0.9984062505277245,0.39024927493140305,3542.868408203125,0.02154254913330078,10,0.0001220703125,True,True,False,False
10,unit_index,True,0.9000647300771455,1.0694990907926776,0.995828930111176,0.39024927493140305,3558.45166015625,0.02179431915283203,10,0.0001220703125,True,True,False,False
10,stored_coordinate,True,0.8966638674820762,1.0429263690912904,0.9990005102075636,0.39024927493140305,3672.74755859375,0.021904945373535156,7,0.0032749176025390625,True,True,False,False
19,full,True,1.1178644130454622,1.1130394225610027,1.0823931361621493,0.3906404871867953,4175.3193359375,0.04116964340209961,9,0.0,True,True,True,False
19,plain,True,0.969456833468184,1.0481377159709158,1.0150219570817187,0.3906404871867953,3366.49609375,0.010093212127685547,8,0.0,True,True,False,False
19,no_h1,True,0.9804415218573178,1.0989673788350545,1.0266498611623407,0.3906404871867953,3465.290771484375,0.017906665802001953,9,0.0003662109375,True,True,False,False
19,unit_index,True,0.9781887290594657,1.10577819311282,1.026248892802466,0.3906404871867953,3496.94580078125,0.018873214721679688,10,0.0003662109375,True,True,False,False
19,stored_coordinate,True,0.9873503724791581,1.0773780588052737,1.0330500161037999,0.3906404871867953,3789.462158203125,0.020359039306640625,7,6.866455078125e-05,True,True,False,False
50,full,False,,,,,4510.8876953125,,2,0.0,True,True,True,False
50,plain,False,,,,,3354.48779296875,,1,0.0007190704345703125,True,True,False,False
50,no_h1,False,,,,,3238.57373046875,,3,0.000244140625,True,True,False,False
50,unit_index,False,,,,,3301.724853515625,,3,0.0006103515625,True,True,False,False
50,stored_coordinate,False,,,,,4532.6943359375,,2,0.0020751953125,True,True,True,False
100,full,False,,,,,4798.74462890625,,3,0.0,True,True,True,False
100,plain,False,,,,,3444.46826171875,,2,0.0,True,True,False,False
100,no_h1,False,,,,,3573.649169921875,,1,0.0,True,True,False,False
100,unit_index,False,,,,,3590.0615234375,,1,0.0,True,True,False,False
100,stored_coordinate,False,,,,,4515.4658203125,,1,0.00244140625,True,True,True,False
