category,lower_is_better,model,value
center_morphology,True,canonical_oracle,0.0
center_morphology,True,persistence,0.8216484321137761
center_morphology,True,fno_plain,0.9049791654366428
center_morphology,True,fno_full,0.9119621486628058
center_morphology,True,localno_plain,0.8964632258018936
polar_morphology,True,canonical_oracle,0.0
polar_morphology,True,persistence,0.5940296083910317
polar_morphology,True,fno_plain,0.8357414829282004
polar_morphology,True,fno_full,0.8802570104032287
polar_morphology,True,localno_plain,0.9530879212333189
magnetic_texture,True,canonical_oracle,0.0
magnetic_texture,True,persistence,0.5795381347227849
magnetic_texture,True,fno_plain,0.8998306688545118
magnetic_texture,True,fno_full,2.4127430854009355
magnetic_texture,True,localno_plain,4.279506147730886
radial_statistics,True,canonical_oracle,0.0
radial_statistics,True,persistence,1.0008567599265357
radial_statistics,True,fno_plain,4.845088301756967
radial_statistics,True,fno_full,6.5637290469782394
radial_statistics,True,localno_plain,2.9655953100700287
outer_shell_statistics,True,canonical_oracle,0.0
outer_shell_statistics,True,persistence,0.2235660529473889
outer_shell_statistics,True,fno_plain,1.2060037834290263
outer_shell_statistics,True,fno_full,7.186381711015022
outer_shell_statistics,True,localno_plain,3.538957179690695
model_only_saturation,True,canonical_oracle,0.0
model_only_saturation,True,persistence,0.015226602554321289
model_only_saturation,True,fno_plain,0.010710477828979492
model_only_saturation,True,fno_full,0.01852595806121826
model_only_saturation,True,localno_plain,0.006455063819885254
step50_100_artifacts,True,canonical_oracle,
step50_100_artifacts,True,persistence,0.0
step50_100_artifacts,True,fno_plain,3.0
step50_100_artifacts,True,fno_full,5.0
step50_100_artifacts,True,localno_plain,3.0
