absolute_delta_cpu_vs_recorded_cuda,channel,exact_flag_match,recorded_collapse,recorded_std_ratio,reproduced_collapse,reproduced_std_ratio,step,threshold
0.0,Bcc1,True,False,0.3509282734861354,False,0.3509282734861354,25,0.05
0.0,Bcc2,True,False,0.4089770682520676,False,0.4089770682520676,25,0.05
0.0,Bcc3,True,True,0.006540314194893706,True,0.006540314194893706,25,0.05
0.0,rho,True,False,0.08216406522186477,False,0.08216406522186477,25,0.05
6.7352810342868885e-09,press,True,False,0.05710594241453252,False,0.057105949149813554,25,0.05
6.273494734809759e-08,vel1,True,False,0.5486334255775785,False,0.5486334883125259,25,0.05
1.751900463586864e-08,vel2,True,False,0.1374872288576692,False,0.13748721133866457,25,0.05
6.358961399111074e-09,vel3,True,False,0.05824153032306697,False,0.05824152396410557,25,0.05
1.6350442583190627e-08,Bcc1,True,False,0.21033480735843166,False,0.21033479100798907,50,0.05
0.0,Bcc2,True,False,0.33367901922387727,False,0.33367901922387727,50,0.05
0.0,Bcc3,True,True,0.006181260482006235,True,0.006181260482006235,50,0.05
0.0,rho,True,False,0.15388214955879687,False,0.15388214955879687,50,0.05
0.0,press,True,False,0.05756138885374569,False,0.05756138885374569,50,0.05
6.169023059054979e-08,vel1,True,False,0.5394971059182796,False,0.5394971676085102,50,0.05
4.29902313747732e-09,vel2,True,False,0.18558774085133029,False,0.18558774515035342,50,0.05
7.278400909749294e-09,vel3,True,False,0.06666264829181628,False,0.06666264101341537,50,0.05
0.0,Bcc1,True,False,0.17252588046152198,False,0.17252588046152198,75,0.05
0.0,Bcc2,True,False,0.29562763785971663,False,0.29562763785971663,75,0.05
0.0,Bcc3,True,True,0.006142925917123654,True,0.006142925917123654,75,0.05
2.037419244427241e-08,rho,True,False,0.17986534696230977,False,0.1798653673365022,75,0.05
3.3676405206128912e-09,press,True,False,0.05214981280229288,False,0.05214980943465236,75,0.05
6.389100104531309e-08,vel1,True,False,0.5587434154337989,False,0.5587434793248,75,0.05
5.846471223813765e-09,vel2,True,False,0.16240232762495196,False,0.1624023334714232,75,0.05
4.903506524434054e-09,vel3,True,True,0.04491106421596844,True,0.044911059312461914,75,0.05
0.0,Bcc1,True,False,0.12353827860971009,False,0.12353827860971009,100,0.05
0.0,Bcc2,True,False,0.35823449642767763,False,0.35823449642767763,100,0.05
0.0,Bcc3,True,True,0.005714970931891867,True,0.005714970931891867,100,0.05
0.0,rho,True,False,0.0991766585101983,False,0.0991766585101983,100,0.05
0.0,press,True,False,0.06351588243927955,False,0.06351588243927955,100,0.05
6.264821827972611e-08,vel1,True,False,0.547874957648491,False,0.5478750202967093,100,0.05
6.066994157061245e-09,vel2,True,False,0.15909823254331343,False,0.15909823861030759,100,0.05
2.0049486237905256e-09,vel3,True,True,0.049613262241990586,True,0.04961326023704196,100,0.05
