channel,earliest_selected_no_gt_collapse_step,gt_median_model_dynamic_span_retention,gt_median_model_high_k_retention,gt_median_model_total_variation_retention,gt_median_model_variance_retention,gt_median_preprocessing_variance_retention,model,no_gt_detector_collapse_steps,no_gt_std_ratios
Bcc1,,0.14107126641076045,0.022509221934179147,0.1920179307494863,0.028675509148761907,1.0000000030745086,persistence,[],"{""100"":0.9999999345982298,""25"":0.9999999345982298,""50"":0.9999999345982298,""75"":0.9999999345982298}"
Bcc2,,0.8877169964552017,0.7998862320155162,1.1257156871975875,1.398206888242781,0.029595477510584067,persistence,[],"{""100"":0.7132048242226319,""25"":0.7132048242226319,""50"":0.7132048242226319,""75"":0.7132048242226319}"
Bcc3,25,1.0,1.3469143662701122,2.4494356871706713,0.7904941619614799,3.7140167463051e-06,persistence,"[25,50,75,100]","{""100"":0.012590570274327594,""25"":0.012590570274327594,""50"":0.012590570274327594,""75"":0.012590570274327594}"
rho,,0.12557603094733502,0.001726433590334272,0.12873490363558568,0.007857630399203461,1.0000000548642116,persistence,[],"{""100"":1.0,""25"":1.0,""50"":1.0,""75"":1.0}"
press,,0.101519414836068,0.0003079790371382453,0.031107609484975606,0.00038278889718596285,0.9999999471310116,persistence,[],"{""100"":1.0,""25"":1.0,""50"":1.0,""75"":1.0}"
vel1,,0.862973729318979,0.6811795079616881,0.7201143372830341,0.6496093058620965,1.0000000002699063,persistence,[],"{""100"":1.0,""25"":1.0,""50"":1.0,""75"":1.0}"
vel2,,1.0,0.9664980858037584,1.2139847552458976,1.6513261564451505,0.5247486654813817,persistence,[],"{""100"":0.4539392614255664,""25"":0.4539392614255664,""50"":0.4539392614255664,""75"":0.4539392614255664}"
vel3,,1.125566741902334,1.2224525885264494,1.5039133721903934,0.9238652456701109,0.02513101237919938,persistence,[],"{""100"":0.15903054972672143,""25"":0.15903054972672143,""50"":0.15903054972672143,""75"":0.15903054972672143}"
Bcc1,,0.07015927895598792,0.00196328546314448,0.22376299946079162,0.007635820237132692,1.0000000030745086,fno_plain,[],"{""100"":0.38801454352245823,""25"":0.29187423553505776,""50"":0.29308142141068216,""75"":0.2808954692662039}"
Bcc2,,0.5721695608085153,2.152842435971543,2.013099530484765,0.9863395121004281,0.029595477510584067,fno_plain,[],"{""100"":0.23143688392601403,""25"":0.390677209816018,""50"":0.2512917636752919,""75"":0.3616836555857801}"
Bcc3,25,1.0,0.6083552718583906,2.622071725943187,0.5428344386329429,3.7140167463051e-06,fno_plain,"[25,50,75,100]","{""100"":0.010169951688070025,""25"":0.010318717853451174,""50"":0.010237325820969409,""75"":0.01032141457009245}"
rho,,0.04967644602179174,7.210998873435114e-06,0.031799659229789,0.0006783954184777826,1.0000000548642116,fno_plain,[],"{""100"":0.0843048172740553,""25"":0.08934127179783911,""50"":0.07142698296921256,""75"":0.21300120003993342}"
press,,0.010445047039194418,1.9234256357455465e-06,0.005945370539843245,4.377908869488387e-06,0.9999999471310116,fno_plain,[],"{""100"":0.09004211328764263,""25"":0.10760762521102983,""50"":0.11399269184289575,""75"":0.15767767078679074}"
vel1,,0.5833468534055619,0.2272383191204615,0.5409542584242634,0.33904739422446434,1.0000000002699063,fno_plain,[],"{""100"":0.6159189663886494,""25"":0.6453867009099786,""50"":0.6420470632090984,""75"":0.6679450925415596}"
