axis,channel,demeaned,model,model_high_k_axis_anisotropy,model_high_k_energy,model_high_k_energy_undefined,model_low_k_energy,model_low_k_energy_undefined,model_mid_k_energy,model_mid_k_energy_undefined,model_parseval_relative_error,model_retention_high_k_energy,model_retention_low_k_energy,model_retention_mid_k_energy,model_retention_total_nonzero_mode_energy,model_spectral_centroid,model_total_nonzero_mode_energy,model_total_nonzero_mode_energy_undefined,normalization,oracle_high_k_axis_anisotropy,oracle_high_k_energy,oracle_low_k_energy,oracle_mid_k_energy,oracle_parseval_relative_error,oracle_spectral_centroid,oracle_total_nonzero_mode_energy,preprocessing_high_k_energy_undefined,preprocessing_low_k_energy_undefined,preprocessing_mid_k_energy_undefined,preprocessing_retention_high_k_energy,preprocessing_retention_low_k_energy,preprocessing_retention_mid_k_energy,preprocessing_retention_total_nonzero_mode_energy,preprocessing_total_nonzero_mode_energy_undefined,raw_high_k_axis_anisotropy,raw_high_k_energy,raw_low_k_energy,raw_mid_k_energy,raw_parseval_relative_error,raw_spectral_centroid,raw_total_nonzero_mode_energy,step,total_high_k_energy_undefined,total_low_k_energy_undefined,total_mid_k_energy_undefined,total_retention_high_k_energy,total_retention_low_k_energy,total_retention_mid_k_energy,total_retention_total_nonzero_mode_energy,total_total_nonzero_mode_energy_undefined,window
phi,Bcc1,False,persistence,17581130.132761963,2.084121056605084e-05,False,13608.481889977025,False,6.004169793604487e-05,False,1.3366585688549894e-16,0.023551154591516243,0.5661404554150613,0.010378745676911603,0.005756813834203377,0.090930835509777,0.0003867908451879841,False,ortho,672505.5462181001,0.0008849337082419901,24037.28926243237,0.005785063032194025,1.5134725708409058e-16,0.06873130953659853,0.0671883538928974,False,False,False,0.9999961579933627,1.000000004545797,1.0000071145010747,1.0000020256870414,False,672502.9407035483,0.0008849371081762333,24037.289153163732,0.005785021874649681,1.5134725777232207e-16,0.06873128380150038,0.06718821779059528,1,False,False,False,0.02355106410782399,0.5661404579886209,0.010378819516508875,0.005756825495706562,False,none
phi,Bcc1,True,persistence,17581130.132761963,2.084121056605084e-05,False,13608.161225117261,False,6.004169793604487e-05,False,0.0,0.02355115459151624,0.566139849168173,0.010378745676911603,0.005756813834203377,0.090930835509777,0.0003867908451879841,False,ortho,672505.5462181,0.0008849337082419902,24036.748596855843,0.005785063032194025,1.5135066138101413e-16,0.06873130953659853,0.0671883538928974,False,False,False,0.9999961579933628,1.0000000045465836,1.0000071145010747,1.0000020256870414,False,672502.9407035483,0.0008849371081762333,24036.748487570756,0.005785021874649681,3.027013241387603e-16,0.06873128380150038,0.06718821779059528,1,False,False,False,0.02355106410782399,0.5661398517421752,0.010378819516508875,0.005756825495706562,False,none
theta,Bcc1,False,persistence,17581130.132761963,291.2091642904676,False,12801.23914325187,False,516.0336633175953,False,1.3366585688549894e-16,0.5802424197004464,0.5651638643898552,0.5831351923691266,0.5661407019061234,0.03898642666459261,13607.760885798074,False,ortho,672505.5462181001,501.8749998333559,22650.491211202876,884.929721392881,1.5134725708409058e-16,0.038264981054541805,24036.00525449324,False,False,False,1.0000000044603845,1.000000004618073,1.000000002786911,1.0000000045505346,False,672502.9407035483,501.8749975948004,22650.491106601254,884.9297189266606,1.5134725777232207e-16,0.03826498098586641,24036.005145116567,1,False,False,False,0.5802424222885508,0.5651638669998232,0.5831351939942725,0.5661407044823663,False,none
theta,Bcc1,True,persistence,17581130.132761963,291.2091642904676,False,12800.918478392108,False,516.0336633175953,False,0.0,0.5802424197004464,0.5651631977123206,0.5831351923691266,0.5661407019061234,0.03898642666459261,13607.760885798074,False,ortho,672505.5462181,501.8749998333559,22649.95054562635,884.929721392881,0.0,0.038264981054541805,24036.00525449324,False,False,False,1.0000000044603845,1.0000000046189097,1.000000002786911,1.0000000045505346,False,672502.9407035483,501.8749975948004,22649.950441008274,884.9297189266606,3.027013241387603e-16,0.03826498098586641,24036.005145116567,1,False,False,False,0.5802424222885508,0.5651632003227584,0.5831351939942725,0.5661407044823663,False,none
r,Bcc1,False,persistence,17581130.132761963,366.4120350860334,False,12750.976251247997,False,491.09368452590377,False,1.3366585688549894e-16,0.6156914481653347,0.5633190000960816,0.6087474687053566,0.5496061235479046,0.0557819905296304,8298.378590245833,False,ortho,672505.5462181001,595.1228268280884,22635.445012636086,806.7280929649351,1.5134725708409058e-16,0.05174231496457209,15098.773894069489,False,False,False,1.0000000323326164,1.0000000028050686,1.000000032936185,1.000000007716144,False,672502.9407035483,595.1228075862109,22635.44494914211,806.7280663943902,1.5134725777232207e-16,0.051742314279532936,15098.773777565179,1,False,False,False,0.6156914680722502,0.5633190016762301,0.6087474887551758,0.5496061277887445,False,none
r,Bcc1,True,persistence,17581130.132761963,366.4120350860334,False,12750.655586388231,False,491.09368452590377,False,0.0,0.6156914481653347,0.5633182889082823,0.6087474687053566,0.5496061235479046,0.055781990529630406,8298.378590245833,False,ortho,672505.5462181,595.1228268280884,22634.90434705956,806.7280929649351,0.0,0.05174231496457209,15098.773894069489,False,False,False,1.0000000323326164,1.0000000028058624,1.000000032936185,1.000000007716144,False,672502.9407035483,595.1228075862109,22634.904283549135,806.7280663943902,0.0,0.051742314279532936,15098.773777565179,1,False,False,False,0.6156914680722502,0.5633182904888758,0.6087474887551758,0.5496061277887445,False,none
combined,Bcc1,False,persistence,17581130.132761963,647.4204379494049,False,12013.064775722803,False,947.9967571877269,False,1.3366585688549894e-16,0.5994816286007972,0.5622414833102932,0.5958685200811231,0.5661396954341105,0.05897940857105075,13608.161306000173,False,ortho,672505.5462181001,1079.9671033464326,21366.37927353532,1590.9495555473613,0.0,0.05659041773837295,24036.755266852582,False,False,False,1.0000000166635852,1.000000002455686,1.000000024413818,1.0000000045481534,False,672502.9407035483,1079.9670853503092,21366.3792210662,1590.9495167062094,4.540417733169662e-16,0.05659041730273334,24036.755157529733,1,False,False,False,0.5994816385903103,0.5622414846909818,0.5958685346285488,0.5661396980090007,False,none
combined,Bcc1,True,persistence,17581130.132761963,647.4204379494049,False,12012.744110863041,False,947.9967571877269,False,2.67338013217674e-16,0.5994816286007972,0.5622407026133898,0.5958685200811231,0.5661396954341105,0.05897940857105075,13608.161306000173,False,ortho,672505.5462181,1079.9671033464326,21365.838607958794,1590.9495555473613,0.0,0.05659041773837295,24036.755266852582,False,False,False,1.0000000166635852,1.000000002456518,1.000000024413818,1.0000000045481534,False,672502.9407035483,1079.9670853503092,21365.838555473223,1590.9495167062094,4.540519862081405e-16,0.05659041730273334,24036.755157529733,1,False,False,False,0.5994816385903103,0.5622407039945443,0.5958685346285488,0.5661396980090007,False,none
phi,Bcc1,False,fno_plain,11553.164900908252,0.006923947709736753,False,4288.9938363411175,False,0.01019565393165865,False,2.1205231488456625e-16,7.824255811762298,0.17843084507221627,1.7624101716644351,0.852525203598231,0.11572026676239486,0.057279765081972356,False,ortho,672505.5462181001,0.0008849337082419901,24037.28926243237,0.005785063032194025,1.5134725708409058e-16,0.06873130953659853,0.0671883538928974,False,False,False,0.9999961579933627,1.000000004545797,1.0000071145010747,1.0000020256870414,False,672502.9407035483,0.0008849371081762333,24037.289153163732,0.005785021874649681,1.5134725777232207e-16,0.06873128380150038,0.06718821779059528,1,False,False,False,7.824225750919537,0.17843084588332667,1.7624227103334955,0.8525269305474885,False,none
phi,Bcc1,True,fno_plain,11553.164900908247,0.006923947709736757,False,4108.367058316735,False,0.010195653931658655,False,0.0,7.824255811762302,0.170920249124465,1.762410171664436,0.8525252035982314,0.11572026676239484,0.05727976508197238,False,ortho,672505.5462181,0.0008849337082419902,24036.748596855843,0.005785063032194025,1.5135066138101413e-16,0.06873130953659853,0.0671883538928974,False,False,False,0.9999961579933628,1.0000000045465836,1.0000071145010747,1.0000020256870414,False,672502.9407035483,0.0008849371081762333,24036.748487570756,0.005785021874649681,3.027013241387603e-16,0.06873128380150038,0.06718821779059528,1,False,False,False,7.824225750919542,0.1709202499015682,1.7624227103334964,0.8525269305474888,False,none
