candidate_label,channel,gate_0_engineering_valid,gate_1_floor_limited,gate_2_failure_steps,gate_2_model_added_degradation,gate_3_transport_passed,historical_reclassification,minimum_transport_sign_agreement,model,radial_transport_skill,replay_classification,shell_transport_skill
model_added_degradation_and_transport_failure,Bcc1,True,False,"[3,5,10,19]",True,False,False,0.0,persistence,0.0,counterfactual_gate_replay_only,0.0
transport_gate_not_passed_without_two_step_state_failure,Bcc2,True,True,[],False,False,False,0.0,persistence,0.0,counterfactual_gate_replay_only,0.0
transport_gate_not_passed_without_two_step_state_failure,Bcc3,True,True,[],False,False,False,0.175,persistence,0.0,counterfactual_gate_replay_only,0.0
model_added_degradation_and_transport_failure,rho,True,False,"[1,3,5,10,19]",True,False,False,0.0,persistence,0.0,counterfactual_gate_replay_only,0.0
model_added_degradation_and_transport_failure,press,True,False,"[1,3,5,10,19]",True,False,False,0.0,persistence,0.0,counterfactual_gate_replay_only,0.0
model_added_degradation_and_transport_failure,vel1,True,False,"[10,19]",True,False,False,0.0,persistence,0.0,counterfactual_gate_replay_only,0.0
transport_gate_not_passed_without_two_step_state_failure,vel2,True,True,[],False,False,False,0.0,persistence,0.0,counterfactual_gate_replay_only,0.0
transport_gate_not_passed_without_two_step_state_failure,vel3,True,True,[],False,False,False,0.1,persistence,0.0,counterfactual_gate_replay_only,0.0
model_added_degradation_and_transport_failure,Bcc1,True,False,"[1,3,5,10,19]",True,False,False,0.45,fno_plain,-15.761862365187913,counterfactual_gate_replay_only,-4.7281229130931814
transport_gate_not_passed_without_two_step_state_failure,Bcc2,True,True,[],False,False,False,0.475,fno_plain,-0.38562846866385914,counterfactual_gate_replay_only,-0.922819242487136
transport_gate_not_passed_without_two_step_state_failure,Bcc3,True,True,[19],False,False,False,0.25,fno_plain,-11.644989694946153,counterfactual_gate_replay_only,-7.444916057527104
model_added_degradation_and_transport_failure,rho,True,False,"[1,3,5,10,19]",True,False,False,0.275,fno_plain,-0.7781470513092068,counterfactual_gate_replay_only,-0.7120030467849947
model_added_degradation_and_transport_failure,press,True,False,"[1,3,5,10,19]",True,False,False,0.275,fno_plain,-2.7017996036537513,counterfactual_gate_replay_only,-4.323941556680256
model_added_degradation_and_transport_failure,vel1,True,False,"[5,10,19]",True,False,False,0.2,fno_plain,-5.474916734918282,counterfactual_gate_replay_only,-5.088254912605114
transport_gate_not_passed_without_two_step_state_failure,vel2,True,True,[],False,False,False,0.5,fno_plain,-17.0602728666825,counterfactual_gate_replay_only,-2.449044052472168
model_added_degradation_and_transport_failure,vel3,True,True,"[3,5,10,19]",True,False,False,0.190625,fno_plain,-3.505830261647045,counterfactual_gate_replay_only,-0.269216995785017
model_added_degradation_and_transport_failure,Bcc1,True,False,"[1,3,5,10,19]",True,False,False,0.275,fno_full,-7.064299486007849,counterfactual_gate_replay_only,-4.733885639596546
model_added_degradation_and_transport_failure,Bcc2,True,True,"[1,3,5,10,19]",True,False,False,0.453125,fno_full,-0.22783360670525887,counterfactual_gate_replay_only,-1.7013617553757094
model_added_degradation_and_transport_failure,Bcc3,True,True,"[10,19]",True,False,False,0.35,fno_full,-14.495671568367232,counterfactual_gate_replay_only,-7.897335220350161
model_added_degradation_and_transport_failure,rho,True,False,"[1,3,5,10,19]",True,False,False,0.25,fno_full,-0.7743613444820594,counterfactual_gate_replay_only,-0.7119978447432922
model_added_degradation_and_transport_failure,press,True,False,"[1,3,5,10,19]",True,False,False,0.275,fno_full,-2.6929226769754564,counterfactual_gate_replay_only,-4.323934299550171
model_added_degradation_and_transport_failure,vel1,True,False,"[1,3,5,10,19]",True,False,False,0.225,fno_full,-3.711970628777463,counterfactual_gate_replay_only,-5.086649720825179
transport_gate_not_passed_without_two_step_state_failure,vel2,True,True,[],False,False,False,0.58125,fno_full,-53.76691829161547,counterfactual_gate_replay_only,-2.8037950237551037
transport_gate_not_passed_without_two_step_state_failure,vel3,True,True,[],False,False,False,0.35,fno_full,-2.7146328603272223,counterfactual_gate_replay_only,-0.6437241247647709
model_added_degradation_and_transport_failure,Bcc1,True,False,"[1,3,5,10,19]",True,False,False,0.35,localno_plain,-10.4584502957731,counterfactual_gate_replay_only,-4.738194110571624
model_added_degradation_and_transport_failure,Bcc2,True,True,"[10,19]",True,False,False,0.45,localno_plain,0.024577805501950656,counterfactual_gate_replay_only,-1.5507959819718034
model_added_degradation_and_transport_failure,Bcc3,True,True,"[3,5,10,19]",True,False,False,0.2,localno_plain,-5.10673165535021,counterfactual_gate_replay_only,-12.108852253490172
model_added_degradation_and_transport_failure,rho,True,False,"[1,3,5,10,19]",True,False,False,0.275,localno_plain,-0.7802987368495862,counterfactual_gate_replay_only,-0.7120019739130179
model_added_degradation_and_transport_failure,press,True,False,"[1,3,5,10,19]",True,False,False,0.25,localno_plain,-2.7051489113556744,counterfactual_gate_replay_only,-4.323942223755396
model_added_degradation_and_transport_failure,vel1,True,False,"[5,10,19]",True,False,False,0.2,localno_plain,-6.11639834480316,counterfactual_gate_replay_only,-5.1685732161543365
model_added_degradation_and_transport_failure,vel2,True,True,"[3,5,10,19]",True,False,False,0.475,localno_plain,-12.401716665276012,counterfactual_gate_replay_only,-4.531336264884763
model_added_degradation_and_transport_failure,vel3,True,True,"[3,5,10,19]",True,False,False,0.3375,localno_plain,-4.694921979652694,counterfactual_gate_replay_only,0.11869380157539378
floor_limited_reference_not_model_failure,Bcc1,True,False,[],False,True,False,1.0,canonical_oracle,1.0,counterfactual_gate_replay_only,1.0
floor_limited_reference_not_model_failure,Bcc2,True,True,[],False,True,False,1.0,canonical_oracle,1.0,counterfactual_gate_replay_only,1.0
floor_limited_reference_not_model_failure,Bcc3,True,True,[],False,True,False,1.0,canonical_oracle,1.0,counterfactual_gate_replay_only,1.0
floor_limited_reference_not_model_failure,rho,True,False,[],False,True,False,1.0,canonical_oracle,1.0,counterfactual_gate_replay_only,1.0
floor_limited_reference_not_model_failure,press,True,False,[],False,True,False,1.0,canonical_oracle,1.0,counterfactual_gate_replay_only,1.0
floor_limited_reference_not_model_failure,vel1,True,False,[],False,True,False,1.0,canonical_oracle,1.0,counterfactual_gate_replay_only,1.0
floor_limited_reference_not_model_failure,vel2,True,True,[],False,True,False,1.0,canonical_oracle,1.0,counterfactual_gate_replay_only,1.0
floor_limited_reference_not_model_failure,vel3,True,True,[],False,True,False,1.0,canonical_oracle,1.0,counterfactual_gate_replay_only,1.0
