absolute_error,channel,delta_model,delta_persistence,delta_true,error_l2,ground_truth_available,grouped_absolute_error,input,metric_source,model,model_state_metric,persistence_error_l2,persistence_relative_skill,persistence_relative_skill_undefined,reference_domain,relative_error,relative_error_undefined,signed_transport_agreement,source_snapshot,step,target,target_snapshot,transport_cosine,transport_cosine_undefined
"[0.19885079313279252,0.09628858915982288,0.02224946598063629,0.0007703584531324539,8.084033702110329e-05,4.783537095449968e-06,1.7193784521438653e-07,1.0968360224782194e-08]",Bcc1,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.19885079313279252,0.09628858915982288,0.02224946598063629,0.0007703584531324539,8.084033702110329e-05,4.783537095449968e-06,1.7193784521438653e-07,-1.0968360224782194e-08]",0.22205577920552214,True,"{""inner"":0.1475696911463077,""middle"":0.0057763620769713244,""outer"":9.145310271958436e-08}","[0.27180618858697303,0.0854467269254583,0.04741220613813735,0.009089025060641617,0.0012488570588538046,0.00019830605334129545,5.6683552588220515e-05,1.837829383835528e-05]",computed_canonical_persistence,persistence,"[0.27180618858697303,0.0854467269254583,0.04741220613813735,0.009089025060641617,0.0012488570588538046,0.00019830605334129545,5.6683552588220515e-05,1.837829383835528e-05]",0.22205577920552214,0.0,False,canonical_oracle,1.0,False,0.0,91,1,"[0.47065698171976555,0.18173531608528118,0.06966167211877364,0.009859383513774071,0.0013296973958749079,0.00020308959043674541,5.68554904334349e-05,1.8367325478130496e-05]",92,,True
"[0.42140249832110427,0.15489456801034396,0.055967772018384904,0.012433605658712842,0.00096633617999934,0.001213250877560033,0.00010348792274849326,0.00042618722466544474]",Bcc1,"[-0.22255170518831174,-0.05860597885052106,-0.03371830603774861,0.013203964111845296,0.0010471765170204433,0.001218034414655483,0.00010365986059370766,0.00042617625630521995]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.19885079313279252,0.09628858915982288,0.02224946598063629,0.0007703584531324539,8.084033702110329e-05,4.783537095449968e-06,1.7193784521438653e-07,-1.0968360224782194e-08]",0.45261681030797224,True,"{""inner"":0.2881485331657241,""middle"":0.01764524118366428,""outer"":0.000264837573706969}","[0.27180618858697303,0.0854467269254583,0.04741220613813735,0.009089025060641617,0.0012488570588538046,0.00019830605334129545,5.6683552588220515e-05,1.837829383835528e-05]",frozen_rollout_saved_statistics,fno_plain,"[0.04925448339866128,0.02684074807493723,0.013693900100388736,0.022292989172486913,0.002296033575874248,0.0014163404679967784,0.00016034341318192817,0.0004445545501435752]",0.22205577920552214,-1.0383023217290641,False,canonical_oracle,2.038302321729064,False,0.5,91,1,"[0.47065698171976555,0.18173531608528118,0.06966167211877364,0.009859383513774071,0.0013296973958749079,0.00020308959043674541,5.68554904334349e-05,1.8367325478130496e-05]",92,-0.9788123723642822,False
"[0.43799860984003136,0.17944100746476704,0.0687327468874388,0.009040326053296553,0.0001235008145612634,3.0398806964136195e-06,1.1040074163573262e-05,9.28869670980739e-06]",Bcc1,"[-0.23914781670723886,-0.08315241830494416,-0.0464832809068025,-0.008269967600164099,-4.266047754016011e-05,1.7436563990363486e-06,-1.0868136318358875e-05,9.277728349582607e-06]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.19885079313279252,0.09628858915982288,0.02224946598063629,0.0007703584531324539,8.084033702110329e-05,4.783537095449968e-06,1.7193784521438653e-07,-1.0968360224782194e-08]",0.4783803830023431,True,"{""inner"":0.30871980865239923,""middle"":0.019474903408998257,""outer"":1.0164385436690326e-05}","[0.27180618858697303,0.0854467269254583,0.04741220613813735,0.009089025060641617,0.0012488570588538046,0.00019830605334129545,5.6683552588220515e-05,1.837829383835528e-05]",frozen_rollout_saved_statistics,fno_full,"[0.032658371879734166,0.002294308620514136,0.0009289252313348459,0.0008190574604775192,0.0012061965813136444,0.0002000497097403318,4.581541626986164e-05,2.7656022187937886e-05]",0.22205577920552214,-1.1543252993185176,False,canonical_oracle,2.1543252993185176,False,0.125,91,1,"[0.47065698171976555,0.18173531608528118,0.06966167211877364,0.009859383513774071,0.0013296973958749079,0.00020308959043674541,5.68554904334349e-05,1.8367325478130496e-05]",92,-0.989686745822004,False
"[0.22612231102696215,0.17881212874092378,0.05360775372673871,0.006640369636587288,0.0015819372616196876,0.00018606722016912948,5.8434620913257316e-05,0.000180242817546006]",Bcc1,"[-0.027271517894169622,-0.08252353958110091,-0.03135828774610242,-0.005870011183454834,0.0016627775986407908,0.00019085075726457944,5.86065587584717e-05,0.0001802318491857812]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.19885079313279252,0.09628858915982288,0.02224946598063629,0.0007703584531324539,8.084033702110329e-05,4.783537095449968e-06,1.7193784521438653e-07,-1.0968360224782194e-08]",0.29330110082671085,True,"{""inner"":0.20246721988394295,""middle"":0.015504031961278706,""outer"":0.00011933871922963165}","[0.27180618858697303,0.0854467269254583,0.04741220613813735,0.009089025060641617,0.0012488570588538046,0.00019830605334129545,5.6683552588220515e-05,1.837829383835528e-05]",frozen_rollout_saved_statistics,localno_plain,"[0.2445346706928034,0.002923187344357386,0.016053918392034926,0.0032190138771867834,0.0029116346574945954,0.0003891568106058749,0.00011529011134669222,0.00019861014302413648]",0.22205577920552214,-0.3208442575829027,False,canonical_oracle,1.3208442575829027,False,0.375,91,1,"[0.47065698171976555,0.18173531608528118,0.06966167211877364,0.009859383513774071,0.0013296973958749079,0.00020308959043674541,5.68554904334349e-05,1.8367325478130496e-05]",92,-0.6843248688770625,False
"[0.00017245573513631355,1.680032023046896e-05,0.00022318947859546718,4.6299394693061087e-07,6.832076489227704e-10,1.3292626761069584e-10,1.5492351716926933e-11,5.681359164571502e-13]",Bcc2,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.00017245573513631355,-1.680032023046896e-05,-0.00022318947859546718,-4.6299394693061087e-07,-6.832076489227704e-10,-1.3292626761069584e-10,-1.5492351716926933e-11,5.681359164571502e-13]",0.00028255440017959147,True,"{""inner"":9.462802768339125e-05,""middle"":5.591332216907858e-05,""outer"":8.030243816692042e-12}","[0.0018369118197596765,0.0007160299727162892,0.0004742843825194035,3.3502702264312077e-06,9.612155570567787e-08,1.159494375407849e-08,1.8383856613932637e-09,1.6559271887730845e-10]",computed_canonical_persistence,persistence,"[0.0018369118197596765,0.0007160299727162892,0.0004742843825194035,3.3502702264312077e-06,9.612155570567787e-08,1.159494375407849e-08,1.8383856613932637e-09,1.6559271887730845e-10]",0.00028255440017959147,0.0,False,canonical_oracle,1.0,False,0.0,91,1,"[0.001664456084623363,0.0006992296524858203,0.00025109490392393634,2.887276279500597e-06,9.54383480567551e-08,1.1462017486467794e-08,1.8228933096763368e-09,1.661608547937656e-10]",92,,True
"[0.0004368589624852816,0.00022942867459464593,0.00020781325087282636,8.303003985315914e-07,2.2983787846752405e-08,7.366912681700728e-09,2.9645236460290735e-09,3.794949190480024e-09]",Bcc2,"[-0.0006093146976215952,0.00021262835436417697,-1.5376227722640817e-05,3.6730645160098053e-07,-2.3666995495675175e-08,7.233986414090032e-09,2.9490312943121466e-09,3.795517326396481e-09]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.00017245573513631355,-1.680032023046896e-05,-0.00022318947859546718,-4.6299394693061087e-07,-6.832076489227704e-10,-1.3292626761069584e-10,-1.5492351716926933e-11,5.681359164571502e-13]",0.0005354160130896092,True,"{""inner"":0.0003331438185399638,""middle"":5.21684754929716e-05,""outer"":3.379736418254549e-09}","[0.0018369118197596765,0.0007160299727162892,0.0004742843825194035,3.3502702264312077e-06,9.612155570567787e-08,1.159494375407849e-08,1.8383856613932637e-09,1.6559271887730845e-10]",frozen_rollout_saved_statistics,fno_plain,"[0.0012275971221380813,0.0009286583270804662,0.0004589081547967627,3.717576678032188e-06,7.24545602100027e-08,1.8828930168168522e-08,4.78741695570541e-09,3.96111004527379e-09]",0.00028255440017959147,-0.894913024710636,False,canonical_oracle,1.894913024710636,False,0.5,91,1,"[0.001664456084623363,0.0006992296524858203,0.00025109490392393634,2.887276279500597e-06,9.54383480567551e-08,1.1462017486467794e-08,1.8228933096763368e-09,1.661608547937656e-10]",92,0.5753311867460741,False
"[0.001419371179452882,0.0006979500364642087,0.0002497660563114768,2.0591304679786843e-06,6.0027416868273634e-09,1.978774053339969e-08,4.140551852193712e-09,6.7061864104502595e-09]",Bcc2,"[-0.0015918269145891956,-0.0007147503566946777,-0.000472955534906944,-2.522124414909295e-06,5.319534037904593e-09,1.9654814265788993e-08,4.125059500476785e-09,6.706754546366716e-09]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.00017245573513631355,-1.680032023046896e-05,-0.00022318947859546718,-4.6299394693061087e-07,-6.832076489227704e-10,-1.3292626761069584e-10,-1.5492351716926933e-11,5.681359164571502e-13]",0.0016012920164214996,True,"{""inner"":0.0010586606079585454,""middle"":6.296274431541894e-05,""outer"":5.423369131321986e-09}","[0.0018369118197596765,0.0007160299727162892,0.0004742843825194035,3.3502702264312077e-06,9.612155570567787e-08,1.159494375407849e-08,1.8383856613932637e-09,1.6559271887730845e-10]",frozen_rollout_saved_statistics,fno_full,"[0.00024508490517048085,1.2796160216115e-06,1.3288476124595419e-06,8.281458115219125e-07,1.0144108974358246e-07,3.124975801986748e-08,5.963445161870049e-09,6.872347265244025e-09]",0.00028255440017959147,-4.667199008062585,False,canonical_oracle,5.667199008062585,False,0.625,91,1,"[0.001664456084623363,0.0006992296524858203,0.00025109490392393634,2.887276279500597e-06,9.54383480567551e-08,1.1462017486467794e-08,1.8228933096763368e-09,1.661608547937656e-10]",92,0.7675531819579814,False
"[0.0008553318528950848,0.0003494165760585757,0.0007998686070180025,1.1964234701870937e-05,1.469549461106482e-08,1.806653825319238e-08,1.9617129072460242e-08,3.4392003268127934e-08]",Bcc2,"[-0.0010277875880313984,0.00033261625582810673,0.0005766791284225353,1.1501240754940325e-05,-1.537870225998759e-08,1.7933611985581685e-08,1.9601636720743315e-08,3.439257140404439e-08]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.00017245573513631355,-1.680032023046896e-05,-0.00022318947859546718,-4.6299394693061087e-07,-6.832076489227704e-10,-1.3292626761069584e-10,-1.5492351716926933e-11,5.681359164571502e-13]",0.0012221364308931952,True,"{""inner"":0.0006023742144768303,""middle"":0.0002029664009381844,""outer"":2.7004566170294088e-08}","[0.0018369118197596765,0.0007160299727162892,0.0004742843825194035,3.3502702264312077e-06,9.612155570567787e-08,1.159494375407849e-08,1.8383856613932637e-09,1.6559271887730845e-10]",frozen_rollout_saved_statistics,localno_plain,"[0.000809124231728278,0.001048646228544396,0.0010509635109419387,1.4851510981371533e-05,8.074285344569028e-08,2.9528555739660175e-08,2.1440022382136577e-08,3.45581641229217e-08]",0.00028255440017959147,-3.325313745304995,False,canonical_oracle,4.325313745304995,False,0.375,91,1,"[0.001664456084623363,0.0006992296524858203,0.00025109490392393634,2.887276279500597e-06,9.54383480567551e-08,1.1462017486467794e-08,1.8228933096763368e-09,1.661608547937656e-10]",92,0.12411381694673997,False
"[7.291403276912524e-08,2.737204202504079e-07,3.3455938719476877e-07,1.8397935690838186e-06,8.034243102584824e-07,1.5639299310377487e-07,1.2174182882248526e-08,7.255070134513218e-10]",Bcc3,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-7.291403276912524e-08,2.737204202504079e-07,3.3455938719476877e-07,1.8397935690838186e-06,8.034243102584824e-07,1.5639299310377487e-07,1.2174182882248526e-08,7.255070134513218e-10]",2.0608512349838804e-06,True,"{""inner"":1.7331722650976657e-07,""middle"":7.835425649102111e-07,""outer"":6.4498449478499236e-09}","[2.9027696326365886e-05,2.8374360520490112e-05,2.417688878432193e-05,1.4885474830711057e-05,6.670950837228213e-06,1.3216880898272698e-06,1.0433962052279493e-07,4.966731611834715e-09]",computed_canonical_persistence,persistence,"[2.9027696326365886e-05,2.8374360520490112e-05,2.417688878432193e-05,1.4885474830711057e-05,6.670950837228213e-06,1.3216880898272698e-06,1.0433962052279493e-07,4.966731611834715e-09]",2.0608512349838804e-06,0.0,False,canonical_oracle,1.0,False,0.0,91,1,"[2.895478229359676e-05,2.864808094074052e-05,2.45114481715167e-05,1.6725268399794875e-05,7.4743751474866955e-06,1.4780810829310447e-06,1.1651380340504346e-07,5.692238625286037e-09]",92,,True
"[6.138385272164711e-06,1.057803072738575e-05,9.190558130360646e-06,1.787356374391128e-06,3.143290539845165e-07,3.2741373262093325e-07,2.6672971987829163e-08,6.74273968584337e-09]",Bcc3,"[-6.211299304933836e-06,-1.0304310307135342e-05,-8.855998743165877e-06,5.243719469269057e-08,4.890952562739659e-07,-1.710207395171584e-07,-1.4498789105580637e-08,7.468246699294692e-09]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-7.291403276912524e-08,2.737204202504079e-07,3.3455938719476877e-07,1.8397935690838186e-06,8.034243102584824e-07,1.5639299310377487e-07,1.2174182882248526e-08,7.255070134513218e-10]",1.540916184593183e-05,True,"{""inner"":8.35820799977523e-06,""middle"":2.9049143228393055e-06,""outer"":1.6707855836836265e-08}","[2.9027696326365886e-05,2.8374360520490112e-05,2.417688878432193e-05,1.4885474830711057e-05,6.670950837228213e-06,1.3216880898272698e-06,1.0433962052279493e-07,4.966731611834715e-09]",frozen_rollout_saved_statistics,fno_plain,"[2.281639702143205e-05,1.807005021335477e-05,1.5320890041156054e-05,1.4937912025403747e-05,7.160046093502179e-06,1.1506673503101115e-06,8.98408314172143e-08,1.2434978311129406e-08]",2.0608512349838804e-06,-6.477085965427464,False,canonical_oracle,7.477085965427464,False,0.5,91,1,"[2.895478229359676e-05,2.864808094074052e-05,2.45114481715167e-05,1.6725268399794875e-05,7.4743751474866955e-06,1.4780810829310447e-06,1.1651380340504346e-07,5.692238625286037e-09]",92,-0.15801603850543292,False
