absolute_error,channel,delta_model,delta_persistence,delta_true,error_l2,ground_truth_available,input,metric_source,model,model_state_metric,persistence_error_l2,persistence_relative_skill,persistence_relative_skill_undefined,reference_domain,relative_error,relative_error_undefined,signed_transport_agreement,source_snapshot,step,target,target_snapshot,transport_cosine,transport_cosine_undefined
[0.03978192886677709],Bcc1,[0.0],[0.0],[0.03978192886677709],0.03978192886677709,True,[0.051911015724182774],computed_canonical_persistence,persistence,[0.051911015724182774],0.03978192886677709,0.0,False,canonical_oracle,1.0,False,0.0,91,1,[0.09169294459095986],92,,True
[0.07602070270131762],Bcc1,[-0.036238773834540536],[0.0],[0.03978192886677709],0.07602070270131762,True,[0.051911015724182774],frozen_rollout_saved_statistics,fno_plain,[0.015672241889642235],0.03978192886677709,-0.9109355646353405,False,canonical_oracle,1.9109355646353405,False,0.0,91,1,[0.09169294459095986],92,-1.0,False
[0.08689024421762795],Bcc1,[-0.04710831535085085],[0.0],[0.03978192886677709],0.08689024421762795,True,[0.051911015724182774],frozen_rollout_saved_statistics,fno_full,[0.00480270037333192],0.03978192886677709,-1.184163681670856,False,canonical_oracle,2.184163681670856,False,0.0,91,1,[0.09169294459095986],92,-1.0,False
[0.057652256314586176],Bcc1,[-0.017870327447809087],[0.0],[0.03978192886677709],0.057652256314586176,True,[0.051911015724182774],frozen_rollout_saved_statistics,localno_plain,[0.03404068827637369],0.03978192886677709,-0.4492071640782873,False,canonical_oracle,1.4492071640782873,False,0.0,91,1,[0.09169294459095986],92,-1.0,False
[5.947329738928669e-05],Bcc2,[0.0],[0.0],[5.947329738928669e-05],5.947329738928669e-05,True,[0.0007306130335732169],computed_canonical_persistence,persistence,[0.0007306130335732169],5.947329738928669e-05,0.0,False,canonical_oracle,1.0,False,0.0,91,1,[0.0007900863309625036],92,,True
[0.0002751129421470803],Bcc2,[-0.0002156396447577936],[0.0],[5.947329738928669e-05],0.0002751129421470803,True,[0.0007306130335732169],frozen_rollout_saved_statistics,fno_plain,[0.0005149733888154233],5.947329738928669e-05,-3.62582291925583,False,canonical_oracle,4.62582291925583,False,0.0,91,1,[0.0007900863309625036],92,-1.0,False
[0.0007575638000526568],Bcc2,[-0.0006980905026633701],[0.0],[5.947329738928669e-05],0.0007575638000526568,True,[0.0007306130335732169],frozen_rollout_saved_statistics,fno_full,[3.2522530909846784e-05],5.947329738928669e-05,-11.737881256086562,False,canonical_oracle,12.737881256086562,False,0.0,91,1,[0.0007900863309625036],92,-1.0,False
[0.00022065774904279922],Bcc2,[-0.00016118445165351253],[0.0],[5.947329738928669e-05],0.00022065774904279922,True,[0.0007306130335732169],frozen_rollout_saved_statistics,localno_plain,[0.0005694285819197043],5.947329738928669e-05,-2.7101986728341,False,canonical_oracle,3.7101986728341,False,0.0,91,1,[0.0007900863309625036],92,-1.0,False
[4.1770268755197616e-07],Bcc3,[0.0],[0.0],[4.1770268755197616e-07],4.1770268755197616e-07,True,[1.3072037751572997e-05],computed_canonical_persistence,persistence,[1.3072037751572997e-05],4.1770268755197616e-07,0.0,False,canonical_oracle,1.0,False,0.0,91,1,[1.3489740439124973e-05],92,,True
[3.5097254636281336e-06],Bcc3,[-3.0920227760761574e-06],[0.0],[4.1770268755197616e-07],3.5097254636281336e-06,True,[1.3072037751572997e-05],frozen_rollout_saved_statistics,fno_plain,[9.98001497549684e-06],4.1770268755197616e-07,-7.402448842734358,False,canonical_oracle,8.402448842734358,False,0.0,91,1,[1.3489740439124973e-05],92,-1.0,False
[4.0226671591434955e-06],Bcc3,[-3.6049644715915193e-06],[0.0],[4.1770268755197616e-07],4.0226671591434955e-06,True,[1.3072037751572997e-05],frozen_rollout_saved_statistics,fno_full,[9.467073279981478e-06],4.1770268755197616e-07,-8.630455534579106,False,canonical_oracle,9.630455534579106,False,0.0,91,1,[1.3489740439124973e-05],92,-1.0,False
[5.945253491295592e-06],Bcc3,[-5.527550803743616e-06],[0.0],[4.1770268755197616e-07],5.945253491295592e-06,True,[1.3072037751572997e-05],frozen_rollout_saved_statistics,localno_plain,[7.544486947829381e-06],4.1770268755197616e-07,-13.23321819196053,False,canonical_oracle,14.23321819196053,False,0.0,91,1,[1.3489740439124973e-05],92,-1.0,False
[0.1656291865907678],rho,[0.0],[0.0],[0.1656291865907678],0.1656291865907678,True,[0.133726590111991],computed_canonical_persistence,persistence,[0.133726590111991],0.1656291865907678,0.0,False,canonical_oracle,1.0,False,0.0,91,1,[0.2993557767027588],92,,True
[0.26305229210531683],rho,[-0.09742310551454902],[0.0],[0.1656291865907678],0.26305229210531683,True,[0.133726590111991],frozen_rollout_saved_statistics,fno_plain,[0.036303484597441975],0.1656291865907678,-0.5882001084462212,False,canonical_oracle,1.5882001084462212,False,0.0,91,1,[0.2993557767027588],92,-1.0,False
[0.2624164465618373],rho,[-0.09678725997106952],[0.0],[0.1656291865907678],0.2624164465618373,True,[0.133726590111991],frozen_rollout_saved_statistics,fno_full,[0.036939330140921496],0.1656291865907678,-0.584361138053578,False,canonical_oracle,1.584361138053578,False,0.0,91,1,[0.2993557767027588],92,-1.0,False
[0.2877623545761954],rho,[-0.12213316798542762],[0.0],[0.1656291865907678],0.2877623545761954,True,[0.133726590111991],frozen_rollout_saved_statistics,localno_plain,[0.011593422126563387],0.1656291865907678,-0.7373891673282862,False,canonical_oracle,1.7373891673282862,False,0.0,91,1,[0.2993557767027588],92,-1.0,False
[0.00018419592015078058],press,[0.0],[0.0],[0.00018419592015078058],0.00018419592015078058,True,[7.468737251701708e-05],computed_canonical_persistence,persistence,[7.468737251701708e-05],0.00018419592015078058,0.0,False,canonical_oracle,1.0,False,0.0,91,1,[0.00025888329266779767],92,,True
[0.0002557262947618045],press,[-7.15303746110239e-05],[0.0],[0.00018419592015078058],0.0002557262947618045,True,[7.468737251701708e-05],frozen_rollout_saved_statistics,fno_plain,[3.1569979059931846e-06],0.00018419592015078058,-0.3883385394881167,False,canonical_oracle,1.3883385394881167,False,0.0,91,1,[0.00025888329266779767],92,-1.0,False
[0.00025675266043551857],press,[-7.2556740284738e-05],[0.0],[0.00018419592015078058],0.00025675266043551857,True,[7.468737251701708e-05],frozen_rollout_saved_statistics,fno_full,[2.130632232279083e-06],0.00018419592015078058,-0.3939106806781818,False,canonical_oracle,1.3939106806781818,False,0.0,91,1,[0.00025888329266779767],92,-1.0,False
[0.00025453412378864443],press,[-7.033820363786384e-05],[0.0],[0.00018419592015078058],0.00025453412378864443,True,[7.468737251701708e-05],frozen_rollout_saved_statistics,localno_plain,[4.3491688791532385e-06],0.00018419592015078058,-0.38186624101275335,False,canonical_oracle,1.3818662410127533,False,0.0,91,1,[0.00025888329266779767],92,-1.0,False
[0.000120798693620916],vel1,[0.0],[0.0],[-0.000120798693620916],0.000120798693620916,True,[0.06792724977433202],computed_canonical_persistence,persistence,[0.06792724977433202],0.000120798693620916,0.0,False,canonical_oracle,1.0,False,0.0,91,1,[0.06780645108071111],92,,True
[0.0246250321849886],vel1,[-0.024745830878609515],[0.0],[-0.000120798693620916],0.0246250321849886,True,[0.06792724977433202],frozen_rollout_saved_statistics,fno_plain,[0.04318141889572251],0.000120798693620916,-202.85180871463362,False,canonical_oracle,203.85180871463362,False,1.0,91,1,[0.06780645108071111],92,1.0,False
[0.03434356933303469],vel1,[-0.034464368026655604],[0.0],[-0.000120798693620916],0.03434356933303469,True,[0.06792724977433202],frozen_rollout_saved_statistics,fno_full,[0.03346288174767642],0.000120798693620916,-283.3041452154263,False,canonical_oracle,284.3041452154263,False,1.0,91,1,[0.06780645108071111],92,1.0,False
[0.018771250432409292],vel1,[-0.018892049126030208],[0.0],[-0.000120798693620916],0.018771250432409292,True,[0.06792724977433202],frozen_rollout_saved_statistics,localno_plain,[0.049035200648301816],0.000120798693620916,-154.39282644327452,False,canonical_oracle,155.39282644327452,False,1.0,91,1,[0.06780645108071111],92,1.0,False
[1.0123964478374862e-05],vel2,[0.0],[0.0],[-1.0123964478374862e-05],1.0123964478374862e-05,True,[0.00016049132949172185],computed_canonical_persistence,persistence,[0.00016049132949172185],1.0123964478374862e-05,0.0,False,canonical_oracle,1.0,False,0.0,91,1,[0.000150367365013347],92,,True
[7.269674916197347e-05],vel2,[-8.282071364034834e-05],[0.0],[-1.0123964478374862e-05],7.269674916197347e-05,True,[0.00016049132949172185],frozen_rollout_saved_statistics,fno_plain,[7.767061585137351e-05],1.0123964478374862e-05,-6.1806602361413105,False,canonical_oracle,7.1806602361413105,False,1.0,91,1,[0.000150367365013347],92,1.0,False
[5.177172119736786e-05],vel2,[-6.189568567574272e-05],[0.0],[-1.0123964478374862e-05],5.177172119736786e-05,True,[0.00016049132949172185],frozen_rollout_saved_statistics,fno_full,[9.859564381597913e-05],1.0123964478374862e-05,-4.113779419905517,False,canonical_oracle,5.113779419905517,False,1.0,91,1,[0.000150367365013347],92,1.0,False
[0.00010244770401149589],vel2,[-0.00011257166848987075],[0.0],[-1.0123964478374862e-05],0.00010244770401149589,True,[0.00016049132949172185],frozen_rollout_saved_statistics,localno_plain,[4.791966100185111e-05],1.0123964478374862e-05,-9.119326695616891,False,canonical_oracle,10.119326695616891,False,1.0,91,1,[0.000150367365013347],92,1.0,False
[3.192990882775479e-05],vel3,[0.0],[0.0],[-3.192990882775479e-05],3.192990882775479e-05,True,[0.0018843121136325825],computed_canonical_persistence,persistence,[0.0018843121136325825],3.192990882775479e-05,0.0,False,canonical_oracle,1.0,False,0.0,91,1,[0.0018523822048048277],92,,True
[0.0005100246710072088],vel3,[-0.0005419545798349636],[0.0],[-3.192990882775479e-05],0.0005100246710072088,True,[0.0018843121136325825],frozen_rollout_saved_statistics,fno_plain,[0.001342357533797619],3.192990882775479e-05,-14.973257980739184,False,canonical_oracle,15.973257980739184,False,1.0,91,1,[0.0018523822048048277],92,1.0,False
[8.83688932292665e-05],vel3,[-0.0001202988020570213],[0.0],[-3.192990882775479e-05],8.83688932292665e-05,True,[0.0018843121136325825],frozen_rollout_saved_statistics,fno_full,[0.0017640133115755612],3.192990882775479e-05,-1.7675899015550156,False,canonical_oracle,2.7675899015550156,False,1.0,91,1,[0.0018523822048048277],92,1.0,False
[0.0005548702334071754],vel3,[-0.0005868001422349302],[0.0],[-3.192990882775479e-05],0.0005548702334071754,True,[0.0018843121136325825],frozen_rollout_saved_statistics,localno_plain,[0.0012975119713976523],3.192990882775479e-05,-16.377758151468925,False,canonical_oracle,17.377758151468925,False,1.0,91,1,[0.0018523822048048277],92,1.0,False
[0.16532052316350246],Bcc1,[0.0],[0.0],[0.16532052316350246],0.16532052316350246,True,[0.09169294459095986],computed_canonical_persistence,persistence,[0.09169294459095986],0.16532052316350246,0.0,False,canonical_oracle,1.0,False,0.0,92,2,[0.2570134677544623],93,,True
[4.9289887740680874e-05],Bcc2,[0.0],[0.0],[-4.9289887740680874e-05],4.9289887740680874e-05,True,[0.0007900863309625036],computed_canonical_persistence,persistence,[0.0007900863309625036],4.9289887740680874e-05,0.0,False,canonical_oracle,1.0,False,0.0,92,2,[0.0007407964432218227],93,,True
[3.8721678512029613e-07],Bcc3,[0.0],[0.0],[3.8721678512029613e-07],3.8721678512029613e-07,True,[1.3489740439124973e-05],computed_canonical_persistence,persistence,[1.3489740439124973e-05],3.8721678512029613e-07,0.0,False,canonical_oracle,1.0,False,0.0,92,2,[1.387695722424527e-05],93,,True
[0.8345944708637862],rho,[0.0],[0.0],[0.8345944708637862],0.8345944708637862,True,[0.2993557767027588],computed_canonical_persistence,persistence,[0.2993557767027588],0.8345944708637862,0.0,False,canonical_oracle,1.0,False,0.0,92,2,[1.133950247566545],93,,True
[0.0021065206748835195],press,[0.0],[0.0],[0.0021065206748835195],0.0021065206748835195,True,[0.00025888329266779767],computed_canonical_persistence,persistence,[0.00025888329266779767],0.0021065206748835195,0.0,False,canonical_oracle,1.0,False,0.0,92,2,[0.002365403967551317],93,,True
[0.007339618038364325],vel1,[0.0],[0.0],[-0.007339618038364325],0.007339618038364325,True,[0.06780645108071111],computed_canonical_persistence,persistence,[0.06780645108071111],0.007339618038364325,0.0,False,canonical_oracle,1.0,False,0.0,92,2,[0.06046683304234678],93,,True
[2.8064916823703688e-05],vel2,[0.0],[0.0],[-2.8064916823703688e-05],2.8064916823703688e-05,True,[0.000150367365013347],computed_canonical_persistence,persistence,[0.000150367365013347],2.8064916823703688e-05,0.0,False,canonical_oracle,1.0,False,0.0,92,2,[0.0001223024481896433],93,,True
[2.4848921219994876e-05],vel3,[0.0],[0.0],[2.4848921219994876e-05],2.4848921219994876e-05,True,[0.0018523822048048277],computed_canonical_persistence,persistence,[0.0018523822048048277],2.4848921219994876e-05,0.0,False,canonical_oracle,1.0,False,0.0,92,2,[0.0018772311260248226],93,,True
[0.8850650029090136],Bcc1,[0.0],[0.0],[0.8850650029090136],0.8850650029090136,True,[0.2570134677544623],computed_canonical_persistence,persistence,[0.2570134677544623],0.8850650029090136,0.0,False,canonical_oracle,1.0,False,0.0,93,3,[1.142078470663476],94,,True
[1.1286568181555408],Bcc1,[-0.2435918152465272],[0.0],[0.8850650029090136],1.1286568181555408,True,[0.2570134677544623],stage_l_saved_selected_step_metrics,fno_plain,[0.013421652507935113],0.8850650029090136,-0.275224773825532,False,canonical_oracle,1.275224773825532,False,0.0,93,3,[1.142078470663476],94,-1.0,False
[1.1351187607216169],Bcc1,[-0.25005375781260336],[0.0],[0.8850650029090136],1.1351187607216169,True,[0.2570134677544623],stage_l_saved_selected_step_metrics,fno_full,[0.006959709941858934],0.8850650029090136,-0.28252586758117393,False,canonical_oracle,1.282525867581174,False,0.0,93,3,[1.142078470663476],94,-1.0,False
[1.1386839749234705],Bcc1,[-0.2536189720144569],[0.0],[0.8850650029090136],1.1386839749234705,True,[0.2570134677544623],frozen_rollout_saved_statistics,localno_plain,[0.003394495740005467],0.8850650029090136,-0.28655406233538483,False,canonical_oracle,1.2865540623353848,False,0.0,93,3,[1.142078470663476],94,-1.0,False
[0.00026392101287917025],Bcc2,[0.0],[0.0],[-0.00026392101287917025],0.00026392101287917025,True,[0.0007407964432218227],computed_canonical_persistence,persistence,[0.0007407964432218227],0.00026392101287917025,0.0,False,canonical_oracle,1.0,False,0.0,93,3,[0.00047687543034265244],94,,True
[3.631925426623951e-05],Bcc2,[-0.00022760175861293074],[0.0],[-0.00026392101287917025],3.631925426623951e-05,True,[0.0007407964432218227],stage_l_saved_selected_step_metrics,fno_plain,[0.000513194684608892],0.00026392101287917025,0.8623858939080861,False,canonical_oracle,0.1376141060919139,False,1.0,93,3,[0.00047687543034265244],94,1.0,False
[0.000463300371396987],Bcc2,[-0.0007272213842761572],[0.0],[-0.00026392101287917025],0.000463300371396987,True,[0.0007407964432218227],stage_l_saved_selected_step_metrics,fno_full,[1.3575058945665479e-05],0.00026392101287917025,-0.7554508689654722,False,canonical_oracle,1.7554508689654722,False,1.0,93,3,[0.00047687543034265244],94,1.0,False
[0.0001891251596727872],Bcc2,[-0.00045304617255195745],[0.0],[-0.00026392101287917025],0.0001891251596727872,True,[0.0007407964432218227],frozen_rollout_saved_statistics,localno_plain,[0.00028775027066986524],0.00026392101287917025,0.2834024179826352,False,canonical_oracle,0.7165975820173648,False,1.0,93,3,[0.00047687543034265244],94,1.0,False
