channel,gate_0_passed,gate_1_floor_limited,gate_2_model_added_degradation,gate_3_transport_passed,legacy_flag_count,reporting_only,snapshot,training_blocking
Bcc1,True,False,False,False,1,True,11,False
Bcc2,True,True,False,False,1,True,11,False
Bcc3,True,True,False,False,0,True,11,False
rho,True,False,False,False,0,True,11,False
press,True,False,False,False,1,True,11,False
vel1,True,False,False,False,0,True,11,False
vel2,True,True,False,False,0,True,11,False
vel3,True,True,False,False,0,True,11,False
Bcc1,True,False,False,False,1,True,50,False
Bcc2,True,True,False,False,1,True,50,False
Bcc3,True,True,False,False,0,True,50,False
rho,True,False,False,False,0,True,50,False
press,True,False,False,False,1,True,50,False
vel1,True,False,False,False,0,True,50,False
vel2,True,True,False,False,0,True,50,False
vel3,True,True,False,False,0,True,50,False
Bcc1,True,False,False,False,1,True,90,False
Bcc2,True,True,False,False,1,True,90,False
Bcc3,True,True,False,False,1,True,90,False
rho,True,False,False,False,0,True,90,False
press,True,False,False,False,0,True,90,False
vel1,True,False,False,False,0,True,90,False
vel2,True,True,False,False,0,True,90,False
vel3,True,True,False,False,0,True,90,False
Bcc1,True,False,False,False,1,True,91,False
Bcc2,True,True,False,False,1,True,91,False
Bcc3,True,True,False,False,1,True,91,False
rho,True,False,False,False,0,True,91,False
press,True,False,False,False,0,True,91,False
vel1,True,False,False,False,1,True,91,False
vel2,True,True,False,False,1,True,91,False
vel3,True,True,False,False,0,True,91,False
Bcc1,True,False,False,False,0,True,92,False
Bcc2,True,True,False,False,0,True,92,False
Bcc3,True,True,False,False,1,True,92,False
rho,True,False,False,False,0,True,92,False
press,True,False,False,False,0,True,92,False
vel1,True,False,False,False,1,True,92,False
vel2,True,True,False,False,1,True,92,False
vel3,True,True,False,False,0,True,92,False
Bcc1,True,False,False,False,0,True,94,False
Bcc2,True,True,False,False,0,True,94,False
Bcc3,True,True,False,False,1,True,94,False
rho,True,False,False,False,0,True,94,False
press,True,False,False,False,1,True,94,False
vel1,True,False,False,False,1,True,94,False
vel2,True,True,False,False,1,True,94,False
vel3,True,True,False,False,1,True,94,False
Bcc1,True,False,False,False,0,True,96,False
Bcc2,True,True,False,False,0,True,96,False
Bcc3,True,True,False,False,1,True,96,False
rho,True,False,False,False,0,True,96,False
press,True,False,False,False,1,True,96,False
vel1,True,False,False,False,1,True,96,False
vel2,True,True,False,False,1,True,96,False
vel3,True,True,False,False,1,True,96,False
Bcc1,True,False,False,False,0,True,100,False
Bcc2,True,True,False,False,0,True,100,False
Bcc3,True,True,False,False,1,True,100,False
rho,True,False,False,False,0,True,100,False
press,True,False,False,False,1,True,100,False
vel1,True,False,False,False,1,True,100,False
vel2,True,True,False,False,1,True,100,False
vel3,True,True,False,False,1,True,100,False
