basis,channel_in,channel_out,epsilon_consistency_tolerance,epsilon_large,epsilon_relative_gain_difference,epsilon_small,gain_large,gain_small,nonlinear_response_warning,phase_large,phase_small,state_count
directional:phi_high_k,Bcc1,Bcc1,0.1,0.01,7.239018791463853,0.001,0.0731523409485817,0.6027035117149353,True,0.11419436657675626,0.016141607313755153,9
directional:phi_high_k,Bcc2,Bcc2,0.1,0.01,6.818734007292747,0.001,0.16091276174263727,1.2581340824445535,True,0.15512316799818068,0.018479205173043994,9
directional:phi_high_k,Bcc3,Bcc3,0.1,0.01,3.272372669508944,0.001,0.3005036413669586,1.2838635444641113,True,0.21187994127691812,0.0006859861569161129,9
directional:phi_high_k,press,press,0.1,0.01,6.9638950432417905,0.001,0.08369753509759903,0.6665583848953247,True,0.12024274128301354,0.014284844038458158,9
directional:phi_high_k,rho,rho,0.1,0.01,6.504553941556988,0.001,0.11668227563394759,0.8756484315185804,True,-0.05034690927717841,-0.008294793638330519,9
directional:phi_high_k,vel1,vel1,0.1,0.01,6.991116195360495,0.001,0.09813781667577127,0.784230696215075,True,-0.040401160479843864,-0.004530240069896486,9
directional:phi_high_k,vel2,vel2,0.1,0.01,5.672365489863847,0.001,0.2119818478822708,1.4144203662872314,True,0.3298953518185889,0.04975586766297887,9
directional:phi_high_k,vel3,vel3,0.1,0.01,4.187897162658315,0.001,0.2243943497177571,1.1641348102173097,True,0.32338587824146886,0.03374100557690495,9
directional:phi_low_k,Bcc1,Bcc1,0.1,0.01,8.073225597432426,0.001,0.06755385547876358,0.6129313707351685,True,0.012300614825682945,0.001454120755351032,9
directional:phi_low_k,Bcc2,Bcc2,0.1,0.01,7.422097866108847,0.001,0.15461616218090057,1.3021924495697021,True,0.02563902059307151,0.004019435487180943,9
directional:phi_low_k,Bcc3,Bcc3,0.1,0.01,5.737705979903935,0.001,0.2001417577266693,1.3484963178634644,True,0.07974148212797365,0.00474378740731446,9
