channel,correlation,delta_cosine,delta_norm,delta_over_state_norm,delta_sign_agreement,ground_truth_available,mean_shift,model_oracle_delta_norm_ratio,oracle_delta_norm,output_mean,output_std,persistence_distance,radial_transport_error,radial_transport_sign_agreement,radial_transport_skill,shell_transport_error,shell_transport_sign_agreement,shell_transport_skill,snapshot,state_mean,state_std
Bcc1,0.9040119977815823,0.3053224019170234,129.77536010742188,0.4356907984722623,0.5657882690429688,True,0.033726856112480164,2.937160513247592,44.18395233154297,0.031913742423057556,0.5613247752189636,129.77536010742188,182.71920044757215,0.46875,-181.71920044757215,3.813270184085896,0.375,-2.813270184085896,11,-0.0018131136894226074,0.5817572474479675
Bcc2,0.9400274300845077,0.5990405106489088,342.78759765625,0.3550849048426307,0.5546379089355469,True,-0.3024837374687195,1.7953667003284017,190.92901611328125,0.5156884789466858,1.4519199132919312,342.78759765625,2.0399050760443296,0.53125,-1.0399050760443296,1.803794037220682,0.5,-0.803794037220682,11,0.8181722164154053,1.6987186670303345
Bcc3,0.9795924884028308,0.5600229858869332,286.20135498046875,0.20136357655617454,0.505859375,True,0.023813068866729736,1.066984576800054,268.23382568359375,0.02805006504058838,2.743452310562134,286.20135498046875,81.0363290731488,0.609375,-80.0363290731488,1.851324341293065,0.5,-0.8513243412930649,11,0.004236996173858643,2.776005268096924
rho,0.950666628524344,0.16208476248485384,173.45545959472656,0.326825099169578,0.5320816040039062,True,-0.019198032096028328,4.414637156080299,39.29098892211914,-0.029758019372820854,0.8804522156715393,173.45545959472656,3.840711952261773,0.671875,-2.840711952261773,32.118679069315036,0.625,-31.118679069315036,11,-0.010559987276792526,1.0365256071090698
press,0.918103400794264,0.2910140541769821,212.46600341796875,0.41287149228131986,0.6068038940429688,True,-0.007222235202789307,3.2111702326997285,66.16466522216797,-0.0883854329586029,0.7993639707565308,212.46600341796875,4.380708031331534,0.8125,-3.380708031331534,11.67146312186365,0.75,-10.67146312186365,11,-0.0811631977558136,1.0018067359924316
vel1,0.7229405529465054,0.34722030667359516,296.4829406738281,0.7021935849645193,0.6022720336914062,True,0.05013445019721985,1.4805602754179736,200.25050354003906,0.0396987684071064,0.6868399381637573,296.4829406738281,1.6539483616361217,0.515625,-0.6539483616361217,7.128583884007235,0.25,-6.128583884007235,11,-0.010435681790113449,0.8245900869369507
vel2,0.9125946266309187,0.5508435091927458,676.70703125,0.4593944852282485,0.6742973327636719,True,-0.10299140214920044,1.4692625055376456,460.57598876953125,-0.08238250017166138,2.0316903591156006,676.70703125,21.261312496637764,0.546875,-20.261312496637764,2.9499831109478114,0.875,-1.9499831109478114,11,0.020608901977539062,2.876960039138794
vel3,0.983689478581311,0.4281015227131687,296.823486328125,0.1978188959594661,0.62939453125,True,0.33715927600860596,2.2804104466457695,130.1623077392578,1.6636086702346802,2.608826160430908,296.823486328125,3.5782868063795545,0.890625,-2.5782868063795545,2.5338280465430176,0.25,-1.5338280465430176,11,1.3264493942260742,2.613255739212036
Bcc1,0.9826368615384902,0.05218611433964712,68.55197143554688,0.1855901822340758,0.47487640380859375,True,0.0018858611583709717,21.409573330972428,3.2019307613372803,-0.0015115737915039062,0.711482048034668,68.55197143554688,662.1775677133405,0.703125,-661.1775677133405,5.1677471219242594,0.375,-4.1677471219242594,50,-0.003397434949874878,0.721423327922821
Bcc2,0.985352806794581,0.6279986692484822,197.28436279296875,0.1720092863420782,0.44953155517578125,True,0.1069069504737854,1.198773636049322,164.5718231201172,-0.5181453227996826,2.169417381286621,197.28436279296875,0.8104966929915305,0.34375,0.1895033070084695,11.180868366406434,0.25,-10.180868366406434,50,-0.625052273273468,2.1511476039886475
