above_rin,above_rout,artifact_flag_count,evaluation_bound_clamp_fraction,finite,prediction_global_norm,rho_press_positive,step
True,True,7,0.9660968780517578,True,930259.1875,True,20
True,True,7,0.9750537872314453,True,1176601.375,True,21
True,True,8,0.9798374176025391,True,1453575.0,True,22
True,True,8,0.9844150543212891,True,1756213.5,True,23
True,True,8,0.9881420135498047,True,2064897.25,True,24
True,True,8,0.9895000457763672,True,2363819.0,True,25
True,True,8,0.9898624420166016,True,2664982.25,True,26
True,True,8,0.99139404296875,True,2977241.5,True,27
True,True,8,0.9931468963623047,True,3320061.25,True,28
True,True,8,0.992462158203125,True,3705697.5,True,29
True,True,8,0.9930438995361328,True,4144938.5,True,30
True,True,8,0.9938526153564453,True,4651226.5,True,31
True,True,8,0.9947032928466797,True,5231686.5,True,32
True,True,8,0.9954757690429688,True,5906211.5,True,33
True,True,8,0.9962577819824219,True,6694429.5,True,34
True,True,8,0.9967002868652344,True,7619739.5,True,35
True,True,8,0.9968490600585938,True,8711278.0,True,36
True,True,8,0.9970245361328125,True,9975246.0,True,37
True,True,8,0.9974803924560547,True,11392587.0,True,38
True,True,7,0.9980583190917969,True,12945883.0,True,39
True,True,7,0.9979972839355469,True,14630409.0,True,40
True,True,7,0.9983425140380859,True,16398249.0,True,41
True,True,7,0.9988956451416016,True,18228152.0,True,42
True,True,7,0.9988193511962891,True,20138230.0,True,43
True,True,7,0.9989299774169922,True,22193422.0,True,44
True,True,7,0.9988269805908203,True,24475438.0,True,45
True,True,7,0.9988517761230469,True,27033018.0,True,46
True,True,7,0.9990062713623047,True,29907108.0,True,47
True,True,7,0.9992904663085938,True,33089282.0,True,48
True,True,7,0.9992752075195312,True,36529072.0,True,49
True,True,7,0.9993019104003906,True,40274984.0,True,50
True,True,7,0.9992656707763672,True,44100528.0,True,51
True,True,7,0.9994659423828125,True,47815828.0,True,52
True,True,7,0.9993705749511719,True,51385320.0,True,53
True,True,7,0.9995689392089844,True,54853756.0,True,54
True,True,7,0.9994411468505859,True,58494000.0,True,55
True,True,7,0.9993610382080078,True,62710264.0,True,56
True,True,7,0.9995384216308594,True,67863920.0,True,57
True,True,7,0.9996356964111328,True,74189200.0,True,58
True,True,7,0.9995880126953125,True,81456888.0,True,59
True,True,7,0.999603271484375,True,89827408.0,True,60
True,True,7,0.9996604919433594,True,100032080.0,True,61
True,True,7,0.9997596740722656,True,111750448.0,True,62
True,True,7,0.9997730255126953,True,124774176.0,True,63
True,True,7,0.9998073577880859,True,138990416.0,True,64
True,True,7,0.9997444152832031,True,153761728.0,True,65
True,True,7,0.9997520446777344,True,168669184.0,True,66
True,True,7,0.9997920989990234,True,184178032.0,True,67
True,True,7,0.9998016357421875,True,199769456.0,True,68
True,True,7,0.9997844696044922,True,215255408.0,True,69
True,True,7,0.9998302459716797,True,230015280.0,True,70
True,True,7,0.9997787475585938,True,243386176.0,True,71
True,True,7,0.9998188018798828,True,254579152.0,True,72
True,True,7,0.9998493194580078,True,262764432.0,True,73
True,True,7,0.9998569488525391,True,267955584.0,True,74
True,True,7,0.9998703002929688,True,271780928.0,True,75
True,True,7,0.9998626708984375,True,277609152.0,True,76
True,True,7,0.9998512268066406,True,281992576.0,True,77
True,True,7,0.9998588562011719,True,283447456.0,True,78
True,True,7,0.9997959136962891,True,283567808.0,True,79
True,True,7,0.9998397827148438,True,284289760.0,True,80
True,True,7,0.9998073577880859,True,285069600.0,True,81
True,True,7,0.999847412109375,True,286713632.0,True,82
True,True,7,0.9998283386230469,True,289620448.0,True,83
True,True,7,0.9998054504394531,True,291654080.0,True,84
True,True,7,0.9998073577880859,True,291672896.0,True,85
True,True,7,0.9997997283935547,True,290466528.0,True,86
True,True,7,0.9997730255126953,True,291886176.0,True,87
True,True,7,0.9997882843017578,True,297390048.0,True,88
True,True,7,0.9998283386230469,True,304420736.0,True,89
True,True,7,0.9998073577880859,True,310532096.0,True,90
True,True,7,0.9997787475585938,True,314700992.0,True,91
True,True,7,0.9997901916503906,True,319046400.0,True,92
True,True,7,0.9997882843017578,True,324908352.0,True,93
True,True,7,0.9998149871826172,True,329439360.0,True,94
True,True,7,0.9998188018798828,True,331789344.0,True,95
True,True,7,0.9998188018798828,True,333116064.0,True,96
True,True,7,0.9997787475585938,True,334882304.0,True,97
True,True,7,0.9998054504394531,True,336036288.0,True,98
True,True,7,0.9998226165771484,True,335484832.0,True,99
True,True,7,0.9998378753662109,True,334174464.0,True,100
