above_rin,above_rout,artifact_count,finite,ground_truth_error_omitted,prediction_global_norm,rho_press_positive,step
True,True,7,True,True,930259.1875,True,20
True,True,7,True,True,1176601.375,True,21
True,True,8,True,True,1453575.0,True,22
True,True,8,True,True,1756213.5,True,23
True,True,8,True,True,2064897.25,True,24
True,True,8,True,True,2363819.0,True,25
True,True,8,True,True,2664982.25,True,26
True,True,8,True,True,2977241.5,True,27
True,True,8,True,True,3320061.25,True,28
True,True,8,True,True,3705697.5,True,29
True,True,8,True,True,4144938.5,True,30
True,True,8,True,True,4651226.5,True,31
True,True,8,True,True,5231686.5,True,32
True,True,8,True,True,5906211.5,True,33
True,True,8,True,True,6694429.5,True,34
True,True,8,True,True,7619739.5,True,35
True,True,8,True,True,8711278.0,True,36
True,True,8,True,True,9975246.0,True,37
True,True,8,True,True,11392587.0,True,38
True,True,7,True,True,12945883.0,True,39
True,True,7,True,True,14630409.0,True,40
True,True,7,True,True,16398249.0,True,41
True,True,7,True,True,18228152.0,True,42
True,True,7,True,True,20138230.0,True,43
True,True,7,True,True,22193422.0,True,44
True,True,7,True,True,24475438.0,True,45
True,True,7,True,True,27033018.0,True,46
True,True,7,True,True,29907108.0,True,47
True,True,7,True,True,33089282.0,True,48
True,True,7,True,True,36529072.0,True,49
True,True,7,True,True,40274984.0,True,50
True,True,7,True,True,44100528.0,True,51
True,True,7,True,True,47815828.0,True,52
True,True,7,True,True,51385320.0,True,53
True,True,7,True,True,54853756.0,True,54
True,True,7,True,True,58494000.0,True,55
True,True,7,True,True,62710264.0,True,56
True,True,7,True,True,67863920.0,True,57
True,True,7,True,True,74189200.0,True,58
True,True,7,True,True,81456888.0,True,59
True,True,7,True,True,89827408.0,True,60
True,True,7,True,True,100032080.0,True,61
True,True,7,True,True,111750448.0,True,62
True,True,7,True,True,124774176.0,True,63
True,True,7,True,True,138990416.0,True,64
True,True,7,True,True,153761728.0,True,65
True,True,7,True,True,168669184.0,True,66
True,True,7,True,True,184178032.0,True,67
True,True,7,True,True,199769456.0,True,68
True,True,7,True,True,215255408.0,True,69
True,True,7,True,True,230015280.0,True,70
True,True,7,True,True,243386176.0,True,71
True,True,7,True,True,254579152.0,True,72
True,True,7,True,True,262764432.0,True,73
True,True,7,True,True,267955584.0,True,74
True,True,7,True,True,271780928.0,True,75
True,True,7,True,True,277609152.0,True,76
True,True,7,True,True,281992576.0,True,77
True,True,7,True,True,283447456.0,True,78
True,True,7,True,True,283567808.0,True,79
True,True,7,True,True,284289760.0,True,80
True,True,7,True,True,285069600.0,True,81
True,True,7,True,True,286713632.0,True,82
True,True,7,True,True,289620448.0,True,83
True,True,7,True,True,291654080.0,True,84
True,True,7,True,True,291672896.0,True,85
True,True,7,True,True,290466528.0,True,86
True,True,7,True,True,291886176.0,True,87
True,True,7,True,True,297390048.0,True,88
True,True,7,True,True,304420736.0,True,89
True,True,7,True,True,310532096.0,True,90
True,True,7,True,True,314700992.0,True,91
True,True,7,True,True,319046400.0,True,92
True,True,7,True,True,324908352.0,True,93
True,True,7,True,True,329439360.0,True,94
True,True,7,True,True,331789344.0,True,95
True,True,7,True,True,333116064.0,True,96
True,True,7,True,True,334882304.0,True,97
True,True,7,True,True,336036288.0,True,98
True,True,7,True,True,335484832.0,True,99
True,True,7,True,True,334174464.0,True,100
