channel,event,first_step
Bcc1,normalized_outside_q001_q999,1
Bcc1,normalized_outside_min_max,1
Bcc1,decode_sensitivity_above_train_q999,1
Bcc1,decoded_above_rout,1
Bcc1,clamp_occupancy_positive,1
Bcc1,clamp_occupancy_gt_0_1,7
Bcc1,clamp_occupancy_gt_0_5,13
Bcc1,gate_2_failed,
Bcc1,gate_3_failed,
Bcc1,ripple,1
Bcc1,stripe,3
Bcc1,field_collapse,
Bcc1,shell_radial_transport_severe,
Bcc2,normalized_outside_q001_q999,1
Bcc2,normalized_outside_min_max,1
Bcc2,decode_sensitivity_above_train_q999,1
Bcc2,decoded_above_rout,1
Bcc2,clamp_occupancy_positive,
Bcc2,clamp_occupancy_gt_0_1,
Bcc2,clamp_occupancy_gt_0_5,
Bcc2,gate_2_failed,1
Bcc2,gate_3_failed,1
Bcc2,ripple,7
Bcc2,stripe,3
Bcc2,field_collapse,
Bcc2,shell_radial_transport_severe,1
Bcc3,normalized_outside_q001_q999,1
Bcc3,normalized_outside_min_max,1
Bcc3,decode_sensitivity_above_train_q999,1
Bcc3,decoded_above_rout,1
Bcc3,clamp_occupancy_positive,
Bcc3,clamp_occupancy_gt_0_1,
Bcc3,clamp_occupancy_gt_0_5,
Bcc3,gate_2_failed,2
Bcc3,gate_3_failed,1
Bcc3,ripple,5
Bcc3,stripe,4
Bcc3,field_collapse,
Bcc3,shell_radial_transport_severe,2
rho,normalized_outside_q001_q999,1
rho,normalized_outside_min_max,1
rho,decode_sensitivity_above_train_q999,1
rho,decoded_above_rout,1
rho,clamp_occupancy_positive,1
rho,clamp_occupancy_gt_0_1,1
rho,clamp_occupancy_gt_0_5,8
rho,gate_2_failed,
rho,gate_3_failed,
rho,ripple,20
rho,stripe,
rho,field_collapse,
rho,shell_radial_transport_severe,
press,normalized_outside_q001_q999,1
press,normalized_outside_min_max,1
press,decode_sensitivity_above_train_q999,1
press,decoded_above_rout,1
press,clamp_occupancy_positive,1
press,clamp_occupancy_gt_0_1,1
press,clamp_occupancy_gt_0_5,9
press,gate_2_failed,
press,gate_3_failed,
press,ripple,22
press,stripe,
press,field_collapse,3
press,shell_radial_transport_severe,
vel1,normalized_outside_q001_q999,1
vel1,normalized_outside_min_max,1
vel1,decode_sensitivity_above_train_q999,1
vel1,decoded_above_rout,1
vel1,clamp_occupancy_positive,1
vel1,clamp_occupancy_gt_0_1,8
vel1,clamp_occupancy_gt_0_5,13
vel1,gate_2_failed,
vel1,gate_3_failed,
vel1,ripple,1
vel1,stripe,1
vel1,field_collapse,
vel1,shell_radial_transport_severe,
vel2,normalized_outside_q001_q999,1
vel2,normalized_outside_min_max,1
vel2,decode_sensitivity_above_train_q999,1
vel2,decoded_above_rout,1
vel2,clamp_occupancy_positive,1
vel2,clamp_occupancy_gt_0_1,5
vel2,clamp_occupancy_gt_0_5,12
vel2,gate_2_failed,
vel2,gate_3_failed,
vel2,ripple,4
vel2,stripe,1
vel2,field_collapse,
vel2,shell_radial_transport_severe,
vel3,normalized_outside_q001_q999,1
vel3,normalized_outside_min_max,1
vel3,decode_sensitivity_above_train_q999,
vel3,decoded_above_rout,1
vel3,clamp_occupancy_positive,
vel3,clamp_occupancy_gt_0_1,
vel3,clamp_occupancy_gt_0_5,
vel3,gate_2_failed,
vel3,gate_3_failed,1
vel3,ripple,4
vel3,stripe,1
vel3,field_collapse,
vel3,shell_radial_transport_severe,
