channel,decoder_derivative_maximum,decoder_derivative_median,derivative_over_train_q999,fixed_point_delta_ratio,h1_maximum,h1_minimum,h2_maximum,h2_minimum,index_or_step,input_maximum,input_minimum,inverse_clamp_limit,inverse_clamp_occupancy,inverse_clamp_policy,physical_absolute_maximum,roundtrip_1_relative_l2,roundtrip_2_increment_relative_l2,source,std_ratio_h1_over_input,std_ratio_h2_over_h1
Bcc1,0.511219239224603,0.01843703074134162,0.26853992640456936,1.0,1.3097807168960571,-1.3097807168960571,1.3097807168960571,-1.3097807168960571,11,1.3097807168960571,-1.3097807168960571,5.9399999999999995,0.0,canonical,0.13160766661167145,4.216978262473831e-18,4.216978262473831e-18,train_oracle,1.0,1.0
Bcc2,0.005108908505369724,0.000292451074928803,0.26234633274831565,0.0,11.640715599060059,-7.590659141540527,11.640715599060059,-7.590659141540527,11,11.640715599060059,-7.590659141540527,,0.0,no_softclip,0.01824052631855011,0.0,0.0,train_oracle,1.0,1.0
Bcc3,0.00436187393250392,0.0002728275613000467,0.17719329280407664,0.0,102.09087371826172,-102.09086608886719,102.09087371826172,-102.09086608886719,11,102.09087371826172,-102.09086608886719,,0.0,no_softclip,0.15044867992401123,2.529328826031944e-18,0.0,train_oracle,1.0,1.0
rho,3.23142322933613,0.0017013022355908997,0.8689576392767595,0.0,2.4705722332000732,-1.9880787134170532,2.4705722332000732,-1.9880787134170532,11,2.4705722332000732,-1.9880787134170532,5.9399999999999995,0.0,canonical,1.0077409744262695,0.0,0.0,train_oracle,1.0,1.0
press,0.05613783196048878,0.00017450044556656039,1.0077677136078602,0.0,1.8855565786361694,-2.7554712295532227,1.8855565786361694,-2.7554712295532227,11,1.8855565786361694,-2.7554712295532227,5.9399999999999995,0.0,canonical,0.018160324543714523,0.0,0.0,train_oracle,1.0,1.0
vel1,0.859552995080234,0.1849450696417444,2.247154860309683,0.0,5.320605278015137,-1.1100473403930664,5.320605278015137,-1.1100473403930664,11,5.320605278015137,-1.1100473403930664,5.9399999999999995,0.0,canonical,1.7602980136871338,0.0,0.0,train_oracle,1.0,1.0
vel2,0.11000763374790938,0.0022889067833422186,1.0850165728636914,0.0,5.940000057220459,-5.940000057220459,5.940000057220459,-5.940000057220459,11,5.99998664855957,-5.999986171722412,5.9399999999999995,0.0810546875,canonical,0.03573155030608177,0.00508039313112565,0.0,train_oracle,0.9971276631089024,1.0
vel3,0.006249537981890898,0.006249537981890898,1.0,0.0,98.60443115234375,-1.1149418354034424,98.60443115234375,-1.1149418354034424,11,98.60443115234375,-1.1149418354034424,,0.0,no_softclip,0.6206037402153015,0.0,0.0,train_oracle,1.0,1.0
Bcc1,0.4846438435755235,0.01911227348412821,0.25458005509260434,0.0,1.2961938381195068,-1.296193242073059,1.2961938381195068,-1.296193242073059,12,1.2961938381195068,-1.296193242073059,5.9399999999999995,0.0,canonical,0.12484397739171982,0.0,0.0,train_oracle,1.0,1.0
Bcc2,0.003732422882758284,0.0002915888521650749,0.19166275037581043,0.0,10.458438873291016,-7.24022912979126,10.458438873291016,-7.24022912979126,12,10.458438873291016,-7.24022912979126,,0.0,no_softclip,0.013056579977273941,0.0,0.0,train_oracle,1.0,1.0
Bcc3,0.0041592909048796325,0.0002728599381730942,0.16896372122854958,0.0,100.34146118164062,-100.34151458740234,100.34146118164062,-100.34151458740234,12,100.34146118164062,-100.34151458740234,,0.0,no_softclip,0.14299680292606354,4.0850036422474994e-18,0.0,train_oracle,1.0,1.0
rho,3.2400314221123634,0.001701300753906996,0.8712724567248014,0.0,2.4713611602783203,-1.988057017326355,2.4713611602783203,-1.988057017326355,12,2.4713611602783203,-1.988057017326355,5.9399999999999995,0.0,canonical,1.01029372215271,0.0,0.0,train_oracle,1.0,1.0
press,0.05730704347734834,0.00017259527040451955,1.028757010413958,0.0,1.891980528831482,-2.7554712295532227,1.891980528831482,-2.7554712295532227,12,1.891980528831482,-2.7554712295532227,5.9399999999999995,0.0,canonical,0.018524693325161934,0.0,0.0,train_oracle,1.0,1.0
vel1,1.850070967842491,0.1852736063669878,4.836695341765432,0.0,5.694439888000488,-1.38055419921875,5.694439888000488,-1.38055419921875,12,5.694439888000488,-1.38055419921875,5.9399999999999995,0.0,canonical,2.218406915664673,0.0,0.0,train_oracle,1.0,1.0
vel2,0.11188367259458562,0.0023153980165117882,1.1035201363949674,0.0,5.940000057220459,-5.940000057220459,5.940000057220459,-5.940000057220459,12,5.998996734619141,-5.999003887176514,5.9399999999999995,0.02685546875,canonical,0.03573155030608177,0.0022677275105677116,0.0,train_oracle,0.9992972362022637,1.0
