channel,derivative_max,derivative_median,derivative_over_train_q999,feedback_max_discrepancy,feedback_relative_l2,incremental_gain,normalized_max,normalized_min,normalized_ood_q_fraction,normalized_ood_range_fraction,physical_max,physical_min,step
Bcc1,1.3199331916042926e+23,0.24790202068408154,6.933517656142753e+22,2.04110050201416,0.028024465434221425,1.578461704639412,6.341093063354492,-7.981100559234619,0.32924652099609375,0.2663383483886719,2.089942019337422e+22,-2.089942019337422e+22,1
Bcc2,0.18547631991473815,0.0004602803488131038,9.524349925261296,3.814697265625e-06,5.8343615425479243e-08,0.6249852359244169,25.168231964111328,-20.420652389526367,0.016445159912109375,0.007568359375,0.6975175142288208,-0.2578344941139221,1
Bcc3,0.11436326792764681,0.0003138248197932977,4.6458023165061695,1.52587890625e-05,4.756997449994435e-08,0.9605681854534365,209.0830841064453,-222.2461395263672,0.039794921875,0.004638671875,2.9313042163848877,-4.196778297424316,1
rho,14289302243.534403,0.002023829718163315,3842516892.1635466,8.30803108215332,0.2837263931155246,1.438595662296846,9.34888744354248,-10.304762840270996,0.2560615539550781,0.20344924926757812,1.2092770338058472,3.665635176730575e-06,1
press,2280591031862.3384,0.00010335609171592384,40940412723314.74,6.462029933929443,0.3262547937255782,1.6043690864496645,8.360946655273438,-4.325183868408203,0.1430206298828125,0.102020263671875,0.01892666704952717,2.0342165285569536e-08,1
vel1,9.19575213720443,0.19053971971275857,24.040727247298122,4.3600945472717285,0.05525477639443148,1.4722872023364868,8.770052909851074,-10.300094604492188,0.22478103637695312,0.1373138427734375,3.1266329288482666,-2.7056705951690674,1
vel2,0.11285225485254133,0.002327263642838804,1.1130733625326368,10.11884880065918,0.24582214571421712,1.1829044928927772,15.573851585388184,-16.058849334716797,0.06912612915039062,0.06912612915039062,0.03573155030608177,-0.03573150932788849,1
vel3,0.006249537981890898,0.006249537981890898,1.0,1.52587890625e-05,5.9448010108337566e-08,1.09974261830006,248.2896270751953,-5.592510223388672,0.082275390625,0.00244140625,1.5560671091079712,-0.030578982084989548,1
Bcc1,5.447534952492823e+23,0.21036645181648733,2.8615523888490213e+23,1.3359251022338867,0.020552023779058477,0.9820432161152897,6.274637222290039,-7.275925159454346,0.3183860778808594,0.2522468566894531,2.089942019337422e+22,-2.089942019337422e+22,2
Bcc2,0.14968081346811318,0.0004754362764798636,7.686223477063894,1.9073486328125e-06,5.8314912157492715e-08,0.9892339906920441,24.360702514648438,-17.78925132751465,0.015625,0.005859375,0.5627089738845825,-0.12769906222820282,2
Bcc3,0.1330637785076523,0.0003120757297926053,5.405476965077795,1.52587890625e-05,4.776670269782533e-08,0.9855905514973433,215.6501007080078,-227.81707763671875,0.041965484619140625,0.005859375,3.5061991214752197,-4.884664058685303,2
rho,264369123819.2618,0.0023094882775927927,71091142641.45657,6.369781017303467,0.27836211136735306,1.1964432951948276,7.98911714553833,-8.3665132522583,0.2404937744140625,0.19751358032226562,1.2092770338058472,3.665635176730575e-06,2
press,6144550380797.899,0.00010740513626597843,110304927571183.88,7.079192638397217,0.33204871193712393,1.1927596508197844,8.978109359741211,-4.5420732498168945,0.1374359130859375,0.09593963623046875,0.01892666704952717,2.0342165285569536e-08,2
vel1,9.150976471448717,0.18979665046244337,23.923668897781045,3.864220142364502,0.07408820359970654,1.0031735903043302,9.804220199584961,-8.0679349899292,0.19972991943359375,0.11779403686523438,3.1266329288482666,-2.7056705951690674,2
vel2,0.11302798162162911,0.0023135280999054576,1.1148065736768102,10.192485809326172,0.224744968141307,1.1060742086048245,16.13248634338379,-14.45793342590332,0.06844329833984375,0.06844329833984375,0.03573155030608177,-0.03573150932788849,2
vel3,0.006249537981890898,0.006249537981890898,1.0,1.52587890625e-05,5.881042573867501e-08,1.012971401909576,253.15621948242188,-6.310499668121338,0.0947113037109375,0.0036468505859375,1.586480975151062,-0.03506608307361603,2
Bcc1,1.0276814238435005e+20,0.18847295106849665,5.398339357197556e+19,4.898233890533447,0.09210211909058005,1.0427931502414804,6.129738807678223,-10.838233947753906,0.314666748046875,0.2504463195800781,2.089942019337422e+22,-2.089942019337422e+22,3
Bcc2,0.1759636830951936,0.00047915194511491014,9.035868798274759,3.814697265625e-06,5.861073891727749e-08,1.0028659625469472,24.96994972229004,-18.565366744995117,0.0158538818359375,0.007568359375,0.661692202091217,-0.15715216100215912,3
Bcc3,0.1969817425392149,0.0003151265867495234,8.002029431137618,1.52587890625e-05,4.7681657324106136e-08,0.9985771618556057,226.77685546875,-242.24693298339844,0.04083251953125,0.010776519775390625,4.748187065124512,-7.235844612121582,3
rho,2.7084544760529853e+17,0.002121382789712463,7.283268208983845e+16,7.5071539878845215,0.3525295006674578,1.3038267582428393,9.636557579040527,-9.503886222839355,0.2600440979003906,0.21801376342773438,1.2092770338058472,3.665635176730575e-06,3
press,1.7885766738106557e+17,0.00011210716542694856,3.210793438633576e+18,7.560495853424072,0.38340819917146546,1.2948853480120548,9.459412574768066,-4.794484615325928,0.14991378784179688,0.1103973388671875,0.01892666704952717,2.0342165285569536e-08,3
vel1,9.214266092642063,0.1891293090574312,24.0891288294965,6.301295757293701,0.14948369213786594,1.0741335171282755,12.24129581451416,-5.702801704406738,0.1926727294921875,0.11304855346679688,3.1266329288482666,-1.813124656677246,3
vel2,0.11261939629083027,0.002318649156561909,1.1107766546589934,10.407651901245117,0.2245684159366994,1.1500082226285582,16.347652435302734,-14.479578018188477,0.06786727905273438,0.06786727905273438,0.03573155030608177,-0.03573150932788849,3
vel3,0.006249537981890898,0.006249537981890898,1.0,3.0517578125e-05,5.79817824891186e-08,1.0121588575191018,261.1445617675781,-7.60776948928833,0.11249923706054688,0.005859375,1.6364045143127441,-0.043173421174287796,3
Bcc1,3.6623906946141544e+24,0.29570062574853295,1.923828471495313e+24,13.91569709777832,0.300867704878217,1.3720347569927307,12.663290977478027,-19.855697631835938,0.40041351318359375,0.3456764221191406,2.089942019337422e+22,-2.089942019337422e+22,5
Bcc2,0.29929262793126554,0.0005128240343562906,15.36890380280775,1.9073486328125e-06,5.76560941820979e-08,1.0316758025365036,26.970277786254883,-21.461509704589844,0.020099639892578125,0.010471343994140625,1.1261581182479858,-0.3402332365512848,5
Bcc3,0.799437634060291,0.00033220830302725673,32.475717767782164,3.0517578125e-05,4.620037656758488e-08,1.046781769111969,293.77435302734375,-247.40916442871094,0.048137664794921875,0.0208892822265625,29.396791458129883,-8.327520370483398,5
rho,2.7579777047886182e+17,0.0028470567820298703,7.416440451916317e+16,16.573415756225586,0.5628607630451818,1.7384785408524854,15.944620132446289,-18.570148468017578,0.33574676513671875,0.29601287841796875,1.2092770338058472,3.665635176730575e-06,5
press,1.6642252068043187e+17,9.858878025850944e-05,2.987561815301629e+18,13.077512741088867,0.5269527044457691,1.6876228056621791,14.97642993927002,-8.951736450195312,0.23514938354492188,0.1797637939453125,0.01892666704952717,2.0342165285569536e-08,5
vel1,9.18402912326535,0.190222086914802,24.01007942464907,12.248849868774414,0.27189490235561103,1.266152080322485,18.18885040283203,-13.66634750366211,0.2773933410644531,0.19517135620117188,3.1266329288482666,-2.7056705951690674,5
vel2,0.11301636848956129,0.002329048012213632,1.1146920321643066,17.20254898071289,0.3776320440499576,1.4131578026782023,20.651851654052734,-23.142549514770508,0.106414794921875,0.106414794921875,0.03573155030608177,-0.03573150932788849,5
vel3,0.006249537981890898,0.006249537981890898,1.0,3.0517578125e-05,5.861623553195678e-08,1.0635314297768927,306.0730895996094,-9.197086334228516,0.1531524658203125,0.014461517333984375,1.917186975479126,-0.0531059168279171,5
Bcc1,3.838880242140621e+24,0.2815820173518433,2.0165372087013287e+24,39.709693908691406,0.6252229074644795,2.194529170408168,29.05524253845215,-45.64969253540039,0.7476463317871094,0.7150382995605469,2.089942019337422e+22,-2.089942019337422e+22,10
Bcc2,35.97421532269528,0.0012867210425939251,1847.3032847403435,3.814697265625e-06,5.5510219862249556e-08,1.1692910647758328,42.29179382324219,-43.99778747558594,0.10390853881835938,0.07727813720703125,65.88981628417969,-135.4805450439453,10
Bcc3,219.95388363657165,0.0007797760164237116,8935.231395886707,3.0517578125e-05,4.3833047675761864e-08,1.2051519898617282,456.3046875,-500.4017639160156,0.15831756591796875,0.1085662841796875,2439.836181640625,-8090.85009765625,10
rho,2.7807296347225696e+17,2.9384542755992428e-05,7.477622358219746e+16,41.90610122680664,0.7961979785138371,3.673190805599465,39.771854400634766,-43.90283203125,0.6779708862304688,0.6460723876953125,1.2092770338058472,3.665635176730575e-06,10
press,1.7875099802929405e+17,6.533083653288725e-07,3.208878545859974e+18,31.270601272583008,0.7666766283143215,3.1246260231966767,33.169517517089844,-32.37388610839844,0.6121025085449219,0.5739860534667969,0.01892666704952717,2.0342165285569536e-08,10
vel1,9.206706262533801,0.19541520400570467,24.069364941675584,25.346956253051758,0.4508295196961491,1.634675272954512,31.286956787109375,-26.71883773803711,0.6604804992675781,0.5990066528320312,3.1266329288482666,-2.7056705951690674,10
vel2,0.11302976847024282,0.0022762790240409,1.1148241975479274,53.61066818237305,0.6366443090037756,2.297540080703719,34.4219856262207,-59.55066680908203,0.41196441650390625,0.4119606018066406,0.03573155030608177,-0.03573150932788849,10
vel3,0.006249537981890898,0.006249537981890898,1.0,6.103515625e-05,5.574918963920552e-08,1.2074479890823318,623.4364624023438,-29.480682373046875,0.254425048828125,0.13986968994140625,3.900561571121216,-0.17986902594566345,10
Bcc1,3.64669235629631e+24,0.0,1.9155822430807838e+24,382.598876953125,0.9468890790062975,13.793773351582082,178.0594940185547,-388.53887939453125,0.9757766723632812,0.9728431701660156,2.089942019337422e+22,-2.089942019337422e+22,19
Bcc2,1.430870810716828e+36,532.136959394538,7.347630309558718e+37,2.384185791015625e-07,5.2699520947004656e-11,1.2876678443819252,328.5824279785156,-344.035400390625,0.8626976013183594,0.8409957885742188,6.810292412697071e+34,-5.3887649544618e+36,19
Bcc3,9.233602338676103e+36,147.93601167378495,3.7509850769442685e+38,896.79541015625,0.025498786583429977,1.2865785942300392,3468.460205078125,-4329.80517578125,0.7369117736816406,0.6974945068359375,3.4028234663852886e+38,-3.4028234663852886e+38,19
rho,2.3761634063747853e+17,0.0,6.389708798879466e+16,286.3279113769531,0.9728070527245724,28.001224750108367,216.87445068359375,-288.32464599609375,0.9682464599609375,0.9653396606445312,1.2092770338058472,3.665635176730575e-06,19
press,1.689811973473258e+17,0.0,3.033494328981037e+18,280.4784240722656,0.9682369004082412,21.874471628984384,282.3773498535156,-180.61607360839844,0.9490318298339844,0.9422225952148438,0.01892666704952717,2.0342165285569536e-08,19
vel1,9.173345438397387,0.0,23.982148750781988,219.06361389160156,0.9170185542192356,9.61865325471274,205.43165588378906,-225.0036163330078,0.9560890197753906,0.9441261291503906,3.1266329288482666,-2.7056705951690674,19
vel2,0.1126380249157541,0.0,1.1109603906969698,395.5978698730469,0.9458367211348605,14.310155172721451,281.2926940917969,-401.5378723144531,0.927734375,0.927734375,0.03573155030608177,-0.03573150932788849,19
vel3,0.006249537981890898,0.006249537981890898,1.0,0.00048828125,4.6782798347524964e-08,1.2841898880462295,4613.5419921875,-139.05259704589844,0.7722320556640625,0.7319908142089844,28.836877822875977,-0.864642858505249,19
Bcc1,3.661691439405566e+24,0.0,1.9234611575762647e+24,1030.2197265625,0.9825737494709441,44.010112797222924,630.0745239257812,-1036.15966796875,0.9935455322265625,0.9927444458007812,2.089942019337422e+22,-2.089942019337422e+22,25
Bcc2,9.034845063729214e+37,45369657204.037315,4.639461573694887e+39,828.794921875,0.3151094283322406,1.338473547752576,1189.451171875,-944.044677734375,0.96380615234375,0.9574165344238281,3.4028234663852886e+38,-3.4028234663852886e+38,25
Bcc3,9.2342152006138e+36,132.26294811591112,3.751234041096959e+38,6006.4189453125,0.3599063236297215,1.4390787423687788,8490.1015625,-9439.4287109375,0.8955307006835938,0.873382568359375,3.4028234663852886e+38,-3.4028234663852886e+38,25
rho,1.0228071977271586e+17,0.0,2.750416967680403e+16,1097.3031005859375,0.9930105477600805,102.64135632114359,726.4382934570312,-1099.2998046875,0.9907989501953125,0.9897842407226562,1.2092770338058472,3.665635176730575e-06,25
press,1.218562401189989e+17,0.0,2.1875227490082913e+18,851.31640625,0.989013799597397,68.15335205546718,853.21533203125,-610.0888671875,0.9883880615234375,0.9866371154785156,0.01892666704952717,2.0342165285569536e-08,25
vel1,9.106779040465366,0.0,23.80812224456024,897.378662109375,0.9779809746818746,35.57802634928952,669.559814453125,-903.3186645507812,0.9858245849609375,0.9824676513671875,3.1266329288482666,-2.7056705951690674,25
vel2,0.1101669253814328,0.0,1.0865876825803815,1271.088134765625,0.9823239487304796,44.543048898175066,1277.028076171875,-970.7840576171875,0.9811172485351562,0.9811172485351562,0.03573155030608177,-0.03573150932788849,25
vel3,0.006249537981890898,0.006249537981890898,1.0,0.0009765625,4.479086266659577e-08,1.1690429013621717,14955.390625,-622.6160888671875,0.9207267761230469,0.9008750915527344,93.4686508178711,-3.8866913318634033,25
Bcc1,3.842561556420008e+24,0.0,2.018470977600868e+24,14700.978515625,0.9985724107835383,517.0540585836885,13564.5302734375,-14706.9189453125,0.9995460510253906,0.9994926452636719,2.089942019337422e+22,-2.089942019337422e+22,50
Bcc2,9.02994119463901e+37,0.0,4.636943399664679e+39,18643.978515625,0.9429359174565356,14.012633634571221,19004.634765625,-12554.4765625,0.9980621337890625,0.9977951049804688,3.4028234663852886e+38,-3.4028234663852886e+38,50
Bcc3,9.228455904760924e+36,0.0,3.7488944306171614e+38,149940.203125,0.9279207103325287,10.115172946907952,153373.21875,-100764.7890625,0.95245361328125,0.9427223205566406,3.4028234663852886e+38,-3.4028234663852886e+38,50
rho,1.0526080360420602e+17,0.0,2.8305539979384464e+16,17141.212890625,0.9995724374225985,1637.4843415373684,10632.138671875,-17143.208984375,0.9994125366210938,0.9993515014648438,1.2092770338058472,3.665635176730575e-06,50
press,7666057648150670.0,0.0,1.376185206778261e+17,12959.2177734375,0.9993551995201538,1101.1732287935718,10643.6708984375,-12961.962890625,0.99920654296875,0.9990882873535156,0.01892666704952717,2.0342165285569536e-08,50
