alpha,application,channel,decoded_maximum,decoded_minimum,decoded_variance,fixed_point_tendency,fraction_outside_train_min_max,fraction_outside_train_q001_q999,gate_2_failed,maximum_minmax_excess,maximum_normalized_excess,maximum_normalized_excess_over_robust_span,normalized_state_norm,output_delta,radial_variance,rout_failure,second_over_first_delta,shell_variance,state
0.0,1,Bcc1,0.13160766661167145,-0.13160766661167145,0.0007086415692930474,,0.0,0.0,,0.0,0.0,0.0,15289.2666015625,0.0,3.367020446374925e-08,True,,"[0.004994652611737621, 0.00048299915904018663, 4.7322047681835326e-05, 8.613042828796076e-06, 6.288089329633999e-06, 2.932526167061164e-05, 8.011323470512401e-05, 1.957847193889082e-05]",train_early
0.0,1,Bcc2,0.01824052631855011,-0.007580220233649015,6.12769698015175e-06,,0.0,0.0,False,0.0,0.0,0.0,15289.2666015625,0.0,3.5840241258610624e-06,True,,"[2.5032324138575606e-05, 1.0299403433036636e-06, 6.271473532607553e-08, 1.0064612220980472e-08, 1.3897652439869958e-08, 1.993823257996523e-08, 5.4150418543310764e-09, 1.597250276144617e-10]",train_early
0.0,1,Bcc3,0.15044867992401123,-0.15044865012168884,0.00041799998006188024,,0.0,0.0,False,0.0,0.0,0.0,15289.2666015625,0.0,2.2291391939786033e-08,True,,"[0.0033194674934315313, 2.415547625002106e-05, 2.501052354521217e-07, 4.164807248714339e-09, 1.1037297547169865e-09, 2.1759279905811687e-09, 3.3279112986639436e-09, 2.15340925914159e-11]",train_early
0.0,1,rho,1.0077409744262695,3.7620750390487956e-06,0.024759528476786415,,0.0,0.00439453125,,0.0,0.008448004722595215,0.0018808039489125418,15289.2666015625,0.0,0.007110524014508089,True,,"[1.2791454592259845e-05, 5.508663797351075e-07, 6.186517958340876e-08, 6.224018294213042e-09, 1.3935209531453649e-09, 0.0008744717551373747, 0.10226855626243994, 0.04335169387890946]",train_early
0.0,1,press,0.018160317093133926,2.0342165285569536e-08,3.1277476630763773e-06,,0.001953125,0.005126953125,,2.384185791015625e-07,0.024935483932495117,0.00540468458879927,15289.2666015625,0.0,2.7102772193142015e-06,True,,"[7.808108023464636e-06, 1.5032003232714252e-07, 5.722145584304684e-09, 1.8520016514077417e-10, 3.400344191327642e-11, 2.076956115255541e-09, 1.6184269971601598e-07, 5.3214945223224075e-08]",train_early
0.0,1,vel1,1.7602980136871338,0.004259854555130005,0.025016855496212013,,0.0,0.0009765625,,0.0,0.9943166141510034,0.17138899519006123,15289.2666015625,0.0,0.011562649875540862,True,,"[0.013825045780781232, 0.0024824771143576725, 0.004856069990458468, 0.008325395188959337, 0.0073932910949018995, 0.02078887286159087, 0.07788013890032189, 1.5248975799876332e-05]",train_early
0.0,1,vel2,0.03573155030608177,-0.03573150932788849,0.00016958463220210454,,0.0,0.0,,0.0,0.0,0.0,15289.2666015625,0.0,3.646212204123128e-08,True,,"[0.0008944617290510427, 0.0003321448526217817, 8.093792113333519e-05, 2.7848694688408284e-05, 1.1306461824600683e-05, 6.883212782751599e-06, 2.822750086956273e-06, 5.689797276904708e-11]",train_early
0.0,1,vel3,0.6206037402153015,-0.002596247009932995,0.013054416466034984,,0.0,0.0,False,0.0,0.0,0.0,15289.2666015625,0.0,0.012927909338785562,True,,"[0.01856478448988542, 0.001055553207839533, 7.785103642318906e-05, 5.167931062836792e-06, 1.5729893318273894e-06, 3.490831197538841e-06, 1.8279578211004783e-06, 1.7121327649719204e-07]",train_early
0.0,2,Bcc1,0.13160766661167145,-0.13160766661167145,0.0007086415692930474,False,0.0,0.0,,0.0,0.0,0.0,15289.2666015625,0.0,3.367020446374925e-08,True,0.0,"[0.004994652611737621, 0.00048299915904018663, 4.7322047681835326e-05, 8.613042828796076e-06, 6.288089329633999e-06, 2.932526167061164e-05, 8.011323470512401e-05, 1.957847193889082e-05]",train_early
0.0,2,Bcc2,0.01824052631855011,-0.007580220233649015,6.12769698015175e-06,False,0.0,0.0,False,0.0,0.0,0.0,15289.2666015625,0.0,3.5840241258610624e-06,True,0.0,"[2.5032324138575606e-05, 1.0299403433036636e-06, 6.271473532607553e-08, 1.0064612220980472e-08, 1.3897652439869958e-08, 1.993823257996523e-08, 5.4150418543310764e-09, 1.597250276144617e-10]",train_early
0.0,2,Bcc3,0.15044867992401123,-0.15044865012168884,0.00041799998006188024,False,0.0,0.0,False,0.0,0.0,0.0,15289.2666015625,0.0,2.2291391939786033e-08,True,0.0,"[0.0033194674934315313, 2.415547625002106e-05, 2.501052354521217e-07, 4.164807248714339e-09, 1.1037297547169865e-09, 2.1759279905811687e-09, 3.3279112986639436e-09, 2.15340925914159e-11]",train_early
0.0,2,rho,1.0077409744262695,3.7620750390487956e-06,0.024759528476786415,False,0.0,0.00439453125,,0.0,0.008448004722595215,0.0018808039489125418,15289.2666015625,0.0,0.007110524014508089,True,0.0,"[1.2791454592259845e-05, 5.508663797351075e-07, 6.186517958340876e-08, 6.224018294213042e-09, 1.3935209531453649e-09, 0.0008744717551373747, 0.10226855626243994, 0.04335169387890946]",train_early
0.0,2,press,0.018160317093133926,2.0342165285569536e-08,3.1277476630763773e-06,False,0.001953125,0.005126953125,,2.384185791015625e-07,0.024935483932495117,0.00540468458879927,15289.2666015625,0.0,2.7102772193142015e-06,True,0.0,"[7.808108023464636e-06, 1.5032003232714252e-07, 5.722145584304684e-09, 1.8520016514077417e-10, 3.400344191327642e-11, 2.076956115255541e-09, 1.6184269971601598e-07, 5.3214945223224075e-08]",train_early
0.0,2,vel1,1.7602980136871338,0.004259854555130005,0.025016855496212013,False,0.0,0.0009765625,,0.0,0.9943166141510034,0.17138899519006123,15289.2666015625,0.0,0.011562649875540862,True,0.0,"[0.013825045780781232, 0.0024824771143576725, 0.004856069990458468, 0.008325395188959337, 0.0073932910949018995, 0.02078887286159087, 0.07788013890032189, 1.5248975799876332e-05]",train_early
0.0,2,vel2,0.03573155030608177,-0.03573150932788849,0.00016958463220210454,False,0.0,0.0,,0.0,0.0,0.0,15289.2666015625,0.0,3.646212204123128e-08,True,0.0,"[0.0008944617290510427, 0.0003321448526217817, 8.093792113333519e-05, 2.7848694688408284e-05, 1.1306461824600683e-05, 6.883212782751599e-06, 2.822750086956273e-06, 5.689797276904708e-11]",train_early
0.0,2,vel3,0.6206037402153015,-0.002596247009932995,0.013054416466034984,False,0.0,0.0,False,0.0,0.0,0.0,15289.2666015625,0.0,0.012927909338785562,True,0.0,"[0.01856478448988542, 0.001055553207839533, 7.785103642318906e-05, 5.167931062836792e-06, 1.5729893318273894e-06, 3.490831197538841e-06, 1.8279578211004783e-06, 1.7121327649719204e-07]",train_early
1.0,1,Bcc1,4.656163692474365,-6008.06201171875,10785.812999438134,,0.008544921875,0.013671875,,1.8449232578277588,2.0677144527435303,0.6500352328471568,14846.6796875,0.1612173651554607,684.4386237163928,True,,"[85674.68711876929, 0.00022899709216745953, 3.6093368977156386e-05, 1.9464246541850974e-06, 4.610982508809899e-06, 3.4894942789711995e-06, 2.1052516375374966e-05, 0.00013880685486524898]",train_early
1.0,1,Bcc2,0.00906494352966547,-0.0046840510331094265,1.2699593747554728e-06,,0.0,0.0,True,0.0,0.0,0.0,14846.6796875,0.1612173651554607,8.737801052676542e-07,True,,"[6.611505969328848e-06, 1.3233636061624411e-07, 9.415621608973676e-08, 6.428218302535484e-08, 3.374491500980237e-08, 5.270292067067954e-09, 3.5030026092075836e-09, 1.7876931019022877e-08]",train_early
