collapse_count,flag_count,flags,ground_truth_available,ripple_count,step,stripe_count
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,3,1,5
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,3,2,5
0,10,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,5,3,5
0,10,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,5,4,5
0,12,Bcc1:possible_high_frequency_ripple;Bcc1:possible_stripe_anisotropy;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;press:possible_stripe_anisotropy;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,5,5,7
0,11,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;press:possible_stripe_anisotropy;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,5,6,6
0,11,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;press:possible_stripe_anisotropy;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,5,7,6
0,10,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,5,8,5
0,12,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;press:possible_stripe_anisotropy;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,6,9,6
0,11,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,6,10,5
0,11,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,6,11,5
0,11,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,6,12,5
0,12,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_high_frequency_ripple;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,7,13,5
0,12,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_high_frequency_ripple;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,7,14,5
0,12,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_high_frequency_ripple;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,7,15,5
0,12,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_high_frequency_ripple;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,7,16,5
0,12,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_high_frequency_ripple;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,7,17,5
0,12,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_high_frequency_ripple;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,7,18,5
0,12,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_high_frequency_ripple;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_stripe_anisotropy,True,7,19,5
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,7,20,1
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,7,21,1
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,7,22,1
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,7,23,1
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,7,24,1
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,7,25,1
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,7,26,1
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,7,27,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc2:possible_stripe_anisotropy;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,7,28,2
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,29,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,30,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,31,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,32,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,33,1
0,10,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;Bcc3:possible_stripe_anisotropy;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,34,2
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,35,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,36,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,37,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,38,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,39,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,40,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,41,1
