above_rin,above_rout,artifact_flag_count,evaluation_bound_clamp_fraction,finite,prediction_global_norm,rho_press_positive,step
True,True,8,0.0,True,86610.578125,True,20
True,True,8,0.0,True,91204.515625,True,21
True,True,8,0.0,True,96230.453125,True,22
True,True,8,0.0,True,101699.6875,True,23
True,True,8,0.0,True,107681.65625,True,24
True,True,8,0.0,True,114212.7421875,True,25
True,True,8,0.0,True,121353.4921875,True,26
True,True,8,0.0,True,129184.1640625,True,27
True,True,9,0.0,True,137754.171875,True,28
True,True,9,0.0,True,147120.09375,True,29
True,True,9,0.0,True,157380.875,True,30
True,True,9,0.0,True,168619.203125,True,31
True,True,9,0.0,True,180914.015625,True,32
True,True,9,0.0,True,194390.328125,True,33
True,True,10,0.0,True,209167.09375,True,34
True,True,9,0.0,True,225409.125,True,35
True,True,9,0.0,True,243337.484375,True,36
True,True,9,0.0,True,263160.125,True,37
True,True,9,0.0,True,285106.875,True,38
True,True,9,0.0,True,309453.15625,True,39
True,True,9,0.0,True,336443.65625,True,40
True,True,9,0.0,True,366299.15625,True,41
True,True,9,0.0,True,398323.03125,True,42
True,True,8,0.0,True,431725.96875,True,43
True,True,8,0.0,True,467405.96875,True,44
True,True,8,0.0,True,505266.59375,True,45
True,True,8,0.0,True,545552.0625,True,46
True,True,8,0.0,True,587302.4375,True,47
True,True,8,0.0,True,631520.6875,True,48
True,True,8,0.0,True,677451.0625,True,49
True,True,8,0.0,True,724577.5,True,50
True,True,8,0.0,True,773449.4375,True,51
True,True,8,0.0,True,823640.1875,True,52
True,True,8,0.0,True,874434.0,True,53
True,True,8,0.0,True,925624.8125,True,54
True,True,8,0.0,True,976431.9375,True,55
True,True,8,0.0,True,1025622.6875,True,56
True,True,8,0.0,True,1073094.75,True,57
True,True,8,0.0,True,1118624.5,True,58
True,True,8,0.0,True,1162416.625,True,59
True,True,8,0.0,True,1203871.0,True,60
True,True,8,0.0,True,1242611.875,True,61
True,True,8,0.0,True,1278515.75,True,62
True,True,8,0.0,True,1312449.5,True,63
True,True,8,0.0,True,1345340.625,True,64
True,True,8,0.0,True,1376609.75,True,65
True,True,8,0.0,True,1406085.625,True,66
True,True,8,0.0,True,1433720.625,True,67
True,True,8,0.0,True,1459745.0,True,68
True,True,8,0.0,True,1483931.125,True,69
True,True,8,0.0,True,1506585.5,True,70
True,True,8,0.0,True,1528009.375,True,71
True,True,8,0.0,True,1548535.875,True,72
True,True,8,0.0,True,1568048.5,True,73
True,True,8,0.0,True,1587052.0,True,74
True,True,8,0.0,True,1604894.5,True,75
True,True,8,0.0,True,1621836.375,True,76
True,True,8,0.0,True,1637819.125,True,77
True,True,8,0.0,True,1652386.875,True,78
True,True,8,0.0,True,1665885.875,True,79
True,True,8,0.0,True,1678752.875,True,80
True,True,8,0.0,True,1690924.125,True,81
True,True,8,0.0,True,1702348.0,True,82
True,True,8,0.0,True,1713403.5,True,83
True,True,8,0.0,True,1723811.0,True,84
True,True,8,0.0,True,1733658.125,True,85
True,True,8,0.0,True,1743126.875,True,86
True,True,8,0.0,True,1752487.75,True,87
True,True,8,0.0,True,1761666.75,True,88
True,True,8,0.0,True,1770853.0,True,89
True,True,8,0.0,True,1780127.125,True,90
True,True,8,0.0,True,1789656.25,True,91
True,True,8,0.0,True,1798980.75,True,92
True,True,8,0.0,True,1808597.5,True,93
True,True,8,0.0,True,1818583.75,True,94
True,True,8,0.0,True,1828606.5,True,95
True,True,8,0.0,True,1838679.375,True,96
True,True,8,0.0,True,1848688.0,True,97
True,True,8,0.0,True,1858764.125,True,98
True,True,8,0.0,True,1868523.375,True,99
True,True,8,0.0,True,1878179.5,True,100
