above_rout,artifact_count,finite,model_to_oracle_average,model_to_raw_average,normalized_average,oracle_floor_average,persistence_normalized_average,predicted_residual_norm,prediction_global_norm,residual_cosine,residual_sign_agreement,rho_press_positive,step
True,8,True,13.357603992566785,13.406323713172863,0.22156488760115134,0.09194683452019373,0.1825463011156006,2832.49951171875,41913.88671875,0.758703083652658,0.5601077079772949,True,1
True,8,True,492.09724971886783,492.10748211330923,0.4883077504142066,0.09724115512915822,0.4112439133571795,2926.399169921875,43193.984375,0.36903054572186644,0.2663741111755371,True,2
True,10,True,12906.298207099906,12906.261438408737,0.7314275676509765,0.059678981315656056,0.5721794758544605,3022.53662109375,44547.7734375,-0.3100921539746526,0.2408289909362793,True,3
True,10,True,3181932533298.041,3181935654016.3325,0.8596945226253465,0.049830056639289654,0.6326083041865606,3169.124267578125,45976.3203125,-0.3254723472623543,0.2365880012512207,True,4
True,12,True,3.033802933265642e+19,3.0338016463741276e+19,0.9479147758122753,0.0490549470150524,0.6517240977841545,3286.2998046875,47487.13671875,-0.3372014041711504,0.2424788475036621,True,5
True,11,True,4.801730252402775e+19,4.801728425068254e+19,1.0465733121240448,0.04654691026268399,0.6600535374533991,3422.005615234375,49086.2109375,-0.35385763854038427,0.24243688583374023,True,6
True,11,True,7.829113057212847e+19,7.829110350437717e+19,1.148734088174424,0.04495179003036866,0.6656684859377344,3568.37109375,50776.19140625,-0.37318994050931875,0.24634456634521484,True,7
True,10,True,1.2716976794537627e+20,1.2716972691239444e+20,1.2530608525561915,0.044749559018449,0.6714075155208835,3732.734619140625,52561.3046875,-0.3940215420364231,0.2442626953125,True,8
True,12,True,1.9015602241996613e+20,1.901559641690682e+20,1.3588730703808973,0.04417382388534469,0.6781477983879755,3889.75830078125,54451.54296875,-0.4138408446068573,0.24170780181884766,True,9
True,11,True,2.782304705552969e+20,2.782303936591764e+20,1.4631188767847452,0.04385290060254403,0.6844087188057134,4069.8798828125,56454.2578125,-0.4329300144615634,0.24260473251342773,True,10
True,11,True,3.290042561782494e+20,3.2900417206638694e+20,1.5656403335371554,0.04364611375958618,0.6889612012264086,4257.39599609375,58585.8046875,-0.45361601231564713,0.23960590362548828,True,11
True,11,True,3.823040571190999e+20,3.8230396020094553e+20,1.6668398191967313,0.04313861730611267,0.6946996468403545,4445.728515625,60856.875,-0.4747051192482451,0.23471927642822266,True,12
True,12,True,4.239069042953749e+20,4.239068052969772e+20,1.7663073205300293,0.04303785732065222,0.6989171429225273,4654.14501953125,63278.21484375,-0.49342409882297156,0.23094701766967773,True,13
True,12,True,4.7053473385639176e+20,4.705346332032528e+20,1.8657817596417905,0.04264615283831009,0.7059994431222038,4876.84521484375,65878.34375,-0.5137502304207068,0.2282099723815918,True,14
True,12,True,5.2784047601935706e+20,5.2784036110265935e+20,1.9615854955743468,0.04256838149337483,0.7120713731938908,5144.35107421875,68674.609375,-0.5333865680013674,0.22598981857299805,True,15
True,12,True,5.6961178741042564e+20,5.6961167758376776e+20,2.053592090127986,0.04198389142849229,0.7174565084391037,5421.8076171875,71700.9921875,-0.5539529341539987,0.2231884002685547,True,16
True,12,True,6.003233895046576e+20,6.003232861448916e+20,2.143175045862883,0.04122318458728722,0.7232932973934911,5722.052734375,74976.3671875,-0.5719572584831597,0.22161531448364258,True,17
True,12,True,6.276667375623216e+20,6.276666269710687e+20,2.2323612857284223,0.042453006716104705,0.7291611810624534,6059.85986328125,78532.8359375,-0.5883915991713048,0.22100496292114258,True,18
True,12,True,6.529352052117408e+20,6.529350984627471e+20,2.3208249774806373,0.04287175487576231,0.7335598132467668,6433.7021484375,82405.5234375,-0.6022933385827527,0.21971702575683594,True,19
