above_rout,artifact_count,finite,ground_truth_error_omitted,normalized_state_change_norm,predicted_residual_norm,prediction_global_norm,rho_press_positive,step
True,8,True,True,6836.81982421875,6836.81982421875,86610.578125,True,20
True,8,True,True,7275.728515625,7275.728515625,91204.515625,True,21
True,8,True,True,7744.8876953125,7744.88818359375,96230.453125,True,22
True,8,True,True,8275.4833984375,8275.4833984375,101699.6875,True,23
True,8,True,True,8860.0830078125,8860.0830078125,107681.65625,True,24
True,8,True,True,9523.09375,9523.09375,114212.7421875,True,25
True,8,True,True,10248.615234375,10248.615234375,121353.4921875,True,26
True,8,True,True,11041.53515625,11041.53515625,129184.1640625,True,27
True,9,True,True,11832.5,11832.4990234375,137754.171875,True,28
True,9,True,True,12703.416015625,12703.416015625,147120.09375,True,29
True,9,True,True,13689.4052734375,13689.4052734375,157380.875,True,30
True,9,True,True,14763.5400390625,14763.5400390625,168619.203125,True,31
True,9,True,True,15984.66015625,15984.66015625,180914.015625,True,32
True,9,True,True,17356.85546875,17356.85546875,194390.328125,True,33
True,10,True,True,18884.54296875,18884.54296875,209167.09375,True,34
True,9,True,True,20675.994140625,20675.994140625,225409.125,True,35
True,9,True,True,22721.59765625,22721.59765625,243337.484375,True,36
True,9,True,True,25020.537109375,25020.537109375,263160.125,True,37
True,9,True,True,27603.869140625,27603.869140625,285106.875,True,38
True,9,True,True,30434.94921875,30434.94921875,309453.15625,True,39
True,9,True,True,33510.56640625,33510.56640625,336443.65625,True,40
True,9,True,True,36941.75,36941.75,366299.15625,True,41
True,9,True,True,40547.30859375,40547.30859375,398323.03125,True,42
True,8,True,True,44289.59375,44289.59375,431725.96875,True,43
True,8,True,True,48327.60546875,48327.60546875,467405.96875,True,44
True,8,True,True,52579.32421875,52579.32421875,505266.59375,True,45
True,8,True,True,57085.98828125,57085.98828125,545552.0625,True,46
True,8,True,True,61464.94140625,61464.94140625,587302.4375,True,47
True,8,True,True,65984.953125,65984.953125,631520.6875,True,48
True,8,True,True,70614.75,70614.75,677451.0625,True,49
True,8,True,True,75059.640625,75059.640625,724577.5,True,50
True,8,True,True,79606.359375,79606.359375,773449.4375,True,51
True,8,True,True,84210.3515625,84210.3515625,823640.1875,True,52
True,8,True,True,88985.515625,88985.515625,874434.0,True,53
True,8,True,True,93746.578125,93746.578125,925624.8125,True,54
True,8,True,True,98513.2734375,98513.2734375,976431.9375,True,55
True,8,True,True,103086.1484375,103086.1484375,1025622.6875,True,56
True,8,True,True,106985.5078125,106985.5078125,1073094.75,True,57
True,8,True,True,110250.9375,110250.9375,1118624.5,True,58
True,8,True,True,113542.2578125,113542.2578125,1162416.625,True,59
True,8,True,True,116743.7421875,116743.7421875,1203871.0,True,60
True,8,True,True,119521.2109375,119521.2109375,1242611.875,True,61
True,8,True,True,121997.9609375,121997.9609375,1278515.75,True,62
True,8,True,True,124529.6953125,124529.6953125,1312449.5,True,63
True,8,True,True,127137.8515625,127137.8515625,1345340.625,True,64
True,8,True,True,129309.78125,129309.78125,1376609.75,True,65
True,8,True,True,131422.015625,131422.015625,1406085.625,True,66
True,8,True,True,133719.453125,133719.453125,1433720.625,True,67
True,8,True,True,136176.15625,136176.15625,1459745.0,True,68
True,8,True,True,138071.125,138071.125,1483931.125,True,69
True,8,True,True,139634.34375,139634.34375,1506585.5,True,70
True,8,True,True,140787.546875,140787.546875,1528009.375,True,71
True,8,True,True,141933.625,141933.609375,1548535.875,True,72
True,8,True,True,143236.296875,143236.296875,1568048.5,True,73
True,8,True,True,145044.734375,145044.734375,1587052.0,True,74
True,8,True,True,146700.171875,146700.171875,1604894.5,True,75
True,8,True,True,148167.921875,148167.921875,1621836.375,True,76
True,8,True,True,149217.0625,149217.0625,1637819.125,True,77
True,8,True,True,149872.40625,149872.421875,1652386.875,True,78
True,8,True,True,150758.765625,150758.765625,1665885.875,True,79
True,8,True,True,151866.015625,151866.015625,1678752.875,True,80
True,8,True,True,152830.203125,152830.203125,1690924.125,True,81
True,8,True,True,153882.984375,153882.984375,1702348.0,True,82
True,8,True,True,155133.75,155133.75,1713403.5,True,83
True,8,True,True,156250.734375,156250.734375,1723811.0,True,84
True,8,True,True,157223.171875,157223.171875,1733658.125,True,85
True,8,True,True,157996.234375,157996.234375,1743126.875,True,86
True,8,True,True,159088.875,159088.875,1752487.75,True,87
True,8,True,True,160264.46875,160264.46875,1761666.75,True,88
True,8,True,True,161101.0,161101.0,1770853.0,True,89
True,8,True,True,162034.125,162034.125,1780127.125,True,90
True,8,True,True,162849.578125,162849.578125,1789656.25,True,91
True,8,True,True,163140.953125,163140.953125,1798980.75,True,92
True,8,True,True,163561.734375,163561.734375,1808597.5,True,93
True,8,True,True,164033.1875,164033.1875,1818583.75,True,94
True,8,True,True,164673.609375,164673.609375,1828606.5,True,95
True,8,True,True,165505.875,165505.875,1838679.375,True,96
True,8,True,True,166264.9375,166264.9375,1848688.0,True,97
True,8,True,True,166999.953125,166999.953125,1858764.125,True,98
True,8,True,True,167682.53125,167682.53125,1868523.375,True,99
True,8,True,True,168415.734375,168415.734375,1878179.5,True,100
