accumulation_count,base_h1_gradient_cosine,base_only_gradient_norm,clip_scale,clipping_triggered,effective_base_gradient_norm,effective_base_gradient_projection,effective_h1_gradient_norm,effective_h1_gradient_projection,epoch,global_optimizer_step,h1_only_gradient_norm,h1_to_base_gradient_ratio,learning_rate,nonfinite,optimizer_step_in_epoch,other_prior_gradient_norm,parameter_update_norm,selected_h1_gradient_norm,total_gradient_norm_after_clip,total_gradient_norm_before_clip
4,,,0.21100301469961616,True,,,,,0,1,,,0.0005,False,0,,0.41294121742248535,,0.9999998211860657,4.739268779754639
4,,,0.22037338233807513,True,,,,,0,2,,,0.0005,False,1,,0.40004411339759827,,0.9999997019767761,4.537753105163574
4,,,0.21390430184737907,True,,,,,0,3,,,0.0005,False,2,,0.39943253993988037,,0.9999998807907104,4.67498779296875
4,,,0.29598869820070406,True,,,,,0,4,,,0.0005,False,3,,0.39408230781555176,,0.9999997019767761,3.378507375717163
4,,,0.3478830355032285,True,,,,,0,5,,,0.0005,False,4,,0.3937271535396576,,0.9999997019767761,2.8745293617248535
4,,,0.6808689134199293,True,,,,,0,6,,,0.0005,False,5,,0.38996967673301697,,0.9999992847442627,1.468711495399475
4,,,0.5044062901423557,True,,,,,0,7,,,0.0005,False,6,,0.38718006014823914,,0.9999995231628418,1.982528805732727
4,,,0.809819146741472,True,,,,,0,8,,,0.0005,False,7,,0.38602858781814575,,0.9999991655349731,1.2348436117172241
4,,,0.7498959223833519,True,,,,,0,9,,,0.0005,False,8,,0.38539615273475647,,0.9999993443489075,1.333518385887146
4,,,0.7175899007482908,True,,,,,0,10,,,0.0005,False,9,,0.3822762668132782,,0.9999993443489075,1.393553614616394
4,,,0.9061075735726978,True,,,,,0,11,,,0.0005,False,10,,0.3804394006729126,,0.9999991059303284,1.1036217212677002
4,,,0.6074817967817965,True,,,,,0,12,,,0.0005,False,11,,0.3780307471752167,,0.9999994039535522,1.6461398601531982
4,,,1.0,False,,,,,0,13,,,0.0005,False,12,,0.37707844376564026,,0.8250527381896973,0.8250527381896973
4,,,0.7601389826257219,True,,,,,0,14,,,0.0005,False,13,,0.37586289644241333,,0.9999993443489075,1.3155488967895508
4,,,0.5395071250875719,True,,,,,0,15,,,0.0005,False,14,,0.37392526865005493,,0.999999463558197,1.8535436391830444
4,,,0.23665458540602674,True,,,,,0,16,,,0.0005,False,15,,0.37237244844436646,,0.9999997615814209,4.225567817687988
4,,,0.8827228574239683,True,,,,,0,17,,,0.0005,False,16,,0.3716422915458679,,0.9999991655349731,1.132858395576477
4,,,0.43151861733101726,True,,,,,0,18,,,0.0005,False,17,,0.3700099587440491,,0.9999995827674866,2.317397117614746
4,,,0.2908962791347677,True,,,,,0,19,,,0.0005,False,18,,0.36938759684562683,,0.9999996423721313,3.4376513957977295
3,,,1.0,False,,,,,0,20,,,0.0005,False,19,,0.3680553436279297,,0.8870673775672913,0.8870673775672913
4,,,1.0,False,,,,,1,21,,,0.001,False,0,,0.7328348755836487,,0.9135446548461914,0.9135446548461914
4,,,0.25424945895587303,True,,,,,1,22,,,0.001,False,1,,0.7299326062202454,,0.9999997615814209,3.933145046234131
4,,,0.36095096543082195,True,,,,,1,23,,,0.001,False,2,,0.7281814813613892,,0.9999995827674866,2.7704594135284424
4,,,0.4562385391156488,True,,,,,1,24,,,0.001,False,3,,0.7270604372024536,,0.9999995827674866,2.191835880279541
4,,,0.3385011956441911,True,,,,,1,25,,,0.001,False,4,,0.7219349145889282,,0.9999997019767761,2.9541993141174316
4,,,0.6173638135481517,True,,,,,1,26,,,0.001,False,5,,0.7155343294143677,,0.9999994039535522,1.6197904348373413
4,,,0.48930581473429374,True,,,,,1,27,,,0.001,False,6,,0.7115663886070251,,0.9999995231628418,2.0437116622924805
4,,,1.0,False,,,,,1,28,,,0.001,False,7,,0.7071995735168457,,0.7833666801452637,0.7833666801452637
4,,,0.45517472493985706,True,,,,,1,29,,,0.001,False,8,,0.700785756111145,,0.9999995827674866,2.196958541870117
4,,,0.3244994490717466,True,,,,,1,30,,,0.001,False,9,,0.6957225799560547,,0.9999996423721313,3.081669330596924
4,,,0.7549315152693812,True,,,,,1,31,,,0.001,False,10,,0.6930561065673828,,0.9999992847442627,1.324623465538025
4,,,0.5552080939607692,True,,,,,1,32,,,0.001,False,11,,0.6886394619941711,,0.999999463558197,1.801126480102539
4,,,0.2231442199887191,True,,,,,1,33,,,0.001,False,12,,0.684859573841095,,0.9999997019767761,4.4814066886901855
4,,,0.913407055372977,True,,,,,1,34,,,0.001,False,13,,0.6791499853134155,,0.9999991059303284,1.0948021411895752
4,,,0.9178615070569986,True,,,,,1,35,,,0.001,False,14,,0.6753483414649963,,0.9999990463256836,1.0894889831542969
4,,,0.4142779423750925,True,,,,,1,36,,,0.001,False,15,,0.6704790592193604,,0.9999996423721313,2.4138383865356445
4,,,0.5597422489691594,True,,,,,1,37,,,0.001,False,16,,0.6641518473625183,,0.9999995231628418,1.7865365743637085
4,,,0.22438823862863677,True,,,,,1,38,,,0.001,False,17,,0.6591059565544128,,0.9999998807907104,4.45656156539917
4,,,0.1686195609760765,True,,,,,1,39,,,0.001,False,18,,0.6555281281471252,,0.9999998807907104,5.9305100440979
3,,,0.2887597435580746,True,,,,,1,40,,,0.001,False,19,,0.6490973234176636,,0.9999997615814209,3.4630866050720215
